manufacturer,substation_id,episode_id,episode_start,episode_end,window_count,max_risk_score,latest_risk_score,latest_risk_level,high_count,watch_count,raw_ae_alarm_count,multi_window_operational_count,latest_multi_window_context_score,latest_multi_horizon_persistence_score,risk_high_count_24h,risk_high_count_3d,risk_high_count_7d,risk_score_3d_slope,risk_score_7d_slope,split_event_regime_based,label,fault_event_id
manufacturer 2,52,manufacturer 2|52|1,2019-02-17 12:00:00,2019-02-20 06:00:00,11,1.0,1.0,critical,11,11,0,0,0.5,10.650766367908632,4.0,11.0,11.0,0.0022921626731019283,0.0022921626731019283,train,pre_fault,28.0
manufacturer 2,4,manufacturer 2|4|3,2017-03-09 12:00:00,2017-03-12 06:00:00,11,1.0,1.0,critical,11,11,0,0,0.5,10.63691176826177,4.0,11.0,11.0,0.0019842826809494556,0.0019842826809494556,train,pre_fault,35.0
manufacturer 1,19,manufacturer 1|19|1,2018-11-18 12:00:00,2018-11-21 06:00:00,11,1.0,1.0,critical,11,11,0,0,0.5,10.547619047619046,4.0,11.0,11.0,1.1316440927391937e-17,1.1316440927391937e-17,train,pre_fault,37.0
manufacturer 1,21,manufacturer 1|21|3,2019-10-16 12:00:00,2019-10-19 06:00:00,11,1.0,1.0,critical,11,11,0,0,0.5,10.547619047619046,4.0,11.0,11.0,1.1316440927391937e-17,1.1316440927391937e-17,train,pre_fault,32.0
manufacturer 2,4,manufacturer 2|4|1,2016-07-29 12:00:00,2016-08-01 06:00:00,11,1.0,1.0,critical,11,11,0,0,0.5,10.547619047619046,4.0,11.0,11.0,1.1316440927391937e-17,1.1316440927391937e-17,train,pre_fault,41.0
manufacturer 2,19,manufacturer 2|19|1,2018-12-25 12:00:00,2018-12-28 06:00:00,11,1.0,1.0,critical,11,11,0,0,0.5,10.547619047619046,4.0,11.0,11.0,1.1316440927391937e-17,1.1316440927391937e-17,train,pre_fault,29.0
manufacturer 2,53,manufacturer 2|53|1,2019-11-12 12:00:00,2019-11-15 06:00:00,11,1.0,1.0,critical,11,11,0,0,1.0,10.547619047619046,4.0,11.0,11.0,1.1316440927391937e-17,1.1316440927391937e-17,train,pre_fault,21.0
manufacturer 1,11,manufacturer 1|11|3,2019-01-11 12:00:00,2019-01-14 06:00:00,10,1.0,1.0,critical,10,10,0,0,0.0,10.099137921529463,4.0,10.0,10.0,0.003261265981077971,0.003261265981077971,train,pre_fault,65.0
manufacturer 1,13,manufacturer 1|13|1,2016-07-18 00:00:00,2016-07-20 12:00:00,10,1.0,1.0,critical,10,10,0,0,1.0,9.952380952380954,4.0,10.0,10.0,-2.630557450796067e-17,-2.630557450796067e-17,train,pre_fault,24.0
manufacturer 2,50,manufacturer 2|50|1,2019-11-17 12:00:00,2019-11-18 06:00:00,3,1.0,1.0,critical,3,3,1,2,3.3480786826453963,9.585714285714285,3.0,3.0,3.0,0.0,0.0,train,pre_fault,20.0
manufacturer 1,10,manufacturer 1|10|1,2014-05-03 18:00:00,2014-05-04 06:00:00,2,1.0,1.0,critical,2,2,2,2,10.0,9.49047619047619,2.0,2.0,2.0,-1.1102230246251565e-16,-1.1102230246251565e-16,holdout,pre_fault,1.0
manufacturer 2,11,manufacturer 2|11|1,2019-11-25 18:00:00,2019-11-26 06:00:00,2,1.0,1.0,critical,2,2,2,2,5.781193810704795,9.49047619047619,2.0,2.0,2.0,-1.1102230246251565e-16,-1.1102230246251565e-16,train,pre_fault,18.0
manufacturer 2,43,manufacturer 2|43|1,2020-01-08 12:00:00,2020-01-10 12:00:00,8,1.0,1.0,critical,8,8,0,0,0.5,8.761904761904761,4.0,8.0,8.0,-7.506477703676109e-17,-7.506477703676109e-17,train,pre_fault,12.0
manufacturer 1,4,manufacturer 1|4|1,2015-03-17 12:00:00,2015-03-18 18:00:00,5,1.0,1.0,critical,5,5,0,0,0.5,6.976190476190477,4.0,5.0,5.0,-4.0539612963254127e-17,-4.0539612963254127e-17,train,pre_fault,60.0
manufacturer 1,17,manufacturer 1|17|1,2019-01-07 00:00:00,2019-01-08 00:00:00,4,1.0,1.0,critical,4,4,0,0,0.0,6.3809523809523805,4.0,4.0,4.0,-1.18687833744435e-16,-1.18687833744435e-16,train,pre_fault,29.0
manufacturer 2,10,manufacturer 2|10|3,2017-12-18 12:00:00,2017-12-18 18:00:00,1,1.0,1.0,critical,1,1,0,1,10.0,3.2452380952380953,1.0,1.0,1.0,0.0,0.0,train,pre_fault,32.0
manufacturer 1,26,manufacturer 1|26|4,2020-06-12 12:00:00,2020-06-13 06:00:00,3,0.9950411975318303,0.9950411975318303,critical,3,3,1,3,10.0,12.14259096891555,3.0,3.0,3.0,0.020152815182250348,0.020152815182250348,holdout,pre_fault,7.0
manufacturer 1,11,manufacturer 1|11|1,2018-06-29 06:00:00,2018-06-30 12:00:00,5,0.993422671091176,0.993422671091176,critical,5,5,0,1,10.0,9.400673894955021,4.0,5.0,5.0,0.01721074263921208,0.01721074263921208,train,pre_fault,20.0
manufacturer 2,45,manufacturer 2|45|1,2020-03-06 18:00:00,2020-03-09 12:00:00,11,0.9689251903226758,0.9689251903226758,critical,11,11,0,2,10.0,15.114982882968725,4.0,11.0,11.0,0.04149697411888177,0.04149697411888177,holdout,pre_fault,3.0
manufacturer 2,39,manufacturer 2|39|3,2020-02-25 18:00:00,2020-02-26 12:00:00,3,0.7192969362703026,0.6700513993084384,high,3,3,0,0,0.5,7.580512576457428,3.0,3.0,3.0,0.0717919316297257,0.0717919316297257,validation,pre_fault,4.0
manufacturer 2,53,manufacturer 2|53|6,2020-03-14 00:00:00,2020-03-16 00:00:00,8,0.61374530075556,0.5523707706800041,high,8,8,0,0,1.0,10.20536113329733,4.0,8.0,8.0,0.03207680825316824,0.03207680825316824,holdout,pre_fault,2.0
manufacturer 2,31,manufacturer 2|31|2,2020-02-17 06:00:00,2020-02-18 12:00:00,5,0.556837877622291,0.386745527403734,high,5,5,0,2,0.0,11.159713240899757,4.0,5.0,5.0,0.034291757717157846,0.031311441089016734,holdout,normal,
manufacturer 2,59,manufacturer 2|59|2,2020-01-24 00:00:00,2020-01-24 12:00:00,2,0.4305135517449164,0.4305135517449164,high,2,2,0,0,0.5,9.547619047619047,3.0,11.0,11.0,-0.05722391012013594,-0.05722391012013594,validation,pre_fault,8.0
manufacturer 1,13,manufacturer 1|13|2,2019-12-20 00:00:00,2019-12-27 00:00:00,28,0.5124733277811092,0.09385664320503215,low,0,16,28,0,1.0,4.5,0.0,0.0,0.0,-0.004835764407834004,-0.016521137375896094,holdout,normal,
manufacturer 2,10,manufacturer 2|10|4,2018-02-15 12:00:00,2018-02-17 00:00:00,3,0.08094412960694379,0.03441018560550573,low,0,0,0,3,6.2,3.7500000000000004,0.0,0.0,0.0,-0.003274797448047248,-0.003274797448047248,train,normal,
manufacturer 2,19,manufacturer 2|19|2,2019-02-28 06:00:00,2019-02-28 12:00:00,1,0.07576886697694184,0.07576886697694184,low,0,0,0,1,4.571326428630217,0.8924859625917079,0.0,0.0,0.0,0.0016994385036683136,-0.0009398701841091369,train,normal,
manufacturer 2,55,manufacturer 2|55|2,2019-10-19 18:00:00,2019-10-20 00:00:00,1,0.06768867586634944,0.06768867586634944,low,0,0,0,1,3.6,1.65,0.0,0.0,0.0,-0.003477294429162025,-0.014639370754866076,validation,normal,
manufacturer 1,2,manufacturer 1|2|1,2016-09-18 00:00:00,2016-09-18 06:00:00,1,0.06258638704015036,0.06258638704015036,low,0,0,0,1,4.579657750995457,1.7135264191358033,0.0,0.0,0.0,0.0014116982030178498,0.0014116982030178498,train,normal,
manufacturer 1,22,manufacturer 1|22|1,2019-02-03 06:00:00,2019-02-05 06:00:00,4,0.06211894769137781,0.06171547835166098,low,0,0,0,4,5.6000000000000005,4.6000000000000005,0.0,0.0,0.0,-0.0061542383028087315,-0.005422973042911826,train,normal,
manufacturer 2,4,manufacturer 2|4|4,2018-12-29 06:00:00,2018-12-29 12:00:00,1,0.04116932111011978,0.04116932111011978,low,0,0,0,1,9.341503895711844,1.693284025423845,0.0,0.0,0.0,0.001423783934269229,0.0003844713533557144,train,normal,
manufacturer 2,10,manufacturer 2|10|5,2018-02-18 18:00:00,2018-02-19 00:00:00,1,0.006320178065071363,0.006320178065071363,low,0,0,0,1,3.4000000000000004,4.300000000000001,0.0,0.0,0.0,-0.0064767460578887106,-0.005597854928328932,train,normal,
manufacturer 2,10,manufacturer 2|10|6,2018-02-21 18:00:00,2018-02-22 00:00:00,1,0.00461807303235355,0.00461807303235355,low,0,0,0,1,3.6,4.05,0.0,0.0,0.0,-7.514386804475844e-05,-0.0027839676036969744,train,normal,
manufacturer 1,13,manufacturer 1|13|3,2020-05-25 00:00:00,2020-05-26 06:00:00,5,1.0,0.5920218716871495,medium,1,5,5,0,1.0,5.095238095238095,0.0,1.0,1.0,-0.08159562566257005,-0.08159562566257005,holdout,pre_fault,53.0
manufacturer 1,22,manufacturer 1|22|2,2019-11-04 12:00:00,2019-11-06 12:00:00,4,1.0,0.8801553638941426,medium,1,4,0,2,1.8,4.895238095238096,1.0,1.0,1.0,-0.03595339083175722,-0.03595339083175722,holdout,normal,
manufacturer 1,4,manufacturer 1|4|2,2016-11-11 18:00:00,2016-11-13 00:00:00,5,1.0,0.880193313856736,medium,2,5,0,0,0.0,2.1904761904761902,1.0,2.0,2.0,-0.03250044567828146,-0.03250044567828146,validation,pre_fault,11.0
manufacturer 1,11,manufacturer 1|11|2,2018-11-20 06:00:00,2018-11-23 06:00:00,12,1.0,0.7663876814392208,medium,1,12,0,0,0.0,0.5952380952380951,0.0,1.0,1.0,-0.015113235856554842,-0.015113235856554842,validation,pre_fault,5.0
manufacturer 2,59,manufacturer 2|59|1,2020-01-21 12:00:00,2020-01-24 00:00:00,10,0.9947396311405771,0.36682057864250583,medium,9,10,0,0,0.5,8.357142857142858,3.0,9.0,9.0,-0.07561485110531639,-0.07561485110531639,validation,pre_fault,8.0
manufacturer 1,21,manufacturer 1|21|1,2016-12-03 12:00:00,2016-12-06 12:00:00,12,0.9921240800006431,0.8198722590436496,medium,2,12,0,0,0.5,1.1904761904761902,0.0,2.0,2.0,-0.021577820149224113,-0.021577820149224113,validation,pre_fault,6.0
manufacturer 2,8,manufacturer 2|8|2,2020-02-15 12:00:00,2020-02-18 12:00:00,10,0.9745810924239653,0.23148472860790392,medium,5,10,0,0,0.5,2.9761904761904763,0.0,5.0,5.0,-0.07602698019929469,-0.07602698019929469,validation,pre_fault,5.0
manufacturer 1,14,manufacturer 1|14|1,2019-12-05 00:00:00,2019-12-09 00:00:00,16,0.9643372214436737,0.2572628792365584,medium,3,16,0,0,1.0,0.5357142857142857,0.0,0.0,3.0,-0.04949136740968897,-0.04511764173802806,validation,normal,
manufacturer 2,24,manufacturer 2|24|4,2020-03-17 06:00:00,2020-03-18 06:00:00,4,0.9637907443705008,0.8674116699334508,medium,1,4,0,1,1.0,5.711170359181891,1.0,1.0,1.0,0.05863729055775185,0.05863729055775185,holdout,pre_fault,1.0
manufacturer 1,26,manufacturer 1|26|3,2020-03-09 18:00:00,2020-03-10 12:00:00,3,0.9562102301188986,0.8605892071070088,medium,1,3,0,2,9.624900707521247,7.407452210231044,1.0,1.0,1.0,0.01916031366650996,0.01916031366650996,holdout,pre_fault,69.0
manufacturer 1,4,manufacturer 1|4|3,2016-11-13 00:00:00,2016-11-16 12:00:00,14,0.9496481383788201,0.22652818824338894,medium,2,14,0,0,0.0,0.7142857142857142,0.0,0.0,4.0,-0.06360799791225086,-0.03886535302092786,validation,pre_fault,11.0
manufacturer 1,3,manufacturer 1|3|2,2019-09-02 12:00:00,2019-09-03 12:00:00,4,0.9441051219255845,0.9149987516620324,medium,2,4,0,0,0.0,4.086215655622183,2.0,2.0,2.0,0.019905321447688747,0.019905321447688747,validation,normal,
manufacturer 1,3,manufacturer 1|3|3,2019-09-03 12:00:00,2019-09-05 12:00:00,8,0.9373828492631551,0.2508752743422524,medium,2,8,0,0,0.0,2.3809523809523805,0.0,4.0,4.0,-0.059912186004084614,-0.021794807015381848,validation,normal,
manufacturer 1,6,manufacturer 1|6|4,2020-06-04 06:00:00,2020-06-08 06:00:00,14,0.9364056766738488,0.23792960476577316,medium,3,13,0,5,5.501410940287274,6.364285714285714,0.0,0.0,4.0,-0.07486382402638445,-0.036506200968731625,holdout,normal,
manufacturer 1,6,manufacturer 1|6|3,2020-06-03 12:00:00,2020-06-04 06:00:00,3,0.9267545054845787,0.8887568433965599,medium,1,3,0,0,0.0,2.2996508587712525,1.0,1.0,1.0,0.015653616967403496,0.015653616967403496,validation,normal,
manufacturer 2,61,manufacturer 2|61|1,2020-01-14 12:00:00,2020-01-18 18:00:00,17,0.9263538198925069,0.29455089311988064,medium,16,17,0,0,0.5,10.44047619047619,3.0,11.0,16.0,-0.039668204913585976,-0.031190250657190558,validation,pre_fault,11.0
manufacturer 1,6,manufacturer 1|6|2,2020-06-02 00:00:00,2020-06-03 12:00:00,4,0.9179231460076802,0.9179231460076802,medium,0,4,0,0,0.0,1.9649092909681598,0.0,0.0,0.0,0.04366465091040355,0.04366465091040355,validation,normal,
manufacturer 1,1,manufacturer 1|1|1,2019-12-03 00:00:00,2019-12-07 00:00:00,13,0.9099302156227889,0.4230875802914293,medium,0,13,0,0,0.0,0.6692405009704632,0.0,0.0,0.0,-0.004636601521693522,0.03346202504852316,validation,normal,
manufacturer 1,12,manufacturer 1|12|2,2015-11-29 18:00:00,2015-11-30 18:00:00,4,0.8883173360828807,0.7994856024745927,medium,0,4,0,0,1.8,3.0,0.0,0.0,0.0,0.11405840311872084,0.11405840311872084,holdout,pre_fault,3.0
manufacturer 1,27,manufacturer 1|27|1,2020-01-17 12:00:00,2020-01-20 12:00:00,12,0.8782013703829233,0.3891238571885798,medium,0,12,0,0,0.0,0.0,0.0,0.0,0.0,-0.04278684877255535,-0.04278684877255535,validation,pre_fault,23.0
manufacturer 1,3,manufacturer 1|3|1,2019-09-01 00:00:00,2019-09-02 12:00:00,6,0.8776107573212203,0.8776107573212203,medium,0,6,0,0,0.0,1.1681557796951823,0.0,0.0,0.0,0.02595901732655961,0.02595901732655961,validation,normal,
manufacturer 1,26,manufacturer 1|26|2,2020-03-07 18:00:00,2020-03-09 18:00:00,8,0.846233180241472,0.846233180241472,medium,0,8,0,1,10.0,1.7123594697955307,0.0,0.0,0.0,0.001385765995456233,0.001385765995456233,holdout,pre_fault,69.0
manufacturer 1,25,manufacturer 1|25|1,2020-04-05 00:00:00,2020-04-08 18:00:00,15,0.6658604118624998,0.4365892297595672,medium,0,15,0,0,0.0,0.0,0.0,0.0,0.0,-0.005243904166901942,-0.0010121910686131178,holdout,normal,
manufacturer 1,2,manufacturer 1|2|2,2018-11-29 00:00:00,2018-12-02 06:00:00,13,0.6446778792824551,0.22933211507967222,medium,0,13,0,0,0.0,0.0,0.0,0.0,0.0,-0.020404169337220862,-0.009954193026208646,train,normal,
manufacturer 2,43,manufacturer 2|43|2,2020-03-14 18:00:00,2020-03-16 18:00:00,8,0.6238031642044132,0.25359296695133327,medium,0,8,0,1,0.5,1.6688979312009062,0.0,0.0,0.0,0.01375328736002014,0.01375328736002014,validation,normal,
manufacturer 1,20,manufacturer 1|20|2,2020-04-01 12:00:00,2020-04-04 18:00:00,10,0.6218630410539823,0.37706382048312537,medium,0,10,0,0,0.5,1.0683364566722613,0.0,0.0,0.0,0.020061169030367716,0.02834036154565342,validation,normal,
manufacturer 2,24,manufacturer 2|24|1,2020-02-20 06:00:00,2020-02-23 12:00:00,12,0.6159708832070605,0.2628776709834733,medium,0,12,0,0,0.5,0.0,0.0,0.0,0.0,-0.0316051773129702,-0.019095342097638607,holdout,normal,
manufacturer 2,18,manufacturer 2|18|1,2020-01-18 12:00:00,2020-01-21 06:00:00,11,0.5995550335836444,0.23909653287340757,medium,7,11,0,0,0.5,4.166666666666667,0.0,7.0,7.0,-0.03130446267288315,-0.03130446267288315,holdout,pre_fault,10.0
manufacturer 2,55,manufacturer 2|55|1,2019-10-15 18:00:00,2019-10-16 18:00:00,4,0.5842312279031415,0.5258081051128274,medium,0,4,0,1,0.0,4.65,0.0,0.0,0.0,0.10575129321176924,0.10575129321176924,train,normal,
manufacturer 2,24,manufacturer 2|24|3,2020-03-15 12:00:00,2020-03-17 06:00:00,7,0.5418578200941477,0.487672038084733,medium,0,7,0,0,0.5,0.8218103875190358,0.0,0.0,0.0,0.018262453055978574,0.018262453055978574,holdout,pre_fault,1.0
manufacturer 1,4,manufacturer 1|4|4,2016-11-18 00:00:00,2016-11-18 12:00:00,2,0.5184232179369149,0.5184232179369149,medium,0,2,0,1,7.413306051892005,2.364285714285714,0.0,0.0,4.0,-0.002932146147767979,-0.0359192347861198,validation,pre_fault,11.0
manufacturer 2,53,manufacturer 2|53|3,2020-02-20 12:00:00,2020-02-21 12:00:00,4,0.4889366525269453,0.4400429872742508,medium,1,4,0,0,0.5,1.9676866840185634,1.0,1.0,1.0,0.0052159060925183265,0.0121025468233755,validation,normal,
manufacturer 2,35,manufacturer 2|35|2,2020-02-02 00:00:00,2020-02-04 12:00:00,8,0.4699581239023519,0.2776889787766841,medium,1,8,0,0,0.5,0.5952380952380951,0.0,1.0,1.0,-0.009142381205448764,-0.009142381205448764,validation,pre_fault,6.0
manufacturer 2,53,manufacturer 2|53|2,2020-02-18 12:00:00,2020-02-19 12:00:00,4,0.4285460086470931,0.38569140778238375,medium,0,4,0,0,0.5,2.1259992360580537,0.0,0.0,0.0,0.04724442746795675,0.04724442746795675,validation,normal,
manufacturer 1,22,manufacturer 1|22|3,2019-11-07 18:00:00,2019-11-08 00:00:00,1,0.428377424996344,0.428377424996344,medium,0,1,0,1,4.529910189027419,1.65,0.0,0.0,0.0,0.0,0.0,holdout,normal,
manufacturer 2,11,manufacturer 2|11|2,2020-03-08 00:00:00,2020-03-09 12:00:00,5,0.40994313500159263,0.24764245256794504,medium,1,5,0,0,0.5,1.946644032534349,0.0,1.0,1.0,0.030388835970672726,0.029584251901471785,validation,normal,
manufacturer 2,24,manufacturer 2|24|2,2020-02-25 12:00:00,2020-02-27 00:00:00,6,0.4095392176292579,0.3685852958663321,medium,0,6,0,0,0.5,0.8920816012948607,0.0,0.0,0.0,0.03568326405179443,-0.007625132169813914,holdout,normal,
manufacturer 2,39,manufacturer 2|39|2,2020-02-25 12:00:00,2020-02-25 18:00:00,1,0.40676839600034287,0.40676839600034287,medium,0,1,0,0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,validation,pre_fault,4.0
manufacturer 2,52,manufacturer 2|52|2,2020-03-17 00:00:00,2020-03-18 00:00:00,4,0.3155856659560679,0.2840270993604611,medium,0,4,0,1,1.0,2.500645229313794,0.0,0.0,0.0,0.030471682241473397,0.004442658663847955,holdout,normal,
manufacturer 1,26,manufacturer 1|26|1,2019-12-08 12:00:00,2019-12-11 12:00:00,10,0.3066810661081235,0.2760129594973112,medium,0,10,0,0,0.5,0.26979076079377057,0.0,0.0,0.0,0.0038105367982832275,0.008726367041834495,validation,normal,
manufacturer 1,22,manufacturer 1|22|4,2020-03-15 12:00:00,2020-03-21 00:00:00,14,0.30466460353279756,0.22758701161019723,medium,0,8,0,10,10.0,6.792315549974105,0.0,0.0,0.0,-0.0005519085136284169,0.0021157774987052283,validation,normal,
manufacturer 2,40,manufacturer 2|40|1,2019-08-16 12:00:00,2019-08-17 12:00:00,4,0.28278617035314674,0.2545075533178321,medium,0,4,0,0,0.0,0.7890194577775214,0.0,0.0,0.0,0.017533765728389362,0.017533765728389362,validation,normal,
manufacturer 1,12,manufacturer 1|12|1,2015-06-24 12:00:00,2015-06-25 12:00:00,4,0.27190016959174895,0.2330572882214991,medium,0,4,0,0,0.0,0.0,0.0,0.0,0.0,-0.01165286441107502,-0.01165286441107502,train,normal,
manufacturer 2,53,manufacturer 2|53|5,2020-03-13 12:00:00,2020-03-14 00:00:00,2,0.271215729844556,0.24519020999124327,medium,0,2,0,0,1.0,0.0,0.0,0.0,0.0,-0.026025519853312695,-0.026025519853312695,holdout,pre_fault,2.0
manufacturer 2,31,manufacturer 2|31|1,2020-02-16 12:00:00,2020-02-17 06:00:00,3,0.262833086002188,0.23654977740196922,medium,0,3,0,0,0.5,0.624555411216517,0.0,0.0,0.0,0.013879009138144823,0.013879009138144823,holdout,normal,
manufacturer 2,53,manufacturer 2|53|4,2020-02-23 06:00:00,2020-02-24 06:00:00,4,0.25975935462229244,0.2337834191600632,medium,0,4,0,0,1.0,0.17857142857142855,0.0,0.0,1.0,-0.0027578519304668767,-0.0075142879220977355,holdout,normal,
manufacturer 2,59,manufacturer 2|59|3,2020-03-08 00:00:00,2020-03-09 00:00:00,4,0.2471992844691324,0.22247935602221916,medium,0,4,0,0,1.0,1.6430023648329581,0.0,0.0,0.0,0.03651116366295463,0.03651116366295463,validation,normal,
manufacturer 2,8,manufacturer 2|8|1,2020-01-11 00:00:00,2020-01-11 06:00:00,1,0.23103769425071854,0.23103769425071854,medium,0,1,0,0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,train,normal,
