manufacturer,substation_id,source_file,window_start,window_end,label,lead_time_bucket,estimated_lead_time_hours,fault_event_id
manufacturer 1,6,manufacturer 1/operational_data/substation_6.csv,2019-04-10T12:00:00+00:00,2019-04-10T18:00:00+00:00,pre_fault,3-7d,141.68333333333334,64
manufacturer 1,6,manufacturer 1/operational_data/substation_6.csv,2019-04-15T06:00:00+00:00,2019-04-15T12:00:00+00:00,pre_fault,1-3d,27.683333333333334,64
manufacturer 1,6,manufacturer 1/operational_data/substation_6.csv,2019-04-16T00:00:00+00:00,2019-04-16T06:00:00+00:00,pre_fault,0-24h,9.683333333333334,64
manufacturer 1,6,manufacturer 1/operational_data/substation_6.csv,2020-06-04T06:00:00+00:00,2020-06-04T12:00:00+00:00,normal,,,
manufacturer 1,6,manufacturer 1/operational_data/substation_6.csv,2020-06-06T12:00:00+00:00,2020-06-06T18:00:00+00:00,normal,,,
manufacturer 1,6,manufacturer 1/operational_data/substation_6.csv,2020-06-08T18:00:00+00:00,2020-06-09T00:00:00+00:00,normal,,,
manufacturer 1,7,manufacturer 1/operational_data/substation_7.csv,2017-11-20T12:00:00+00:00,2017-11-20T18:00:00+00:00,pre_fault,3-7d,145.25,67
manufacturer 1,7,manufacturer 1/operational_data/substation_7.csv,2017-11-21T00:00:00+00:00,2017-11-21T06:00:00+00:00,pre_fault,3-7d,133.25,67
manufacturer 1,7,manufacturer 1/operational_data/substation_7.csv,2017-11-23T06:00:00+00:00,2017-11-23T12:00:00+00:00,pre_fault,3-7d,79.25,67
manufacturer 1,7,manufacturer 1/operational_data/substation_7.csv,2019-01-07T00:00:00+00:00,2019-01-07T06:00:00+00:00,normal,,,
manufacturer 1,8,manufacturer 1/operational_data/substation_8.csv,2018-02-01T12:00:00+00:00,2018-02-01T18:00:00+00:00,normal,,,
manufacturer 1,8,manufacturer 1/operational_data/substation_8.csv,2018-02-04T06:00:00+00:00,2018-02-04T12:00:00+00:00,normal,,,
manufacturer 1,8,manufacturer 1/operational_data/substation_8.csv,2018-02-05T06:00:00+00:00,2018-02-05T12:00:00+00:00,normal,,,
manufacturer 1,8,manufacturer 1/operational_data/substation_8.csv,2018-04-20T18:00:00+00:00,2018-04-21T00:00:00+00:00,pre_fault,3-7d,158.25,44
manufacturer 1,8,manufacturer 1/operational_data/substation_8.csv,2018-04-22T00:00:00+00:00,2018-04-22T06:00:00+00:00,pre_fault,3-7d,128.25,44
manufacturer 1,8,manufacturer 1/operational_data/substation_8.csv,2018-04-24T12:00:00+00:00,2018-04-24T18:00:00+00:00,pre_fault,1-3d,68.25,44
manufacturer 1,8,manufacturer 1/operational_data/substation_8.csv,2018-04-27T00:00:00+00:00,2018-04-27T06:00:00+00:00,pre_fault,0-24h,8.25,44
manufacturer 1,8,manufacturer 1/operational_data/substation_8.csv,2018-04-27T06:00:00+00:00,2018-04-27T12:00:00+00:00,pre_fault,0-24h,2.25,44
manufacturer 1,9,manufacturer 1/operational_data/substation_9.csv,2019-01-02T00:00:00+00:00,2019-01-02T06:00:00+00:00,normal,,,
manufacturer 1,9,manufacturer 1/operational_data/substation_9.csv,2019-01-04T06:00:00+00:00,2019-01-04T12:00:00+00:00,normal,,,
manufacturer 1,9,manufacturer 1/operational_data/substation_9.csv,2019-01-06T06:00:00+00:00,2019-01-06T12:00:00+00:00,normal,,,
manufacturer 1,9,manufacturer 1/operational_data/substation_9.csv,2020-02-21T18:00:00+00:00,2020-02-22T00:00:00+00:00,pre_fault,3-7d,75.21666666666667,57
manufacturer 1,9,manufacturer 1/operational_data/substation_9.csv,2020-02-24T18:00:00+00:00,2020-02-25T00:00:00+00:00,pre_fault,0-24h,3.216666666666667,57
manufacturer 1,10,manufacturer 1/operational_data/substation_10.csv,2014-04-28T00:00:00+00:00,2014-04-28T06:00:00+00:00,pre_fault,3-7d,158.73333333333332,1
manufacturer 1,10,manufacturer 1/operational_data/substation_10.csv,2014-04-28T06:00:00+00:00,2014-04-28T12:00:00+00:00,pre_fault,3-7d,152.73333333333332,1
manufacturer 1,10,manufacturer 1/operational_data/substation_10.csv,2014-04-28T12:00:00+00:00,2014-04-28T18:00:00+00:00,pre_fault,3-7d,146.73333333333332,1
manufacturer 1,10,manufacturer 1/operational_data/substation_10.csv,2014-05-03T06:00:00+00:00,2014-05-03T12:00:00+00:00,pre_fault,1-3d,32.733333333333334,1
manufacturer 1,10,manufacturer 1/operational_data/substation_10.csv,2014-05-04T00:00:00+00:00,2014-05-04T06:00:00+00:00,pre_fault,0-24h,14.733333333333333,1
manufacturer 1,11,manufacturer 1/operational_data/substation_11.csv,2016-09-30T06:00:00+00:00,2016-09-30T12:00:00+00:00,normal,,,
manufacturer 1,11,manufacturer 1/operational_data/substation_11.csv,2016-10-03T18:00:00+00:00,2016-10-04T00:00:00+00:00,normal,,,
manufacturer 1,11,manufacturer 1/operational_data/substation_11.csv,2017-10-31T06:00:00+00:00,2017-10-31T12:00:00+00:00,normal,,,
manufacturer 1,11,manufacturer 1/operational_data/substation_11.csv,2017-11-01T12:00:00+00:00,2017-11-01T18:00:00+00:00,normal,,,
manufacturer 1,11,manufacturer 1/operational_data/substation_11.csv,2017-11-02T00:00:00+00:00,2017-11-02T06:00:00+00:00,normal,,,
manufacturer 1,11,manufacturer 1/operational_data/substation_11.csv,2017-11-04T06:00:00+00:00,2017-11-04T12:00:00+00:00,normal,,,
manufacturer 1,11,manufacturer 1/operational_data/substation_11.csv,2017-11-04T12:00:00+00:00,2017-11-04T18:00:00+00:00,normal,,,
manufacturer 1,11,manufacturer 1/operational_data/substation_11.csv,2018-11-16T12:00:00+00:00,2018-11-16T18:00:00+00:00,pre_fault,3-7d,164.5,5
manufacturer 1,11,manufacturer 1/operational_data/substation_11.csv,2018-11-17T06:00:00+00:00,2018-11-17T12:00:00+00:00,pre_fault,3-7d,146.5,5
manufacturer 1,11,manufacturer 1/operational_data/substation_11.csv,2018-11-21T18:00:00+00:00,2018-11-22T00:00:00+00:00,pre_fault,1-3d,38.5,5
manufacturer 1,11,manufacturer 1/operational_data/substation_11.csv,2019-01-10T12:00:00+00:00,2019-01-10T18:00:00+00:00,pre_fault,3-7d,95.96666666666667,65
manufacturer 1,12,manufacturer 1/operational_data/substation_12.csv,2015-06-25T12:00:00+00:00,2015-06-25T18:00:00+00:00,normal,,,
manufacturer 1,12,manufacturer 1/operational_data/substation_12.csv,2015-06-27T18:00:00+00:00,2015-06-28T00:00:00+00:00,normal,,,
manufacturer 1,12,manufacturer 1/operational_data/substation_12.csv,2015-06-28T06:00:00+00:00,2015-06-28T12:00:00+00:00,normal,,,
manufacturer 1,12,manufacturer 1/operational_data/substation_12.csv,2015-11-24T12:00:00+00:00,2015-11-24T18:00:00+00:00,pre_fault,3-7d,166.93333333333334,3
manufacturer 1,12,manufacturer 1/operational_data/substation_12.csv,2015-11-25T18:00:00+00:00,2015-11-26T00:00:00+00:00,pre_fault,3-7d,136.93333333333334,3
manufacturer 1,12,manufacturer 1/operational_data/substation_12.csv,2015-11-26T18:00:00+00:00,2015-11-27T00:00:00+00:00,pre_fault,3-7d,112.93333333333334,3
manufacturer 1,12,manufacturer 1/operational_data/substation_12.csv,2015-11-30T12:00:00+00:00,2015-11-30T18:00:00+00:00,pre_fault,0-24h,22.933333333333334,3
manufacturer 1,13,manufacturer 1/operational_data/substation_13.csv,2016-07-17T18:00:00+00:00,2016-07-18T00:00:00+00:00,pre_fault,1-3d,69.28333333333333,24
manufacturer 1,13,manufacturer 1/operational_data/substation_13.csv,2019-12-20T00:00:00+00:00,2019-12-20T06:00:00+00:00,normal,,,
manufacturer 1,13,manufacturer 1/operational_data/substation_13.csv,2019-12-21T00:00:00+00:00,2019-12-21T06:00:00+00:00,normal,,,
manufacturer 1,13,manufacturer 1/operational_data/substation_13.csv,2019-12-21T18:00:00+00:00,2019-12-22T00:00:00+00:00,normal,,,
manufacturer 1,13,manufacturer 1/operational_data/substation_13.csv,2019-12-24T18:00:00+00:00,2019-12-25T00:00:00+00:00,normal,,,
manufacturer 1,13,manufacturer 1/operational_data/substation_13.csv,2020-05-20T12:00:00+00:00,2020-05-20T18:00:00+00:00,pre_fault,3-7d,142.0,53
manufacturer 1,13,manufacturer 1/operational_data/substation_13.csv,2020-05-22T00:00:00+00:00,2020-05-22T06:00:00+00:00,pre_fault,3-7d,106.0,53
manufacturer 1,13,manufacturer 1/operational_data/substation_13.csv,2020-05-23T12:00:00+00:00,2020-05-23T18:00:00+00:00,pre_fault,1-3d,70.0,53
manufacturer 1,14,manufacturer 1/operational_data/substation_14.csv,2019-12-10T00:00:00+00:00,2019-12-10T06:00:00+00:00,normal,,,
manufacturer 1,14,manufacturer 1/operational_data/substation_14.csv,2019-12-10T06:00:00+00:00,2019-12-10T12:00:00+00:00,normal,,,
manufacturer 1,14,manufacturer 1/operational_data/substation_14.csv,2019-12-11T00:00:00+00:00,2019-12-11T06:00:00+00:00,normal,,,
manufacturer 1,15,manufacturer 1/operational_data/substation_15.csv,2018-09-30T06:00:00+00:00,2018-09-30T12:00:00+00:00,normal,,,
manufacturer 1,15,manufacturer 1/operational_data/substation_15.csv,2018-10-02T12:00:00+00:00,2018-10-02T18:00:00+00:00,normal,,,
manufacturer 1,15,manufacturer 1/operational_data/substation_15.csv,2018-10-04T06:00:00+00:00,2018-10-04T12:00:00+00:00,normal,,,
manufacturer 1,15,manufacturer 1/operational_data/substation_15.csv,2018-10-04T12:00:00+00:00,2018-10-04T18:00:00+00:00,normal,,,
manufacturer 1,15,manufacturer 1/operational_data/substation_15.csv,2018-10-06T18:00:00+00:00,2018-10-07T00:00:00+00:00,normal,,,
manufacturer 1,15,manufacturer 1/operational_data/substation_15.csv,2019-03-04T06:00:00+00:00,2019-03-04T12:00:00+00:00,normal,,,
manufacturer 1,15,manufacturer 1/operational_data/substation_15.csv,2019-03-06T00:00:00+00:00,2019-03-06T06:00:00+00:00,normal,,,
manufacturer 1,15,manufacturer 1/operational_data/substation_15.csv,2019-03-06T12:00:00+00:00,2019-03-06T18:00:00+00:00,normal,,,
manufacturer 1,16,manufacturer 1/operational_data/substation_16.csv,2018-02-28T06:00:00+00:00,2018-02-28T12:00:00+00:00,normal,,,
manufacturer 1,16,manufacturer 1/operational_data/substation_16.csv,2018-02-28T18:00:00+00:00,2018-03-01T00:00:00+00:00,normal,,,
manufacturer 1,16,manufacturer 1/operational_data/substation_16.csv,2018-03-01T12:00:00+00:00,2018-03-01T18:00:00+00:00,normal,,,
manufacturer 1,16,manufacturer 1/operational_data/substation_16.csv,2018-03-02T06:00:00+00:00,2018-03-02T12:00:00+00:00,normal,,,
manufacturer 1,16,manufacturer 1/operational_data/substation_16.csv,2018-03-04T06:00:00+00:00,2018-03-04T12:00:00+00:00,normal,,,
manufacturer 1,16,manufacturer 1/operational_data/substation_16.csv,2018-03-05T18:00:00+00:00,2018-03-06T00:00:00+00:00,normal,,,
manufacturer 1,16,manufacturer 1/operational_data/substation_16.csv,2018-11-30T06:00:00+00:00,2018-11-30T12:00:00+00:00,normal,,,
manufacturer 1,16,manufacturer 1/operational_data/substation_16.csv,2018-11-30T12:00:00+00:00,2018-11-30T18:00:00+00:00,normal,,,
manufacturer 1,17,manufacturer 1/operational_data/substation_17.csv,2016-11-11T00:00:00+00:00,2016-11-11T06:00:00+00:00,normal,,,
manufacturer 1,17,manufacturer 1/operational_data/substation_17.csv,2016-11-12T12:00:00+00:00,2016-11-12T18:00:00+00:00,normal,,,
manufacturer 1,17,manufacturer 1/operational_data/substation_17.csv,2016-11-15T00:00:00+00:00,2016-11-15T06:00:00+00:00,normal,,,
manufacturer 1,17,manufacturer 1/operational_data/substation_17.csv,2017-10-16T12:00:00+00:00,2017-10-16T18:00:00+00:00,normal,,,
manufacturer 1,17,manufacturer 1/operational_data/substation_17.csv,2017-10-20T00:00:00+00:00,2017-10-20T06:00:00+00:00,normal,,,
manufacturer 1,17,manufacturer 1/operational_data/substation_17.csv,2017-10-21T12:00:00+00:00,2017-10-21T18:00:00+00:00,normal,,,
manufacturer 1,17,manufacturer 1/operational_data/substation_17.csv,2017-10-21T18:00:00+00:00,2017-10-22T00:00:00+00:00,normal,,,
manufacturer 1,17,manufacturer 1/operational_data/substation_17.csv,2019-01-08T12:00:00+00:00,2019-01-08T18:00:00+00:00,pre_fault,1-3d,26.3,29
manufacturer 1,18,manufacturer 1/operational_data/substation_18.csv,2019-04-28T18:00:00+00:00,2019-04-29T00:00:00+00:00,pre_fault,3-7d,133.31666666666666,49
manufacturer 1,18,manufacturer 1/operational_data/substation_18.csv,2019-04-30T12:00:00+00:00,2019-04-30T18:00:00+00:00,pre_fault,3-7d,91.31666666666666,49
manufacturer 1,19,manufacturer 1/operational_data/substation_19.csv,2017-06-15T06:00:00+00:00,2017-06-15T12:00:00+00:00,normal,,,
manufacturer 1,19,manufacturer 1/operational_data/substation_19.csv,2017-06-18T18:00:00+00:00,2017-06-19T00:00:00+00:00,normal,,,
manufacturer 1,19,manufacturer 1/operational_data/substation_19.csv,2017-09-30T00:00:00+00:00,2017-09-30T06:00:00+00:00,normal,,,
manufacturer 1,19,manufacturer 1/operational_data/substation_19.csv,2017-09-30T18:00:00+00:00,2017-10-01T00:00:00+00:00,normal,,,
manufacturer 1,19,manufacturer 1/operational_data/substation_19.csv,2017-10-06T00:00:00+00:00,2017-10-06T06:00:00+00:00,normal,,,
manufacturer 1,19,manufacturer 1/operational_data/substation_19.csv,2018-11-14T12:00:00+00:00,2018-11-14T18:00:00+00:00,pre_fault,3-7d,165.25,37
manufacturer 1,20,manufacturer 1/operational_data/substation_20.csv,2017-02-01T12:00:00+00:00,2017-02-01T18:00:00+00:00,normal,,,
manufacturer 1,20,manufacturer 1/operational_data/substation_20.csv,2017-05-31T18:00:00+00:00,2017-06-01T00:00:00+00:00,pre_fault,3-7d,157.56666666666666,34
manufacturer 1,20,manufacturer 1/operational_data/substation_20.csv,2017-06-01T06:00:00+00:00,2017-06-01T12:00:00+00:00,pre_fault,3-7d,145.56666666666666,34
manufacturer 1,20,manufacturer 1/operational_data/substation_20.csv,2020-04-01T06:00:00+00:00,2020-04-01T12:00:00+00:00,normal,,,
manufacturer 1,20,manufacturer 1/operational_data/substation_20.csv,2020-04-02T12:00:00+00:00,2020-04-02T18:00:00+00:00,normal,,,
manufacturer 1,20,manufacturer 1/operational_data/substation_20.csv,2020-04-04T06:00:00+00:00,2020-04-04T12:00:00+00:00,normal,,,
manufacturer 1,20,manufacturer 1/operational_data/substation_20.csv,2020-04-05T00:00:00+00:00,2020-04-05T06:00:00+00:00,normal,,,
manufacturer 1,20,manufacturer 1/operational_data/substation_20.csv,2020-04-06T12:00:00+00:00,2020-04-06T18:00:00+00:00,normal,,,
manufacturer 1,20,manufacturer 1/operational_data/substation_20.csv,2020-04-07T18:00:00+00:00,2020-04-08T00:00:00+00:00,normal,,,
manufacturer 1,21,manufacturer 1/operational_data/substation_21.csv,2016-11-30T12:00:00+00:00,2016-11-30T18:00:00+00:00,pre_fault,3-7d,145.2,6
manufacturer 1,21,manufacturer 1/operational_data/substation_21.csv,2016-12-02T00:00:00+00:00,2016-12-02T06:00:00+00:00,pre_fault,3-7d,109.2,6
manufacturer 1,21,manufacturer 1/operational_data/substation_21.csv,2016-12-07T18:00:00+00:00,2016-12-08T00:00:00+00:00,pre_fault,3-7d,117.91666666666667,52
manufacturer 1,21,manufacturer 1/operational_data/substation_21.csv,2016-12-10T00:00:00+00:00,2016-12-10T06:00:00+00:00,pre_fault,1-3d,63.916666666666664,52
manufacturer 1,21,manufacturer 1/operational_data/substation_21.csv,2019-01-16T00:00:00+00:00,2019-01-16T06:00:00+00:00,pre_fault,3-7d,128.28333333333333,62
manufacturer 1,21,manufacturer 1/operational_data/substation_21.csv,2019-01-16T12:00:00+00:00,2019-01-16T18:00:00+00:00,pre_fault,3-7d,116.28333333333333,62
manufacturer 1,21,manufacturer 1/operational_data/substation_21.csv,2019-01-20T18:00:00+00:00,2019-01-21T00:00:00+00:00,pre_fault,0-24h,14.283333333333333,62
manufacturer 1,21,manufacturer 1/operational_data/substation_21.csv,2019-01-21T00:00:00+00:00,2019-01-21T06:00:00+00:00,pre_fault,0-24h,8.283333333333333,62
manufacturer 1,22,manufacturer 1/operational_data/substation_22.csv,2019-02-05T12:00:00+00:00,2019-02-05T18:00:00+00:00,normal,,,
manufacturer 1,22,manufacturer 1/operational_data/substation_22.csv,2020-03-14T18:00:00+00:00,2020-03-15T00:00:00+00:00,normal,,,
manufacturer 1,22,manufacturer 1/operational_data/substation_22.csv,2020-03-18T18:00:00+00:00,2020-03-19T00:00:00+00:00,normal,,,
manufacturer 1,23,manufacturer 1/operational_data/substation_23.csv,2017-10-08T00:00:00+00:00,2017-10-08T06:00:00+00:00,normal,,,
manufacturer 1,23,manufacturer 1/operational_data/substation_23.csv,2017-10-09T00:00:00+00:00,2017-10-09T06:00:00+00:00,normal,,,
manufacturer 1,24,manufacturer 1/operational_data/substation_24.csv,2016-01-10T00:00:00+00:00,2016-01-10T06:00:00+00:00,pre_fault,1-3d,60.65,13
manufacturer 1,24,manufacturer 1/operational_data/substation_24.csv,2016-01-10T18:00:00+00:00,2016-01-11T00:00:00+00:00,pre_fault,1-3d,42.65,13
manufacturer 1,24,manufacturer 1/operational_data/substation_24.csv,2016-03-31T18:00:00+00:00,2016-04-01T00:00:00+00:00,pre_fault,3-7d,157.78333333333333,40
manufacturer 1,24,manufacturer 1/operational_data/substation_24.csv,2016-04-01T18:00:00+00:00,2016-04-02T00:00:00+00:00,pre_fault,3-7d,133.78333333333333,40
manufacturer 1,24,manufacturer 1/operational_data/substation_24.csv,2016-04-03T06:00:00+00:00,2016-04-03T12:00:00+00:00,pre_fault,3-7d,97.78333333333333,40
manufacturer 1,24,manufacturer 1/operational_data/substation_24.csv,2016-04-05T06:00:00+00:00,2016-04-05T12:00:00+00:00,pre_fault,1-3d,49.78333333333333,40
manufacturer 1,24,manufacturer 1/operational_data/substation_24.csv,2016-04-06T12:00:00+00:00,2016-04-06T18:00:00+00:00,pre_fault,0-24h,19.783333333333335,40
manufacturer 1,24,manufacturer 1/operational_data/substation_24.csv,2016-10-23T00:00:00+00:00,2016-10-23T06:00:00+00:00,pre_fault,1-3d,37.916666666666664,38
manufacturer 1,24,manufacturer 1/operational_data/substation_24.csv,2016-10-24T00:00:00+00:00,2016-10-24T06:00:00+00:00,pre_fault,0-24h,13.916666666666666,38
manufacturer 1,25,manufacturer 1/operational_data/substation_25.csv,2020-04-06T06:00:00+00:00,2020-04-06T12:00:00+00:00,normal,,,
manufacturer 1,25,manufacturer 1/operational_data/substation_25.csv,2020-04-10T18:00:00+00:00,2020-04-11T00:00:00+00:00,normal,,,
manufacturer 1,26,manufacturer 1/operational_data/substation_26.csv,2020-03-09T00:00:00+00:00,2020-03-09T06:00:00+00:00,pre_fault,1-3d,39.81666666666667,69
manufacturer 1,27,manufacturer 1/operational_data/substation_27.csv,2020-01-15T00:00:00+00:00,2020-01-15T06:00:00+00:00,pre_fault,3-7d,132.95,23
manufacturer 1,27,manufacturer 1/operational_data/substation_27.csv,2020-01-16T06:00:00+00:00,2020-01-16T12:00:00+00:00,pre_fault,3-7d,102.95,23
manufacturer 1,27,manufacturer 1/operational_data/substation_27.csv,2020-01-17T18:00:00+00:00,2020-01-18T00:00:00+00:00,pre_fault,1-3d,66.95,23
manufacturer 1,27,manufacturer 1/operational_data/substation_27.csv,2020-01-20T12:00:00+00:00,2020-01-20T18:00:00+00:00,pre_fault,0-24h,0.95,23
manufacturer 1,28,manufacturer 1/operational_data/substation_28.csv,2020-01-07T12:00:00+00:00,2020-01-07T18:00:00+00:00,pre_fault,3-7d,142.91666666666666,47
manufacturer 1,28,manufacturer 1/operational_data/substation_28.csv,2020-01-07T18:00:00+00:00,2020-01-08T00:00:00+00:00,pre_fault,3-7d,136.91666666666666,47
manufacturer 1,28,manufacturer 1/operational_data/substation_28.csv,2020-01-08T06:00:00+00:00,2020-01-08T12:00:00+00:00,pre_fault,3-7d,124.91666666666667,47
manufacturer 1,28,manufacturer 1/operational_data/substation_28.csv,2020-01-11T00:00:00+00:00,2020-01-11T06:00:00+00:00,pre_fault,1-3d,58.916666666666664,47
manufacturer 1,28,manufacturer 1/operational_data/substation_28.csv,2020-01-12T18:00:00+00:00,2020-01-13T00:00:00+00:00,pre_fault,0-24h,16.916666666666668,47
manufacturer 1,29,manufacturer 1/operational_data/substation_29.csv,2020-03-03T12:00:00+00:00,2020-03-03T18:00:00+00:00,pre_fault,3-7d,91.99527777777777,15
manufacturer 1,29,manufacturer 1/operational_data/substation_29.csv,2020-03-06T00:00:00+00:00,2020-03-06T06:00:00+00:00,pre_fault,1-3d,31.995277777777776,15
manufacturer 1,30,manufacturer 1/operational_data/substation_30.csv,2020-03-11T00:00:00+00:00,2020-03-11T06:00:00+00:00,pre_fault,3-7d,135.06666666666666,10
manufacturer 1,31,manufacturer 1/operational_data/substation_31.csv,2020-01-09T00:00:00+00:00,2020-01-09T06:00:00+00:00,pre_fault,3-7d,111.8,45
manufacturer 2,4,manufacturer 2/operational_data/substation_4.csv,2016-07-27T12:00:00+00:00,2016-07-27T18:00:00+00:00,pre_fault,3-7d,118.56666666666666,41
manufacturer 2,4,manufacturer 2/operational_data/substation_4.csv,2016-07-31T06:00:00+00:00,2016-07-31T12:00:00+00:00,pre_fault,1-3d,28.566666666666666,41
manufacturer 2,4,manufacturer 2/operational_data/substation_4.csv,2016-12-11T06:00:00+00:00,2016-12-11T12:00:00+00:00,pre_fault,3-7d,122.65,37
manufacturer 2,4,manufacturer 2/operational_data/substation_4.csv,2016-12-15T06:00:00+00:00,2016-12-15T12:00:00+00:00,pre_fault,1-3d,26.65,37
manufacturer 2,4,manufacturer 2/operational_data/substation_4.csv,2017-03-07T12:00:00+00:00,2017-03-07T18:00:00+00:00,pre_fault,3-7d,117.18333333333334,35
manufacturer 2,4,manufacturer 2/operational_data/substation_4.csv,2017-03-09T06:00:00+00:00,2017-03-09T12:00:00+00:00,pre_fault,3-7d,75.18333333333334,35
manufacturer 2,4,manufacturer 2/operational_data/substation_4.csv,2017-03-09T18:00:00+00:00,2017-03-10T00:00:00+00:00,pre_fault,1-3d,63.18333333333333,35
manufacturer 2,4,manufacturer 2/operational_data/substation_4.csv,2017-03-12T06:00:00+00:00,2017-03-12T12:00:00+00:00,pre_fault,0-24h,3.183333333333333,35
manufacturer 2,4,manufacturer 2/operational_data/substation_4.csv,2017-04-13T00:00:00+00:00,2017-04-13T06:00:00+00:00,normal,,,
manufacturer 2,4,manufacturer 2/operational_data/substation_4.csv,2018-12-26T06:00:00+00:00,2018-12-26T12:00:00+00:00,normal,,,
manufacturer 2,4,manufacturer 2/operational_data/substation_4.csv,2018-12-28T06:00:00+00:00,2018-12-28T12:00:00+00:00,normal,,,
manufacturer 2,4,manufacturer 2/operational_data/substation_4.csv,2018-12-29T00:00:00+00:00,2018-12-29T06:00:00+00:00,normal,,,
manufacturer 2,7,manufacturer 2/operational_data/substation_7.csv,2019-04-17T00:00:00+00:00,2019-04-17T06:00:00+00:00,normal,,,
manufacturer 2,7,manufacturer 2/operational_data/substation_7.csv,2019-04-19T12:00:00+00:00,2019-04-19T18:00:00+00:00,normal,,,
manufacturer 2,8,manufacturer 2/operational_data/substation_8.csv,2020-01-15T12:00:00+00:00,2020-01-15T18:00:00+00:00,normal,,,
manufacturer 2,8,manufacturer 2/operational_data/substation_8.csv,2020-01-16T12:00:00+00:00,2020-01-16T18:00:00+00:00,normal,,,
manufacturer 2,8,manufacturer 2/operational_data/substation_8.csv,2020-02-12T18:00:00+00:00,2020-02-13T00:00:00+00:00,pre_fault,3-7d,140.0,5
manufacturer 2,8,manufacturer 2/operational_data/substation_8.csv,2020-02-13T00:00:00+00:00,2020-02-13T06:00:00+00:00,pre_fault,3-7d,134.0,5
manufacturer 2,8,manufacturer 2/operational_data/substation_8.csv,2020-02-14T12:00:00+00:00,2020-02-14T18:00:00+00:00,pre_fault,3-7d,98.0,5
manufacturer 2,8,manufacturer 2/operational_data/substation_8.csv,2020-02-16T12:00:00+00:00,2020-02-16T18:00:00+00:00,pre_fault,1-3d,50.0,5
manufacturer 2,8,manufacturer 2/operational_data/substation_8.csv,2020-02-17T06:00:00+00:00,2020-02-17T12:00:00+00:00,pre_fault,1-3d,32.0,5
manufacturer 2,9,manufacturer 2/operational_data/substation_9.csv,2018-12-16T12:00:00+00:00,2018-12-16T18:00:00+00:00,normal,,,
