split_column,fault_event_id,split_values,split_count,cross_split
split_substation_based,45,validation,1,False
split_substation_based,47,train,1,False
split_substation_based,53,train,1,False
split_substation_based,60,train,1,False
split_substation_based,62,holdout,1,False
split_substation_based,63,train,1,False
split_substation_based,64,train,1,False
split_substation_based,65,train,1,False
split_substation_based,67,train,1,False
split_substation_based,69,holdout,1,False
