manufacturer,substation_id,window_start,window_end,label,fault_event_id,fault_label,configuration_type,lead_time_bucket,estimated_lead_time_hours,split_event_regime_based,priority_regression_target,target,priority_v2_threshold48_score,risk_gated_urgency_x8_score,priority_lgbm_guarded_score,priority_lgbm_leak_diagnostic_score,model_version
manufacturer 2,20,2017-01-11 00:00:00,2017-01-11 06:00:00,pre_fault,36.0,Failure of the domestic hot water storage charging pump,SH + DHW,0-6h,3.0,train,70.0,1,78.1885,85.87840408652681,75.78639692194727,69.99971980895718,priority_engine_v3_lgbm_regression_candidate
manufacturer 2,26,2019-11-14 18:00:00,2019-11-15 00:00:00,pre_fault,22.0,Incorrect setting of the differential pressure regulator,SH + DHW,6-24h,9.0,train,70.0,1,78.1818,85.88182088241128,75.33155685848547,69.99971980895718,priority_engine_v3_lgbm_regression_candidate
manufacturer 2,4,2016-07-31 18:00:00,2016-08-01 00:00:00,pre_fault,41.0,Air in the piping system,SH,6-24h,10.566666666666666,train,70.0,1,78.1654,85.61471744305749,74.96664952353458,69.99971980895718,priority_engine_v3_lgbm_regression_candidate
manufacturer 1,28,2020-01-12 12:00:00,2020-01-12 18:00:00,pre_fault,47.0,Failure of the heating circuit pump,SH + DHW,6-24h,16.916666666666668,train,70.0,1,78.1625,85.6614434395769,72.85131273206316,69.99971980895718,priority_engine_v3_lgbm_regression_candidate
manufacturer 1,28,2020-01-12 06:00:00,2020-01-12 12:00:00,pre_fault,47.0,Failure of the heating circuit pump,SH + DHW,6-24h,22.916666666666668,train,70.0,1,78.1609,85.87072599091556,72.85131273206316,69.99971980895718,priority_engine_v3_lgbm_regression_candidate
manufacturer 2,4,2016-07-31 06:00:00,2016-07-31 12:00:00,pre_fault,41.0,Air in the piping system,SH,6-24h,22.566666666666663,train,70.0,1,78.1597,85.75467437895308,75.5720478881585,69.99971980895718,priority_engine_v3_lgbm_regression_candidate
manufacturer 1,20,2017-06-06 18:00:00,2017-06-07 00:00:00,pre_fault,34.0,unknown,SH + DHW with sub-circuits,6-24h,7.566666666666666,train,70.0,1,78.1595,85.90656098332721,74.18515631559993,69.99971980895718,priority_engine_v3_lgbm_regression_candidate
manufacturer 2,43,2020-01-10 06:00:00,2020-01-10 12:00:00,pre_fault,12.0,Strainer (secondary side): Poor flow rate,SH + DHW,0-6h,0.5833333333333334,train,70.0,1,78.1464,85.89956964113881,75.81359014744152,69.99971980895718,priority_engine_v3_lgbm_regression_candidate
manufacturer 2,39,2019-10-02 18:00:00,2019-10-03 00:00:00,pre_fault,27.0,Leakage,SH with buffer tank,6-24h,12.283333333333331,train,70.0,1,78.1425,85.65481330189701,76.02002577180099,69.99971980895718,priority_engine_v3_lgbm_regression_candidate
manufacturer 2,52,2019-02-19 06:00:00,2019-02-19 12:00:00,pre_fault,28.0,Low pre-charge at the expansion vessel,SH + DHW,6-24h,21.266666666666666,train,70.0,1,78.1359,85.90886316377289,76.6090123436742,69.99971980895718,priority_engine_v3_lgbm_regression_candidate
manufacturer 1,24,2016-01-11 18:00:00,2016-01-12 00:00:00,pre_fault,13.0,Failure of the heating circuit pump,SH + DHW with sub-circuits,6-24h,12.65,train,70.0,1,78.1313,85.85923437361407,73.95461997639026,69.99971980895718,priority_engine_v3_lgbm_regression_candidate
manufacturer 1,24,2016-01-11 12:00:00,2016-01-11 18:00:00,pre_fault,13.0,Failure of the heating circuit pump,SH + DHW with sub-circuits,6-24h,18.65,train,70.0,1,78.112,85.760178641957,75.34217265646872,69.99971980895718,priority_engine_v3_lgbm_regression_candidate
manufacturer 2,43,2020-01-09 18:00:00,2020-01-10 00:00:00,pre_fault,12.0,Strainer (secondary side): Poor flow rate,SH + DHW,6-24h,12.583333333333334,train,70.0,1,78.1018,85.82372113451211,75.62039347234484,69.99971980895718,priority_engine_v3_lgbm_regression_candidate
manufacturer 1,24,2016-01-12 00:00:00,2016-01-12 06:00:00,pre_fault,13.0,Failure of the heating circuit pump,SH + DHW with sub-circuits,6-24h,6.65,train,70.0,1,78.0947,85.89505947700538,77.37005651312067,69.99971980895718,priority_engine_v3_lgbm_regression_candidate
manufacturer 2,4,2016-08-01 00:00:00,2016-08-01 06:00:00,pre_fault,41.0,Air in the piping system,SH,0-6h,4.566666666666666,train,70.0,1,78.0921,85.65157080725389,75.40654717819694,69.99971980895718,priority_engine_v3_lgbm_regression_candidate
manufacturer 1,28,2020-01-12 18:00:00,2020-01-13 00:00:00,pre_fault,47.0,Failure of the heating circuit pump,SH + DHW,6-24h,10.916666666666666,train,70.0,1,78.0905,85.64331864991783,72.7569602532191,69.99971980895718,priority_engine_v3_lgbm_regression_candidate
manufacturer 2,43,2020-01-10 00:00:00,2020-01-10 06:00:00,pre_fault,12.0,Strainer (secondary side): Poor flow rate,SH + DHW,6-24h,6.583333333333333,train,70.0,1,78.0893,85.77819657948395,74.97064148174276,69.99971980895718,priority_engine_v3_lgbm_regression_candidate
manufacturer 2,26,2019-11-14 12:00:00,2019-11-14 18:00:00,pre_fault,22.0,Incorrect setting of the differential pressure regulator,SH + DHW,6-24h,15.0,train,70.0,1,78.0654,85.88980837270486,75.92280266776865,69.99971980895718,priority_engine_v3_lgbm_regression_candidate
manufacturer 2,15,2019-12-18 18:00:00,2019-12-19 00:00:00,pre_fault,13.0,Leakage,SH,6-24h,8.233333333333333,train,70.0,1,78.0638,85.78371055486456,74.80327332543764,69.99971980895718,priority_engine_v3_lgbm_regression_candidate
manufacturer 2,15,2019-12-18 06:00:00,2019-12-18 12:00:00,pre_fault,13.0,Leakage,SH,6-24h,20.23333333333333,train,70.0,1,78.0562,85.77074343954445,74.9279125283519,69.99971980895718,priority_engine_v3_lgbm_regression_candidate
manufacturer 2,21,2018-12-03 00:00:00,2018-12-03 06:00:00,pre_fault,30.0,Control unit: Incorrect parameterisation,SH + DHW with sub-circuits,6-24h,8.416666666666666,train,70.0,1,78.0415,85.73303698787687,75.43465602563641,69.99971980895718,priority_engine_v3_lgbm_regression_candidate
manufacturer 2,52,2019-02-19 12:00:00,2019-02-19 18:00:00,pre_fault,28.0,Low pre-charge at the expansion vessel,SH + DHW,6-24h,15.266666666666667,train,70.0,1,78.0407,85.81482139185525,75.86102977219193,69.99971980895718,priority_engine_v3_lgbm_regression_candidate
manufacturer 2,15,2019-12-19 00:00:00,2019-12-19 06:00:00,pre_fault,13.0,Leakage,SH,0-6h,2.2333333333333334,train,70.0,1,78.0392,85.82672740870248,74.7192470853655,69.99971980895718,priority_engine_v3_lgbm_regression_candidate
manufacturer 1,31,2020-01-13 06:00:00,2020-01-13 12:00:00,pre_fault,45.0,"Heat exchanger: Leakage, external",SH + DHW,0-6h,3.8,train,70.0,1,78.027,85.77284287431046,75.98921223949228,69.99971980895718,priority_engine_v3_lgbm_regression_candidate
manufacturer 1,24,2016-01-12 06:00:00,2016-01-12 12:00:00,pre_fault,13.0,Failure of the heating circuit pump,SH + DHW with sub-circuits,0-6h,0.65,train,70.0,1,78.0252,85.81040851514175,75.44798418013934,69.99971980895718,priority_engine_v3_lgbm_regression_candidate
manufacturer 1,28,2020-01-13 00:00:00,2020-01-13 06:00:00,pre_fault,47.0,Failure of the heating circuit pump,SH + DHW,0-6h,4.916666666666667,train,70.0,1,78.0198,85.68532851791755,74.98750885577583,69.99971980895718,priority_engine_v3_lgbm_regression_candidate
manufacturer 2,15,2019-12-18 12:00:00,2019-12-18 18:00:00,pre_fault,13.0,Leakage,SH,6-24h,14.233333333333333,train,70.0,1,77.9823,85.70806096237999,74.03043997523659,69.99971980895718,priority_engine_v3_lgbm_regression_candidate
manufacturer 2,4,2016-07-31 12:00:00,2016-07-31 18:00:00,pre_fault,41.0,Air in the piping system,SH,6-24h,16.566666666666666,train,70.0,1,77.9815,85.6847592147679,76.29584008782246,69.99971980895718,priority_engine_v3_lgbm_regression_candidate
manufacturer 1,20,2017-06-07 00:00:00,2017-06-07 06:00:00,pre_fault,34.0,unknown,SH + DHW with sub-circuits,0-6h,1.5666666666666669,train,70.0,1,77.9725,85.7470008468286,74.13519469007852,69.99971980895718,priority_engine_v3_lgbm_regression_candidate
manufacturer 1,19,2018-11-20 12:00:00,2018-11-20 18:00:00,pre_fault,37.0,Control unit: Incorrect parameterisation,SH + DHW with sub-circuits,6-24h,15.25,train,70.0,1,77.9683,85.67271864202566,77.72732904613162,69.99971980895718,priority_engine_v3_lgbm_regression_candidate
manufacturer 2,43,2020-01-09 12:00:00,2020-01-09 18:00:00,pre_fault,12.0,Strainer (secondary side): Poor flow rate,SH + DHW,6-24h,18.58333333333333,train,70.0,1,77.9638,85.59022670496509,75.18114940414344,69.99971980895718,priority_engine_v3_lgbm_regression_candidate
manufacturer 1,20,2017-06-06 06:00:00,2017-06-06 12:00:00,pre_fault,34.0,unknown,SH + DHW with sub-circuits,6-24h,19.566666666666663,train,70.0,1,77.9598,85.51921434574632,74.64656640953807,69.99971980895718,priority_engine_v3_lgbm_regression_candidate
manufacturer 1,19,2018-11-21 00:00:00,2018-11-21 06:00:00,pre_fault,37.0,Control unit: Incorrect parameterisation,SH + DHW with sub-circuits,0-6h,3.25,train,70.0,1,77.9293,85.40888494691805,76.70521677075992,69.99971980895718,priority_engine_v3_lgbm_regression_candidate
manufacturer 1,19,2018-11-20 06:00:00,2018-11-20 12:00:00,pre_fault,37.0,Control unit: Incorrect parameterisation,SH + DHW with sub-circuits,6-24h,21.25,train,70.0,1,77.9238,85.58734619759527,77.39629815057461,69.99971980895718,priority_engine_v3_lgbm_regression_candidate
manufacturer 2,19,2018-12-27 06:00:00,2018-12-27 12:00:00,pre_fault,29.0,Leakage,SH + DHW,6-24h,21.016666666666666,train,70.0,1,77.882,85.54380134695003,75.79127686919135,69.99971980895718,priority_engine_v3_lgbm_regression_candidate
manufacturer 1,31,2020-01-12 12:00:00,2020-01-12 18:00:00,pre_fault,45.0,"Heat exchanger: Leakage, external",SH + DHW,6-24h,21.8,train,70.0,1,77.8764,85.70372245367693,75.89845178640674,69.99971980895718,priority_engine_v3_lgbm_regression_candidate
manufacturer 2,11,2019-11-25 18:00:00,2019-11-26 00:00:00,pre_fault,18.0,Incorrect setting of the differential pressure regulator,SH,6-24h,9.95,train,70.0,1,77.8608,85.42943820402179,75.37169652232899,69.99971980895718,priority_engine_v3_lgbm_regression_candidate
manufacturer 2,21,2018-12-02 18:00:00,2018-12-03 00:00:00,pre_fault,30.0,Control unit: Incorrect parameterisation,SH + DHW with sub-circuits,6-24h,14.416666666666666,train,70.0,1,77.8181,85.37409362344744,75.43465602563641,69.99971980895718,priority_engine_v3_lgbm_regression_candidate
manufacturer 2,11,2019-11-26 00:00:00,2019-11-26 06:00:00,pre_fault,18.0,Incorrect setting of the differential pressure regulator,SH,0-6h,3.95,train,70.0,1,77.787,85.69976380179469,75.37169652232899,69.99971980895718,priority_engine_v3_lgbm_regression_candidate
manufacturer 1,6,2019-04-15 18:00:00,2019-04-16 00:00:00,pre_fault,64.0,Differential pressure regulator defective,SH + DHW,6-24h,9.683333333333334,train,70.0,1,77.7015,85.48192226246489,76.55379843686997,69.99971980895718,priority_engine_v3_lgbm_regression_candidate
manufacturer 1,6,2019-04-16 00:00:00,2019-04-16 06:00:00,pre_fault,64.0,Differential pressure regulator defective,SH + DHW,0-6h,3.683333333333333,train,70.0,1,77.6299,85.25489680594686,76.8682267678601,69.99971980895718,priority_engine_v3_lgbm_regression_candidate
manufacturer 1,20,2017-06-06 12:00:00,2017-06-06 18:00:00,pre_fault,34.0,unknown,SH + DHW with sub-circuits,6-24h,13.566666666666666,train,70.0,1,77.6,85.20934845769672,74.62939863386508,69.99971980895718,priority_engine_v3_lgbm_regression_candidate
manufacturer 2,52,2019-02-20 00:00:00,2019-02-20 06:00:00,pre_fault,28.0,Low pre-charge at the expansion vessel,SH + DHW,0-6h,3.2666666666666666,train,70.0,1,77.4398,84.99126540610388,75.5032348999488,69.99971980895718,priority_engine_v3_lgbm_regression_candidate
manufacturer 1,19,2018-11-20 18:00:00,2018-11-21 00:00:00,pre_fault,37.0,Control unit: Incorrect parameterisation,SH + DHW with sub-circuits,6-24h,9.25,train,70.0,1,77.3842,85.07949806295771,76.73093862739465,69.99971980895718,priority_engine_v3_lgbm_regression_candidate
manufacturer 2,26,2019-11-14 06:00:00,2019-11-14 12:00:00,pre_fault,22.0,Incorrect setting of the differential pressure regulator,SH + DHW,6-24h,21.0,train,70.0,1,77.3673,84.9705972608722,75.5336198518824,69.99971980895718,priority_engine_v3_lgbm_regression_candidate
manufacturer 1,8,2018-04-26 06:00:00,2018-04-26 12:00:00,pre_fault,44.0,Temperature monitor/controller defective,SH + DHW,6-24h,20.25,train,70.0,1,77.2804,85.1394501634261,75.60680187246811,69.99971980895718,priority_engine_v3_lgbm_regression_candidate
manufacturer 2,10,2016-12-05 12:00:00,2016-12-05 18:00:00,pre_fault,38.0,Incorrect setting of the differential pressure regulator,SH,6-24h,15.716666666666669,train,70.0,1,77.0706,84.88394841976329,75.82363151121776,69.99971980895718,priority_engine_v3_lgbm_regression_candidate
manufacturer 2,10,2016-12-05 18:00:00,2016-12-06 00:00:00,pre_fault,38.0,Incorrect setting of the differential pressure regulator,SH,6-24h,9.716666666666669,train,70.0,1,76.9743,84.6485976987624,74.83558711469271,69.99971980895718,priority_engine_v3_lgbm_regression_candidate
manufacturer 2,10,2016-12-05 06:00:00,2016-12-05 12:00:00,pre_fault,38.0,Incorrect setting of the differential pressure regulator,SH,6-24h,21.716666666666665,train,70.0,1,76.911,84.4554869996274,74.54070375594284,69.99971980895718,priority_engine_v3_lgbm_regression_candidate
