column_name,dtype,feature_family,selection_split_column,selection_split_value,missing_rate_train,unique_count_train,selected_for_baseline,exclusion_reason,manufacturer_1_non_null_rate_train,manufacturer_2_non_null_rate_train,m1_missing_rate_train,m1_unique_count_train,m1_selected_for_baseline
p_net_meter_volume__std,float64,sensor_numeric,split_regime_based,train,0.0,1641,True,,1.0,1.0,0.0,884,True
p_net_return_temperature__delta,float64,sensor_numeric,split_regime_based,train,0.0,499,True,,1.0,1.0,0.0,456,True
p_net_return_temperature__first,float64,sensor_numeric,split_regime_based,train,0.0,355,True,,1.0,1.0,0.0,320,True
p_net_return_temperature__last,float64,sensor_numeric,split_regime_based,train,0.0,502,True,,1.0,1.0,0.0,468,True
p_net_return_temperature__max,float64,sensor_numeric,split_regime_based,train,0.0,382,True,,1.0,1.0,0.0,351,True
p_net_return_temperature__mean,float64,sensor_numeric,split_regime_based,train,0.0,1198,True,,1.0,1.0,0.0,796,True
p_net_return_temperature__min,float64,sensor_numeric,split_regime_based,train,0.0,410,True,,1.0,1.0,0.0,380,True
p_net_return_temperature__missing_count,int64,sensor_numeric,split_regime_based,train,0.0,12,True,,1.0,1.0,0.0,12,True
p_net_return_temperature__missing_rate,float64,sensor_numeric,split_regime_based,train,0.0,12,True,,1.0,1.0,0.0,12,True
p_net_return_temperature__std,float64,sensor_numeric,split_regime_based,train,0.0,1604,True,,1.0,1.0,0.0,867,True
p_net_supply_temperature__delta,float64,sensor_numeric,split_regime_based,train,0.0,446,True,,1.0,1.0,0.0,413,True
p_net_supply_temperature__first,float64,sensor_numeric,split_regime_based,train,0.0,369,True,,1.0,1.0,0.0,328,True
p_net_supply_temperature__last,float64,sensor_numeric,split_regime_based,train,0.0,481,True,,1.0,1.0,0.0,440,True
p_net_supply_temperature__max,float64,sensor_numeric,split_regime_based,train,0.0,393,True,,1.0,1.0,0.0,358,True
p_net_supply_temperature__mean,float64,sensor_numeric,split_regime_based,train,0.0,1184,True,,1.0,1.0,0.0,750,True
p_net_supply_temperature__min,float64,sensor_numeric,split_regime_based,train,0.0,407,True,,1.0,1.0,0.0,360,True
p_net_supply_temperature__missing_count,int64,sensor_numeric,split_regime_based,train,0.0,12,True,,1.0,1.0,0.0,12,True
p_net_supply_temperature__missing_rate,float64,sensor_numeric,split_regime_based,train,0.0,12,True,,1.0,1.0,0.0,12,True
p_net_supply_temperature__std,float64,sensor_numeric,split_regime_based,train,0.0,1558,True,,1.0,1.0,0.0,817,True
row_count,int64,sensor_numeric,split_regime_based,train,0.0,13,True,,1.0,1.0,0.0,10,True
s_hc1_supply_temperature__delta,float64,sensor_numeric,split_regime_based,train,0.0,849,True,,1.0,1.0,0.0,604,True
s_hc1_supply_temperature__first,float64,sensor_numeric,split_regime_based,train,0.0,530,True,,1.0,1.0,0.0,419,True
s_hc1_supply_temperature__last,float64,sensor_numeric,split_regime_based,train,0.0,787,True,,1.0,1.0,0.0,606,True
s_hc1_supply_temperature__max,float64,sensor_numeric,split_regime_based,train,0.0,555,True,,1.0,1.0,0.0,445,True
s_hc1_supply_temperature__mean,float64,sensor_numeric,split_regime_based,train,0.0,1590,True,,1.0,1.0,0.0,878,True
s_hc1_supply_temperature__min,float64,sensor_numeric,split_regime_based,train,0.0,549,True,,1.0,1.0,0.0,446,True
s_hc1_supply_temperature__std,float64,sensor_numeric,split_regime_based,train,0.0,1654,True,,1.0,1.0,0.0,896,True
timestamp_gap_count,int64,sensor_numeric,split_regime_based,train,0.0,2,True,,1.0,1.0,0.0,2,True
hc1_supply_temperature_gap__last,float64,sensor_numeric,split_regime_based,train,0.0065947242206235,536,True,,1.0,0.9862155388471178,0.0,406,True
hc1_supply_temperature_gap__max_abs,float64,sensor_numeric,split_regime_based,train,0.0065947242206235,541,True,,1.0,0.9862155388471178,0.0,398,True
hc1_supply_temperature_gap__mean,float64,sensor_numeric,split_regime_based,train,0.0065947242206235,1570,True,,1.0,0.9862155388471178,0.0,864,True
s_hc1_supply_temperature_setpoint__delta,float64,sensor_numeric,split_regime_based,train,0.0065947242206235,689,True,,1.0,0.9862155388471178,0.0,491,True
s_hc1_supply_temperature_setpoint__first,float64,sensor_numeric,split_regime_based,train,0.0065947242206235,452,True,,1.0,0.9862155388471178,0.0,354,True
s_hc1_supply_temperature_setpoint__last,float64,sensor_numeric,split_regime_based,train,0.0065947242206235,622,True,,1.0,0.9862155388471178,0.0,470,True
s_hc1_supply_temperature_setpoint__max,float64,sensor_numeric,split_regime_based,train,0.0065947242206235,495,True,,1.0,0.9862155388471178,0.0,393,True
s_hc1_supply_temperature_setpoint__mean,float64,sensor_numeric,split_regime_based,train,0.0065947242206235,1241,True,,1.0,0.9862155388471178,0.0,719,True
s_hc1_supply_temperature_setpoint__min,float64,sensor_numeric,split_regime_based,train,0.0065947242206235,472,True,,1.0,0.9862155388471178,0.0,374,True
s_hc1_supply_temperature_setpoint__std,float64,sensor_numeric,split_regime_based,train,0.0065947242206235,1259,True,,1.0,0.9862155388471178,0.0,726,True
s_dhw_lower_storage_temperature__delta,float64,sensor_numeric,split_regime_based,train,0.3405275779376499,724,True,,0.7241379310344828,0.5889724310776943,0.0,489,True
s_dhw_lower_storage_temperature__first,float64,sensor_numeric,split_regime_based,train,0.3405275779376499,427,True,,0.7241379310344828,0.5889724310776943,0.0,296,True
s_dhw_lower_storage_temperature__last,float64,sensor_numeric,split_regime_based,train,0.3405275779376499,589,True,,0.7241379310344828,0.5889724310776943,0.0,423,True
s_dhw_lower_storage_temperature__max,float64,sensor_numeric,split_regime_based,train,0.3405275779376499,333,True,,0.7241379310344828,0.5889724310776943,0.0,229,True
s_dhw_lower_storage_temperature__mean,float64,sensor_numeric,split_regime_based,train,0.3405275779376499,1076,True,,0.7241379310344828,0.5889724310776943,0.0,643,True
s_dhw_lower_storage_temperature__min,float64,sensor_numeric,split_regime_based,train,0.3405275779376499,380,True,,0.7241379310344828,0.5889724310776943,0.0,257,True
s_dhw_lower_storage_temperature__std,float64,sensor_numeric,split_regime_based,train,0.3405275779376499,1094,True,,0.7241379310344828,0.5889724310776943,0.0,650,True
s_dhw_upper_storage_temperature__delta,float64,sensor_numeric,split_regime_based,train,0.3405275779376499,491,True,,0.7241379310344828,0.5889724310776943,0.0,363,True
s_dhw_upper_storage_temperature__first,float64,sensor_numeric,split_regime_based,train,0.3405275779376499,291,True,,0.7241379310344828,0.5889724310776943,0.0,216,True
s_dhw_upper_storage_temperature__last,float64,sensor_numeric,split_regime_based,train,0.3405275779376499,398,True,,0.7241379310344828,0.5889724310776943,0.0,287,True
s_dhw_upper_storage_temperature__max,float64,sensor_numeric,split_regime_based,train,0.3405275779376499,250,True,,0.7241379310344828,0.5889724310776943,0.0,160,True
s_dhw_upper_storage_temperature__mean,float64,sensor_numeric,split_regime_based,train,0.3405275779376499,1033,True,,0.7241379310344828,0.5889724310776943,0.0,622,True
s_dhw_upper_storage_temperature__min,float64,sensor_numeric,split_regime_based,train,0.3405275779376499,388,True,,0.7241379310344828,0.5889724310776943,0.0,320,True
s_dhw_upper_storage_temperature__std,float64,sensor_numeric,split_regime_based,train,0.3405275779376499,1094,True,,0.7241379310344828,0.5889724310776943,0.0,650,True
s_dhw_supply_temperature__delta,float64,sensor_numeric,split_regime_based,train,0.3974820143884892,367,True,,0.7241379310344828,0.4699248120300752,0.0,289,True
s_dhw_supply_temperature__first,float64,sensor_numeric,split_regime_based,train,0.3974820143884892,187,True,,0.7241379310344828,0.4699248120300752,0.0,159,True
s_dhw_supply_temperature__last,float64,sensor_numeric,split_regime_based,train,0.3974820143884892,258,True,,0.7241379310344828,0.4699248120300752,0.0,223,True
s_dhw_supply_temperature__max,float64,sensor_numeric,split_regime_based,train,0.3974820143884892,219,True,,0.7241379310344828,0.4699248120300752,0.0,200,True
s_dhw_supply_temperature__mean,float64,sensor_numeric,split_regime_based,train,0.3974820143884892,838,True,,0.7241379310344828,0.4699248120300752,0.0,575,True
s_dhw_supply_temperature__min,float64,sensor_numeric,split_regime_based,train,0.3974820143884892,298,True,,0.7241379310344828,0.4699248120300752,0.0,248,True
s_dhw_supply_temperature__std,float64,sensor_numeric,split_regime_based,train,0.3974820143884892,1000,True,,0.7241379310344828,0.4699248120300752,0.0,649,True
dhw_supply_temperature_gap__last,float64,sensor_numeric,split_regime_based,train,0.4436450839328537,214,True,,0.7241379310344828,0.3734335839598997,0.0,192,True
dhw_supply_temperature_gap__max_abs,float64,sensor_numeric,split_regime_based,train,0.4436450839328537,250,True,,0.7241379310344828,0.3734335839598997,0.0,239,True
dhw_supply_temperature_gap__mean,float64,sensor_numeric,split_regime_based,train,0.4436450839328537,909,True,,0.7241379310344828,0.3734335839598997,0.0,643,True
s_dhw_supply_temperature_setpoint__delta,float64,sensor_numeric,split_regime_based,train,0.4436450839328537,10,True,,0.7241379310344828,0.3734335839598997,0.0,9,True
s_dhw_supply_temperature_setpoint__first,float64,sensor_numeric,split_regime_based,train,0.4436450839328537,13,True,,0.7241379310344828,0.3734335839598997,0.0,12,True
s_dhw_supply_temperature_setpoint__last,float64,sensor_numeric,split_regime_based,train,0.4436450839328537,15,True,,0.7241379310344828,0.3734335839598997,0.0,15,True
s_dhw_supply_temperature_setpoint__max,float64,sensor_numeric,split_regime_based,train,0.4436450839328537,13,True,,0.7241379310344828,0.3734335839598997,0.0,13,True
s_dhw_supply_temperature_setpoint__mean,float64,sensor_numeric,split_regime_based,train,0.4436450839328537,93,True,,0.7241379310344828,0.3734335839598997,0.0,95,True
s_dhw_supply_temperature_setpoint__min,float64,sensor_numeric,split_regime_based,train,0.4436450839328537,10,True,,0.7241379310344828,0.3734335839598997,0.0,9,True
s_dhw_supply_temperature_setpoint__std,float64,sensor_numeric,split_regime_based,train,0.4436450839328537,197,True,,0.7241379310344828,0.3734335839598997,0.0,201,True
day_of_week,int64,time_context,split_regime_based,train,0.0,7,True,,1.0,1.0,0.0,7,True
day_of_year,int64,time_context,split_regime_based,train,0.0,236,True,,1.0,1.0,0.0,169,True
hour_of_day,float64,time_context,split_regime_based,train,0.0,4,True,,1.0,1.0,0.0,4,True
is_heating_season,bool,time_context,split_regime_based,train,0.0,2,True,,1.0,1.0,0.0,2,True
is_weekend,bool,time_context,split_regime_based,train,0.0,2,True,,1.0,1.0,0.0,2,True
month,int64,time_context,split_regime_based,train,0.0,12,True,,1.0,1.0,0.0,11,True
