ts,outdoor_temperature,s_hc1_supply_temperature,s_hc1_supply_temperature_setpoint,s_dhw_supply_temperature,s_dhw_supply_temperature_setpoint,p_hc1_return_temperature,s_dhw_upper_storage_temperature,s_dhw_upper_storage_temperature_setpoint,s_dhw_lower_storage_temperature,p_net_meter_energy,p_net_meter_volume,p_net_meter_heat_power,p_net_meter_flow,p_net_supply_temperature,p_net_return_temperature,manufacturer,substation_id,source_file,s_hc1_control_unit_mode,s_dhw_control_unit_mode,s_hc1_room_temperature_setpoint,p_hc1_control_valve_position_setpoint,p_dhw_control_valve_position,s_hc1_heating_pump_status_setpoint
2014-05-04 04:30:00,6.0,39.6,40.0,16.5,62.0,34.6,16.2,61.0,16.1,651950.5,14934.23,19.5,340.0,87.5,36.5,manufacturer 1,10,manufacturer 1/operational_data/substation_10.csv,,,,,,
2014-05-04 04:40:00,6.0,39.6,40.0,16.6,62.0,34.6,16.3,61.0,16.2,651952.6666666666,14934.266666666666,21.666666666666664,379.0,87.33333333333333,36.66666666666666,manufacturer 1,10,manufacturer 1/operational_data/substation_10.csv,,,,,,
2014-05-04 04:50:00,6.0,39.5,40.0,16.700000000000003,62.0,34.6,16.4,61.0,16.299999999999997,651954.8333333334,14934.303333333331,23.83333333333333,418.0,87.16666666666667,36.833333333333336,manufacturer 1,10,manufacturer 1/operational_data/substation_10.csv,,,,,,
2014-05-04 05:00:00,6.0,39.4,40.0,16.8,62.0,34.6,16.5,61.0,16.4,651957.0,14934.34,26.0,457.0,87.0,37.0,manufacturer 1,10,manufacturer 1/operational_data/substation_10.csv,,,,,,
2014-05-04 05:10:00,6.0,41.4,40.0,16.9,62.0,35.5,16.6,61.0,16.5,651959.5,14934.383333333331,23.83333333333333,420.6666666666667,87.16666666666667,37.16666666666666,manufacturer 1,10,manufacturer 1/operational_data/substation_10.csv,,,,,,
2014-05-04 05:20:00,5.95,41.3,40.0,16.95,62.0,35.6,16.700000000000003,61.0,16.6,651962.0,14934.426666666666,21.666666666666668,384.3333333333333,87.33333333333333,37.333333333333336,manufacturer 1,10,manufacturer 1/operational_data/substation_10.csv,,,,,,
2014-05-04 05:30:00,5.9,41.2,40.0,17.0,62.0,35.7,16.8,61.0,16.7,651964.5,14934.47,19.5,348.0,87.5,37.5,manufacturer 1,10,manufacturer 1/operational_data/substation_10.csv,,,,,,
2014-05-04 05:40:00,5.9,41.4,40.0,17.2,62.0,35.9,16.9,61.0,16.8,651967.0,14934.513333333334,17.333333333333336,311.66666666666663,87.66666666666667,37.66666666666666,manufacturer 1,10,manufacturer 1/operational_data/substation_10.csv,,,,,,
2014-05-04 05:50:00,5.9,41.35,40.0,17.25,62.0,35.95,16.95,61.0,16.9,651969.5,14934.556666666667,15.166666666666668,275.3333333333333,87.83333333333333,37.833333333333336,manufacturer 1,10,manufacturer 1/operational_data/substation_10.csv,,,,,,
2014-05-04 06:00:00,5.9,41.3,40.0,17.3,62.0,36.0,17.0,61.0,17.0,651972.0,14934.6,13.0,239.0,88.0,38.0,manufacturer 1,10,manufacturer 1/operational_data/substation_10.csv,,,,,,
2014-05-04 06:10:00,5.9,41.1,40.0,17.4,62.0,35.9,17.2,61.0,17.1,651974.3333333334,14934.64,13.0,239.0,87.83333333333333,38.0,manufacturer 1,10,manufacturer 1/operational_data/substation_10.csv,,,,,,
2014-05-04 06:20:00,5.9,41.1,40.0,17.5,62.0,35.849999999999994,17.299999999999997,61.0,17.15,651976.6666666666,14934.68,13.0,239.0,87.66666666666667,38.0,manufacturer 1,10,manufacturer 1/operational_data/substation_10.csv,,,,,,
2014-05-04 06:30:00,5.9,41.1,40.0,17.6,62.0,35.8,17.4,61.0,17.2,651979.0,14934.72,13.0,239.0,87.5,38.0,manufacturer 1,10,manufacturer 1/operational_data/substation_10.csv,,,,,,
2014-05-04 06:40:00,5.9,40.8,40.0,17.7,62.0,35.4,17.5,61.0,17.4,651981.3333333334,14934.76,13.0,239.0,87.33333333333333,38.0,manufacturer 1,10,manufacturer 1/operational_data/substation_10.csv,,,,,,
2014-05-04 06:50:00,5.95,40.75,40.0,17.75,62.0,35.349999999999994,17.55,61.0,17.45,651983.6666666666,14934.8,13.0,239.0,87.16666666666667,38.0,manufacturer 1,10,manufacturer 1/operational_data/substation_10.csv,,,,,,
2014-05-04 07:00:00,6.0,40.7,40.0,17.8,62.0,35.3,17.6,61.0,17.5,651986.0,14934.84,13.0,239.0,87.0,38.0,manufacturer 1,10,manufacturer 1/operational_data/substation_10.csv,,,,,,
2014-05-04 07:10:00,6.1,40.8,40.0,18.0,62.0,35.5,17.8,61.0,17.7,651988.3333333334,14934.88,13.0,239.0,87.16666666666667,38.0,manufacturer 1,10,manufacturer 1/operational_data/substation_10.csv,,,,,,
2014-05-04 07:20:00,6.15,40.85,40.0,18.05,62.0,35.5,17.85,61.0,17.75,651990.6666666666,14934.92,13.0,239.0,87.33333333333333,38.0,manufacturer 1,10,manufacturer 1/operational_data/substation_10.csv,,,,,,
2014-05-04 07:30:00,6.2,40.9,40.0,18.1,62.0,35.5,17.9,61.0,17.8,651993.0,14934.96,13.0,239.0,87.5,38.0,manufacturer 1,10,manufacturer 1/operational_data/substation_10.csv,,,,,,
2014-05-04 07:40:00,6.5,40.9,40.0,18.3,62.0,35.5,18.0,61.0,18.0,651995.3333333334,14935.0,13.0,239.0,87.66666666666667,38.0,manufacturer 1,10,manufacturer 1/operational_data/substation_10.csv,,,,,,
2014-05-04 07:50:00,6.65,40.7,40.0,18.25,62.0,35.35,18.1,61.0,18.0,651997.6666666666,14935.04,13.0,239.0,87.83333333333333,38.0,manufacturer 1,10,manufacturer 1/operational_data/substation_10.csv,,,,,,
2014-05-04 08:00:00,6.8,40.5,40.0,18.2,62.0,35.2,18.2,61.0,18.0,652000.0,14935.08,13.0,239.0,88.0,38.0,manufacturer 1,10,manufacturer 1/operational_data/substation_10.csv,,,,,,
2014-05-04 08:10:00,7.1,40.5,40.0,17.7,62.0,35.1,18.2,61.0,18.1,652002.3333333334,14935.121666666666,13.166666666666666,239.66666666666663,88.0,38.0,manufacturer 1,10,manufacturer 1/operational_data/substation_10.csv,,,,,,
2014-05-04 08:20:00,7.25,40.65,40.0,17.85,62.0,35.25,18.1,61.0,17.950000000000003,652004.6666666666,14935.163333333334,13.333333333333334,240.3333333333333,88.0,38.0,manufacturer 1,10,manufacturer 1/operational_data/substation_10.csv,,,,,,
2014-05-04 08:30:00,7.4,40.8,40.0,18.0,62.0,35.4,18.0,61.0,17.8,652007.0,14935.205,13.5,241.0,88.0,38.0,manufacturer 1,10,manufacturer 1/operational_data/substation_10.csv,,,,,,
2014-05-04 08:40:00,8.2,40.6,40.0,17.8,62.0,35.2,18.0,61.0,17.8,652009.3333333334,14935.246666666666,13.666666666666666,241.66666666666663,88.0,38.0,manufacturer 1,10,manufacturer 1/operational_data/substation_10.csv,,,,,,
2014-05-04 08:50:00,8.5,40.6,40.0,17.55,62.0,35.2,17.85,61.0,17.65,652011.6666666666,14935.288333333334,13.833333333333334,242.3333333333333,88.0,38.0,manufacturer 1,10,manufacturer 1/operational_data/substation_10.csv,,,,,,
2014-05-04 09:00:00,8.8,40.6,40.0,17.3,62.0,35.2,17.7,61.0,17.5,652014.0,14935.33,14.0,243.0,88.0,38.0,manufacturer 1,10,manufacturer 1/operational_data/substation_10.csv,,,,,,
2014-05-04 09:10:00,8.8,40.4,40.0,17.8,62.0,35.0,17.7,61.0,17.6,652016.3333333334,14935.37,13.833333333333334,242.66666666666663,87.83333333333333,37.833333333333336,manufacturer 1,10,manufacturer 1/operational_data/substation_10.csv,,,,,,
2014-05-04 09:20:00,9.05,40.4,40.0,17.700000000000003,62.0,35.0,17.65,61.0,17.55,652018.6666666666,14935.41,13.666666666666666,242.3333333333333,87.66666666666667,37.66666666666666,manufacturer 1,10,manufacturer 1/operational_data/substation_10.csv,,,,,,
2014-05-04 09:30:00,9.3,40.4,40.0,17.6,62.0,35.0,17.6,61.0,17.5,652021.0,14935.45,13.5,242.0,87.5,37.5,manufacturer 1,10,manufacturer 1/operational_data/substation_10.csv,,,,,,
2014-05-04 09:40:00,9.7,39.7,40.0,17.7,62.0,34.3,17.5,61.0,17.4,652023.3333333334,14935.49,13.333333333333334,241.66666666666663,87.33333333333333,37.333333333333336,manufacturer 1,10,manufacturer 1/operational_data/substation_10.csv,,,,,,
2014-05-04 09:50:00,10.05,39.900000000000006,40.0,16.95,62.0,34.5,17.4,61.0,17.299999999999997,652025.6666666666,14935.53,13.166666666666666,241.3333333333333,87.16666666666667,37.16666666666666,manufacturer 1,10,manufacturer 1/operational_data/substation_10.csv,,,,,,
2014-05-04 10:00:00,10.4,40.1,40.0,16.2,62.0,34.7,17.3,61.0,17.2,652028.0,14935.57,13.0,241.0,87.0,37.0,manufacturer 1,10,manufacturer 1/operational_data/substation_10.csv,,,,,,
2014-05-04 10:10:00,10.9,40.2,40.0,17.2,62.0,34.8,17.1,61.0,16.9,652030.3333333334,14935.61,13.0,240.8333333333333,87.0,37.0,manufacturer 1,10,manufacturer 1/operational_data/substation_10.csv,,,,,,
2014-05-04 10:20:00,10.75,40.3,40.0,16.95,62.0,34.9,17.0,61.0,16.799999999999997,652032.6666666666,14935.65,13.0,240.66666666666663,87.0,37.0,manufacturer 1,10,manufacturer 1/operational_data/substation_10.csv,,,,,,
2014-05-04 10:30:00,10.6,40.4,40.0,16.7,62.0,35.0,16.9,61.0,16.7,652035.0,14935.69,13.0,240.5,87.0,37.0,manufacturer 1,10,manufacturer 1/operational_data/substation_10.csv,,,,,,
2014-05-04 10:40:00,10.2,40.2,40.0,16.6,62.0,34.9,16.8,61.0,16.4,652037.3333333334,14935.73,13.0,240.3333333333333,87.0,37.0,manufacturer 1,10,manufacturer 1/operational_data/substation_10.csv,,,,,,
2014-05-04 10:50:00,9.7,40.05,40.0,16.65,62.0,34.75,16.700000000000003,61.0,16.5,652039.6666666666,14935.77,13.0,240.16666666666663,87.0,37.0,manufacturer 1,10,manufacturer 1/operational_data/substation_10.csv,,,,,,
2014-05-04 11:00:00,9.2,39.9,40.0,16.7,62.0,34.6,16.6,61.0,16.6,652042.0,14935.81,13.0,240.0,87.0,37.0,manufacturer 1,10,manufacturer 1/operational_data/substation_10.csv,,,,,,
2014-05-04 11:10:00,9.1,40.2,40.0,16.6,62.0,34.8,16.5,61.0,16.4,652044.1666666666,14935.85,13.0,240.3333333333333,87.0,37.0,manufacturer 1,10,manufacturer 1/operational_data/substation_10.csv,,,,,,
2014-05-04 11:20:00,9.9,40.3,40.0,15.6,62.0,34.9,16.3,61.0,15.6,652046.3333333334,14935.89,13.0,240.66666666666663,87.0,37.0,manufacturer 1,10,manufacturer 1/operational_data/substation_10.csv,,,,,,
2014-05-04 11:30:00,10.7,40.4,40.0,14.6,62.0,35.0,16.1,61.0,14.8,652048.5,14935.93,13.0,241.0,87.0,37.0,manufacturer 1,10,manufacturer 1/operational_data/substation_10.csv,,,,,,
2014-05-04 11:40:00,10.9,40.5,40.0,15.2,62.0,35.2,15.5,61.0,15.2,652050.6666666666,14935.97,13.0,241.3333333333333,87.0,37.0,manufacturer 1,10,manufacturer 1/operational_data/substation_10.csv,,,,,,
2014-05-04 11:50:00,10.05,40.35,40.0,15.0,62.0,35.1,15.25,61.0,14.95,652052.8333333334,14936.009999999998,13.0,241.66666666666663,87.0,37.0,manufacturer 1,10,manufacturer 1/operational_data/substation_10.csv,,,,,,
2014-05-04 12:00:00,9.2,40.2,40.0,14.8,62.0,35.0,15.0,61.0,14.7,652055.0,14936.05,13.0,242.0,87.0,37.0,manufacturer 1,10,manufacturer 1/operational_data/substation_10.csv,,,,,,
2014-05-04 12:10:00,7.9,40.0,40.0,14.7,62.0,34.7,14.9,61.0,14.8,652057.3333333334,14936.09,13.0,241.3333333333333,87.0,37.0,manufacturer 1,10,manufacturer 1/operational_data/substation_10.csv,,,,,,
2014-05-04 12:20:00,7.65,40.0,40.0,14.75,62.0,34.650000000000006,14.85,61.0,14.65,652059.6666666666,14936.13,13.0,240.66666666666663,87.0,37.0,manufacturer 1,10,manufacturer 1/operational_data/substation_10.csv,,,,,,
2014-05-04 12:30:00,7.4,40.0,40.0,14.8,62.0,34.6,14.8,61.0,14.5,652062.0,14936.17,13.0,240.0,87.0,37.0,manufacturer 1,10,manufacturer 1/operational_data/substation_10.csv,,,,,,
2014-05-04 12:40:00,7.7,40.1,40.0,14.7,62.0,34.6,14.8,61.0,14.5,652064.3333333334,14936.21,13.0,239.3333333333333,87.0,37.0,manufacturer 1,10,manufacturer 1/operational_data/substation_10.csv,,,,,,
2014-05-04 12:50:00,8.35,40.1,40.0,14.3,62.0,34.650000000000006,14.6,61.0,14.1,652066.6666666666,14936.25,13.0,238.66666666666663,87.0,37.0,manufacturer 1,10,manufacturer 1/operational_data/substation_10.csv,,,,,,
2014-05-04 13:00:00,9.0,40.1,40.0,13.9,62.0,34.7,14.4,61.0,13.7,652069.0,14936.29,13.0,238.0,87.0,37.0,manufacturer 1,10,manufacturer 1/operational_data/substation_10.csv,,,,,,
2014-05-04 13:10:00,10.5,40.1,40.0,14.3,62.0,34.6,14.2,61.0,14.1,652071.3333333334,14936.330000000002,13.0,238.3333333333333,87.0,37.0,manufacturer 1,10,manufacturer 1/operational_data/substation_10.csv,,,,,,
2014-05-04 13:20:00,10.35,39.8,40.0,14.3,62.0,34.35,14.2,61.0,14.1,652073.6666666666,14936.37,13.0,238.66666666666663,87.0,37.0,manufacturer 1,10,manufacturer 1/operational_data/substation_10.csv,,,,,,
2014-05-04 13:30:00,10.2,39.5,40.0,14.3,62.0,34.1,14.2,61.0,14.1,652076.0,14936.41,13.0,239.0,87.0,37.0,manufacturer 1,10,manufacturer 1/operational_data/substation_10.csv,,,,,,
2014-05-04 13:40:00,10.0,40.1,40.0,14.4,62.0,34.6,14.2,61.0,14.0,652078.3333333334,14936.45,13.0,239.3333333333333,87.0,37.0,manufacturer 1,10,manufacturer 1/operational_data/substation_10.csv,,,,,,
2014-05-04 13:50:00,9.9,39.95,40.0,14.3,62.0,34.45,14.15,61.0,13.95,652080.6666666666,14936.490000000002,13.0,239.66666666666663,87.0,37.0,manufacturer 1,10,manufacturer 1/operational_data/substation_10.csv,,,,,,
2014-05-04 14:00:00,9.8,39.8,40.0,14.2,62.0,34.3,14.1,61.0,13.9,652083.0,14936.53,13.0,240.0,87.0,37.0,manufacturer 1,10,manufacturer 1/operational_data/substation_10.csv,,,,,,
2014-05-04 14:10:00,9.6,40.4,40.0,14.1,62.0,35.1,13.9,61.0,13.8,652083.8333333334,14936.549166666668,15.083333333333334,263.0833333333333,86.66666666666667,35.416666666666664,manufacturer 1,10,manufacturer 1/operational_data/substation_10.csv,,,,,,
2014-05-04 14:20:00,9.65,40.5,40.0,13.9,62.0,35.2,13.85,61.0,13.75,652084.6666666666,14936.568333333336,17.166666666666668,286.1666666666667,86.33333333333333,33.833333333333336,manufacturer 1,10,manufacturer 1/operational_data/substation_10.csv,,,,,,
2014-05-04 14:30:00,9.7,40.6,40.0,13.7,62.0,35.3,13.8,61.0,13.7,652085.5,14936.5875,19.25,309.25,86.0,32.25,manufacturer 1,10,manufacturer 1/operational_data/substation_10.csv,,,,,,
2014-05-04 14:40:00,10.6,34.2,40.0,27.2,62.0,34.5,13.8,61.0,13.5,652086.3333333334,14936.606666666668,21.333333333333336,332.3333333333333,85.66666666666667,30.666666666666668,manufacturer 1,10,manufacturer 1/operational_data/substation_10.csv,,,,,,
2014-05-04 14:50:00,11.025,36.1625,40.0,27.475,62.0,39.2875,13.8,61.0,13.525,652087.1666666666,14936.625833333334,23.416666666666668,355.41666666666663,85.33333333333333,29.083333333333336,manufacturer 1,10,manufacturer 1/operational_data/substation_10.csv,,,,,,
2014-05-04 15:00:00,11.45,38.125,40.0,27.75,62.0,44.075,13.8,61.0,13.55,652088.0,14936.645,25.5,378.5,85.0,27.5,manufacturer 1,10,manufacturer 1/operational_data/substation_10.csv,,,,,,
2014-05-04 15:10:00,11.875,40.0875,40.0,28.025,62.0,48.8625,13.8,61.0,13.575,,,,,,,manufacturer 1,10,manufacturer 1/operational_data/substation_10.csv,,,,,,
2014-05-04 15:20:00,12.3,42.05,40.0,28.3,62.0,53.65,13.8,61.0,13.6,,,,,,,manufacturer 1,10,manufacturer 1/operational_data/substation_10.csv,,,,,,
2014-05-04 15:30:00,12.725,44.0125,40.0,28.575,62.0,58.4375,13.8,61.0,13.625,,,,,,,manufacturer 1,10,manufacturer 1/operational_data/substation_10.csv,,,,,,
2014-05-04 15:40:00,13.15,45.975,40.0,28.85,62.0,63.225,13.8,61.0,13.65,,,,,,,manufacturer 1,10,manufacturer 1/operational_data/substation_10.csv,,,,,,
2014-05-04 16:00:00,14.0,49.9,40.0,29.4,62.0,72.8,13.8,61.0,13.7,652093.0,14936.76,38.0,517.0,83.0,18.0,manufacturer 1,10,manufacturer 1/operational_data/substation_10.csv,,,,,,
2014-05-04 16:10:00,13.2,58.6,40.7,64.3,62.0,55.9,24.3,61.0,14.0,652098.8333333334,14936.88,39.833333333333336,741.5,83.16666666666667,25.166666666666668,manufacturer 1,10,manufacturer 1/operational_data/substation_10.csv,,,,,,
2014-05-04 16:20:00,13.1,58.95,45.8,66.44999999999999,62.0,53.45,44.60000000000001,61.0,27.8,652104.6666666666,14937.0,41.66666666666666,966.0,83.33333333333333,32.333333333333336,manufacturer 1,10,manufacturer 1/operational_data/substation_10.csv,,,,,,
2014-05-04 16:30:00,13.0,59.3,50.9,68.6,62.0,51.0,64.9,61.0,41.6,652110.5,14937.12,43.5,1190.5,83.5,39.5,manufacturer 1,10,manufacturer 1/operational_data/substation_10.csv,,,,,,
2014-05-04 16:40:00,12.6,59.6,51.7,84.1,61.0,50.0,66.3,61.0,53.2,652116.3333333334,14937.24,45.333333333333336,1415.0,83.66666666666667,46.66666666666667,manufacturer 1,10,manufacturer 1/operational_data/substation_10.csv,,,,,,
2014-05-04 16:50:00,12.3,58.55,46.05,72.9,61.0,48.65,62.35,61.0,33.1,652122.1666666666,14937.36,47.16666666666666,1639.5,83.83333333333333,53.833333333333336,manufacturer 1,10,manufacturer 1/operational_data/substation_10.csv,,,,,,
2014-05-04 17:00:00,12.0,57.5,40.4,61.7,61.0,47.3,58.4,61.0,13.0,652128.0,14937.48,49.0,1864.0,84.0,61.0,manufacturer 1,10,manufacturer 1/operational_data/substation_10.csv,,,,,,
2014-05-04 17:10:00,11.2,57.2,54.3,61.1,61.0,46.8,52.3,61.0,12.4,652131.1666666666,14937.54,41.333333333333336,1569.3333333333333,84.16666666666667,60.16666666666666,manufacturer 1,10,manufacturer 1/operational_data/substation_10.csv,,,,,,
2014-05-04 17:20:00,10.8,57.3,55.0,61.35,61.5,45.5,56.65,61.0,13.75,652134.3333333334,14937.6,33.666666666666664,1274.6666666666663,84.33333333333333,59.333333333333336,manufacturer 1,10,manufacturer 1/operational_data/substation_10.csv,,,,,,
2014-05-04 17:30:00,10.4,57.4,55.7,61.6,62.0,44.2,61.0,61.0,15.1,652137.5,14937.66,26.0,980.0,84.5,58.5,manufacturer 1,10,manufacturer 1/operational_data/substation_10.csv,,,,,,
2014-05-04 17:40:00,10.6,56.9,55.4,60.1,61.0,41.9,63.1,61.0,53.2,652140.6666666666,14937.72,18.33333333333333,685.3333333333333,84.66666666666667,57.66666666666666,manufacturer 1,10,manufacturer 1/operational_data/substation_10.csv,,,,,,
2014-05-04 17:50:00,11.0,56.4,54.6,60.650000000000006,61.0,41.85,61.95,61.0,33.45,652143.8333333334,14937.78,10.666666666666664,390.6666666666665,84.83333333333333,56.833333333333336,manufacturer 1,10,manufacturer 1/operational_data/substation_10.csv,,,,,,
2014-05-04 18:00:00,11.4,55.9,53.8,61.2,61.0,41.8,60.8,61.0,13.7,652147.0,14937.84,3.0,96.0,85.0,56.0,manufacturer 1,10,manufacturer 1/operational_data/substation_10.csv,,,,,,
2014-05-04 18:10:00,13.0,55.2,51.0,63.3,61.0,41.7,58.1,61.0,12.2,652150.3333333334,14937.898333333334,3.333333333333333,101.33333333333331,85.16666666666667,55.333333333333336,manufacturer 1,10,manufacturer 1/operational_data/substation_10.csv,,,,,,
2014-05-04 18:20:00,13.25,54.7,48.7,66.19999999999999,61.5,41.3,55.25,61.0,12.1,652153.6666666666,14937.956666666669,3.6666666666666665,106.66666666666669,85.33333333333333,54.66666666666666,manufacturer 1,10,manufacturer 1/operational_data/substation_10.csv,,,,,,
2014-05-04 18:30:00,13.5,54.2,46.4,69.1,62.0,40.9,52.4,61.0,12.0,652157.0,14938.015,4.0,112.0,85.5,54.0,manufacturer 1,10,manufacturer 1/operational_data/substation_10.csv,,,,,,
2014-05-04 18:40:00,13.3,55.6,50.5,62.0,61.0,38.8,61.3,61.0,52.2,652160.3333333334,14938.073333333334,4.333333333333333,117.33333333333331,85.66666666666667,53.333333333333336,manufacturer 1,10,manufacturer 1/operational_data/substation_10.csv,,,,,,
2014-05-04 18:50:00,13.0,55.2,51.0,61.65,61.0,38.5,61.95,61.0,52.8,652163.6666666666,14938.131666666668,4.666666666666666,122.66666666666666,85.83333333333333,52.66666666666666,manufacturer 1,10,manufacturer 1/operational_data/substation_10.csv,,,,,,
2014-05-04 19:00:00,12.7,54.8,51.5,61.3,61.0,38.2,62.6,61.0,53.4,652167.0,14938.19,5.0,128.0,86.0,52.0,manufacturer 1,10,manufacturer 1/operational_data/substation_10.csv,,,,,,
2014-05-04 19:10:00,12.1,53.8,52.6,62.1,61.0,38.6,59.9,61.0,16.7,652167.6666666666,14938.211666666666,5.333333333333333,140.33333333333334,85.5,51.833333333333336,manufacturer 1,10,manufacturer 1/operational_data/substation_10.csv,,,,,,
2014-05-04 19:20:00,11.85,53.6,53.05,61.5,61.0,38.6,59.6,61.0,14.75,652168.3333333334,14938.233333333334,5.666666666666667,152.66666666666666,85.0,51.66666666666666,manufacturer 1,10,manufacturer 1/operational_data/substation_10.csv,,,,,,
2014-05-04 19:30:00,11.6,53.4,53.5,60.9,61.0,38.6,59.3,61.0,12.8,652169.0,14938.255,6.0,165.0,84.5,51.5,manufacturer 1,10,manufacturer 1/operational_data/substation_10.csv,,,,,,
2014-05-04 19:40:00,11.1,53.0,54.4,61.3,61.0,38.4,58.0,61.0,12.2,652169.6666666666,14938.276666666668,6.333333333333333,177.33333333333334,84.0,51.333333333333336,manufacturer 1,10,manufacturer 1/operational_data/substation_10.csv,,,,,,
2014-05-04 19:50:00,10.85,53.3,54.85,61.15,61.0,38.8,55.65,61.0,12.1,652170.3333333334,14938.298333333332,6.666666666666666,189.66666666666669,83.5,51.16666666666666,manufacturer 1,10,manufacturer 1/operational_data/substation_10.csv,,,,,,
2014-05-04 20:00:00,10.6,53.6,55.3,61.0,61.0,39.2,53.3,61.0,12.0,652171.0,14938.32,7.0,202.0,83.0,51.0,manufacturer 1,10,manufacturer 1/operational_data/substation_10.csv,,,,,,
2014-05-04 20:10:00,10.1,61.1,56.2,61.2,62.0,43.0,59.2,61.0,15.4,652174.0,14938.376666666669,6.5,190.3333333333333,83.16666666666667,51.66666666666666,manufacturer 1,10,manufacturer 1/operational_data/substation_10.csv,,,,,,
2014-05-04 20:20:00,9.85,60.25,56.7,60.8,61.5,41.85,60.400000000000006,61.0,33.5,652177.0,14938.433333333332,6.0,178.66666666666666,83.33333333333333,52.333333333333336,manufacturer 1,10,manufacturer 1/operational_data/substation_10.csv,,,,,,
2014-05-04 20:30:00,9.6,59.4,57.2,60.4,61.0,40.7,61.6,61.0,51.6,652180.0,14938.49,5.5,167.0,83.5,53.0,manufacturer 1,10,manufacturer 1/operational_data/substation_10.csv,,,,,,
