substation_id,event_start,type,manufacturer
26,2018-10-24 10:54:58,task,manufacturer 1
26,2018-10-26 07:00:27,task,manufacturer 1
26,2020-03-11 15:31:31,task,manufacturer 1
26,2020-06-13 10:38:00,fault,manufacturer 1
27,2019-11-27 06:52:10,task,manufacturer 1
27,2020-01-20 12:57:00,fault,manufacturer 1
27,2020-03-27 14:34:11,fault,manufacturer 1
27,2020-04-01 07:10:21,task,manufacturer 1
28,2019-10-07 09:51:00,fault,manufacturer 1
28,2019-10-07 16:19:00,fault,manufacturer 1
28,2019-10-07 21:10:18,task,manufacturer 1
28,2020-01-13 10:55:00,fault,manufacturer 1
28,2020-01-14 06:47:32,task,manufacturer 1
28,2020-06-07 19:13:29,task,manufacturer 1
29,2019-09-16 17:40:34,task,manufacturer 1
29,2020-03-07 07:59:43,fault,manufacturer 1
29,2020-05-10 11:09:13,fault,manufacturer 1
29,2020-06-01 10:20:54,fault,manufacturer 1
30,2020-01-03 13:42:09,fault,manufacturer 1
30,2020-01-06 01:20:43,task,manufacturer 1
30,2020-03-16 15:04:00,fault,manufacturer 1
30,2020-03-22 18:45:31,task,manufacturer 1
31,2020-01-13 15:48:00,fault,manufacturer 1
31,2020-01-14 13:57:05,task,manufacturer 1
4,2017-04-08 09:53:00,fault,manufacturer 2
4,2017-04-07 09:03:00,fault,manufacturer 2
4,2017-03-12 09:11:00,fault,manufacturer 2
4,2016-12-16 08:39:00,fault,manufacturer 2
4,2016-08-01 10:34:00,fault,manufacturer 2
4,2019-01-23 06:04:14,task,manufacturer 2
4,2017-04-08 00:00:00,activity,manufacturer 2
4,2017-03-29 00:00:00,activity,manufacturer 2
4,2017-03-12 00:00:00,activity,manufacturer 2
4,2016-08-01 00:00:00,activity,manufacturer 2
7,2017-03-06 00:00:00,activity,manufacturer 2
8,2020-02-18 14:00:00,fault,manufacturer 2
8,2020-02-19 12:55:43,task,manufacturer 2
9,2020-01-20 06:31:19,task,manufacturer 2
9,2017-03-29 00:00:00,activity,manufacturer 2
9,2017-01-21 00:00:00,activity,manufacturer 2
10,2019-10-17 10:50:00,fault,manufacturer 2
10,2019-10-14 11:32:00,fault,manufacturer 2
10,2019-08-26 13:26:00,fault,manufacturer 2
10,2017-12-18 19:40:00,fault,manufacturer 2
10,2016-12-06 09:43:00,fault,manufacturer 2
10,2016-09-29 12:04:00,fault,manufacturer 2
10,2019-10-14 21:13:09,task,manufacturer 2
10,2019-10-18 07:13:22,task,manufacturer 2
10,2016-12-06 00:00:00,activity,manufacturer 2
10,2016-09-29 00:00:00,activity,manufacturer 2
11,2019-12-06 12:59:00,fault,manufacturer 2
11,2019-11-26 09:57:00,fault,manufacturer 2
11,2019-11-26 15:05:18,task,manufacturer 2
11,2019-12-09 18:35:58,task,manufacturer 2
16,2019-01-03 07:20:07,fault,manufacturer 2
16,2018-05-19 10:57:00,fault,manufacturer 2
16,2017-05-16 21:55:13,fault,manufacturer 2
16,2016-05-23 01:00:36,fault,manufacturer 2
16,2019-06-07 11:42:18,task,manufacturer 2
16,2019-11-15 07:07:29,task,manufacturer 2
16,2020-01-09 05:01:54,task,manufacturer 2
16,2017-04-17 00:00:00,activity,manufacturer 2
16,2016-12-14 00:00:00,activity,manufacturer 2
16,2016-06-17 00:00:00,activity,manufacturer 2
16,2016-03-22 00:00:00,activity,manufacturer 2
16,2016-02-11 00:00:00,activity,manufacturer 2
18,2020-02-04 08:33:00,fault,manufacturer 2
18,2020-02-03 17:07:19,fault,manufacturer 2
18,2020-01-21 10:53:00,fault,manufacturer 2
18,2020-01-21 15:53:00,task,manufacturer 2
19,2018-12-28 09:01:00,fault,manufacturer 2
19,2016-08-24 20:04:00,fault,manufacturer 2
19,2016-07-20 16:20:00,fault,manufacturer 2
19,2018-12-28 14:41:55,task,manufacturer 2
19,2016-08-24 00:00:00,activity,manufacturer 2
19,2016-07-20 00:00:00,activity,manufacturer 2
20,2019-01-14 08:38:00,fault,manufacturer 2
20,2017-12-21 14:06:00,fault,manufacturer 2
20,2017-01-11 09:00:00,fault,manufacturer 2
20,2017-12-12 15:27:25,task,manufacturer 2
20,2019-01-16 22:46:23,task,manufacturer 2
20,2017-01-24 00:00:00,activity,manufacturer 2
20,2017-01-11 00:00:00,activity,manufacturer 2
24,2020-03-19 09:20:00,fault,manufacturer 2
24,2020-03-18 11:11:00,fault,manufacturer 2
24,2020-03-20 00:48:52,task,manufacturer 2
26,2020-01-20 11:26:00,fault,manufacturer 2
26,2019-11-15 09:00:00,fault,manufacturer 2
26,2019-11-15 12:04:40,task,manufacturer 2
35,2020-02-04 15:27:00,fault,manufacturer 2
35,2020-02-05 12:56:11,task,manufacturer 2
39,2020-02-28 10:38:00,fault,manufacturer 2
39,2020-02-26 10:23:00,fault,manufacturer 2
39,2019-10-13 15:15:00,fault,manufacturer 2
39,2019-10-03 12:17:00,fault,manufacturer 2
39,2019-10-04 07:46:44,task,manufacturer 2
40,2017-02-17 00:00:00,activity,manufacturer 2
40,2015-10-19 00:00:00,activity,manufacturer 2
43,2020-01-10 12:35:00,fault,manufacturer 2
43,2019-11-29 10:51:00,fault,manufacturer 2
43,2019-11-29 10:45:00,fault,manufacturer 2
43,2019-11-29 20:15:10,task,manufacturer 2
43,2020-01-13 07:26:40,task,manufacturer 2
45,2020-03-09 12:12:00,fault,manufacturer 2
45,2020-03-09 15:39:53,task,manufacturer 2
49,2015-10-20 12:00:00,fault,manufacturer 2
49,2016-05-26 00:00:00,activity,manufacturer 2
49,2016-02-18 00:00:00,activity,manufacturer 2
49,2015-10-20 00:00:00,activity,manufacturer 2
50,2019-12-01 12:01:30,fault,manufacturer 2
50,2019-12-01 08:03:24,fault,manufacturer 2
50,2019-11-29 09:04:40,fault,manufacturer 2
50,2019-11-28 16:08:08,fault,manufacturer 2
50,2019-11-28 12:29:55,fault,manufacturer 2
50,2019-11-28 10:39:05,fault,manufacturer 2
50,2019-11-28 10:00:15,fault,manufacturer 2
50,2019-11-28 08:58:05,fault,manufacturer 2
50,2019-11-19 07:15:38,fault,manufacturer 2
50,2019-11-19 07:01:41,fault,manufacturer 2
50,2019-11-18 08:22:30,fault,manufacturer 2
50,2019-11-18 08:19:33,fault,manufacturer 2
50,2019-11-18 06:50:40,fault,manufacturer 2
50,2019-11-19 06:21:45,task,manufacturer 2
50,2019-11-29 20:15:10,task,manufacturer 2
50,2019-12-04 08:33:39,task,manufacturer 2
52,2019-03-04 11:54:00,fault,manufacturer 2
52,2019-03-04 11:41:23,fault,manufacturer 2
52,2019-02-20 09:16:00,fault,manufacturer 2
52,2018-02-22 08:26:00,fault,manufacturer 2
52,2017-03-14 14:21:00,fault,manufacturer 2
52,2019-02-20 15:11:57,task,manufacturer 2
52,2019-02-26 16:59:11,task,manufacturer 2
52,2019-03-05 15:08:22,task,manufacturer 2
52,2017-03-15 00:00:00,activity,manufacturer 2
52,2017-03-14 00:00:00,activity,manufacturer 2
53,2020-03-23 15:19:00,fault,manufacturer 2
53,2020-03-16 10:00:00,fault,manufacturer 2
53,2019-11-15 09:50:00,fault,manufacturer 2
53,2019-11-15 16:11:09,task,manufacturer 2
53,2020-03-16 16:18:51,task,manufacturer 2
53,2020-03-25 06:43:51,task,manufacturer 2
55,2017-02-08 00:00:00,activity,manufacturer 2
59,2020-01-24 14:46:00,fault,manufacturer 2
59,2019-12-20 06:05:46,task,manufacturer 2
