manufacturer,substation_id,window_start,window_end,configuration_type,label,fault_label,fault_event_id,anomaly_ensemble_score,anomaly_policy_score,iforest_score_ratio,mahalanobis_score_ratio,anomaly_consensus_count,anomaly_criticality,anomaly_event_label,anomaly_evidence_event_label,anomaly_evidence_source,risk_probability,risk_score,risk_level_calibrated,predicted_lead_time_bucket,leadtime_urgency_score,current_best_priority_score,current_best_priority_level,priority_score,priority_level,shadow_priority_score,priority_policy_agreement,operational_label,primary_state,review_required,review_reasons,trust_level,first_crossing_time,stable_crossing_time,stable_crossing_lead_hours,why_reason,recommended_action,split_time_based,m1_specialist_model_scope,m1_specialist_compact_window_start,m1_specialist_compact_window_end,m1_specialist_sample_count,m1_specialist_expected_count,m1_specialist_coverage_rate,m1_specialist_fault_probability,m1_specialist_task_probability,m1_specialist_activity_probability,m1_specialist_pre_event_probability,m1_specialist_fault_prediction,m1_specialist_task_prediction,m1_specialist_activity_prediction,m1_specialist_pre_event_prediction,m1_specialist_primary_state,m1_specialist_secondary_tags,m1_specialist_fault_group,m1_specialist_group_weight,m1_specialist_leadtime_urgency,m1_specialist_priority_score,m1_specialist_gate_review_required,m1_specialist_gate_review_reasons,m1_hybrid_priority_score,m1_specialist_priority_level,m1_specialist_priority_high_label,m1_hybrid_priority_level,m1_hybrid_priority_high_label,m1_priority_agreement,m1_priority_review_required,m1_why_reason,m1_recommended_action,current_best_priority_high_label,priority_source,priority_high_label
manufacturer 1,30,2020-03-15 12:00:00,2020-03-15 18:00:00,SH + DHW,pre_fault,Leakage,10,37.6708617959,1.26374834021,1.13737350619,70.0684834868,2,12,1,1,iforest_0p90_and_mahalanobis_1p00_persistent,0.951766409467,1,critical,0-24h,0.89386654764,100,urgent,95.9667800678,urgent,93.0659964292,same_tier,predictive_fault_risk,predictive_fault_risk,False,,high,2020-03-13 00:00:00,2020-03-13 00:00:00,84,current_best_priority=urgent; m1_specialist_priority=high; m1_hybrid_priority=urgent; agreement=both_high; fault_gate=0.827; pre_event=1.000; fault_group=leakage_water_loss,urgent review: current best and M1 specialist both support high priority.,holdout,m1_runtime_model,2020-03-08 18:00:00,2020-03-15 18:00:00,1008,1008,1,0.826659112903,0.0647977149828,0.0226280158257,0.99999769182,1,0,0,1,fault,,leakage_water_loss,0.444043,0.89386654764,88.4765144793,False,,95.9667800678,high,1,urgent,1,both_high,False,current_best_priority=urgent; m1_specialist_priority=high; m1_hybrid_priority=urgent; agreement=both_high; fault_gate=0.827; pre_event=1.000; fault_group=leakage_water_loss,urgent review: current best and M1 specialist both support high priority.,1,m1_hybrid_current_best_0.65_m1_specialist_0.35,1
manufacturer 1,30,2020-03-15 00:00:00,2020-03-15 06:00:00,SH + DHW,pre_fault,Leakage,10,37.4907267654,1.27710824244,1.1493974182,69.7179433563,2,10,1,1,iforest_0p90_and_mahalanobis_1p00_persistent,0.951053747571,1,critical,0-24h,0.924995718162,100,urgent,96.2881034016,urgent,93.9998715449,same_tier,predictive_fault_risk,predictive_fault_risk,True,m1_specialist_gate_near_threshold,high,2020-03-13 00:00:00,2020-03-13 00:00:00,84,current_best_priority=urgent; m1_specialist_priority=high; m1_hybrid_priority=urgent; agreement=both_high; fault_gate=0.537; pre_event=1.000; fault_group=leakage_water_loss,urgent review: current best and M1 specialist both support high priority.,holdout,m1_runtime_model,2020-03-08 06:00:00,2020-03-15 06:00:00,1008,1008,1,0.537179422618,0.0440111246162,0.0339851586828,0.999710265502,1,0,0,1,fault,,leakage_water_loss,0.444043,0.924995718162,89.3945811474,True,m1_specialist_gate_near_threshold,96.2881034016,high,1,urgent,1,both_high,False,current_best_priority=urgent; m1_specialist_priority=high; m1_hybrid_priority=urgent; agreement=both_high; fault_gate=0.537; pre_event=1.000; fault_group=leakage_water_loss,urgent review: current best and M1 specialist both support high priority.,1,m1_hybrid_current_best_0.65_m1_specialist_0.35,1
manufacturer 1,30,2020-03-14 18:00:00,2020-03-15 00:00:00,SH + DHW,pre_fault,Leakage,10,36.5406849623,1.27574275095,1.14816847585,67.9265014692,2,9,1,1,iforest_0p90_and_mahalanobis_1p00_persistent,0.962898636515,1,critical,0-24h,0.919318413476,100,urgent,95.2207236253,urgent,93.8295524043,same_tier,predictive_fault_risk,predictive_fault_risk,False,,high,2020-03-13 00:00:00,2020-03-13 00:00:00,84,current_best_priority=urgent; m1_specialist_priority=high; m1_hybrid_priority=urgent; agreement=both_high; fault_gate=0.444; pre_event=0.947; fault_group=leakage_water_loss,urgent review: current best and M1 specialist both support high priority.,holdout,m1_runtime_model,2020-03-08 00:00:00,2020-03-15 00:00:00,1008,1008,1,0.444413653861,0.0373457807009,0.0226280158257,0.947358677078,0,0,0,1,normal,,leakage_water_loss,0.444043,0.919318413476,86.3449246436,False,,95.2207236253,high,1,urgent,1,both_high,False,current_best_priority=urgent; m1_specialist_priority=high; m1_hybrid_priority=urgent; agreement=both_high; fault_gate=0.444; pre_event=0.947; fault_group=leakage_water_loss,urgent review: current best and M1 specialist both support high priority.,1,m1_hybrid_current_best_0.65_m1_specialist_0.35,1
manufacturer 1,10,2014-05-04 00:00:00,2014-05-04 06:00:00,SH + DHW,pre_fault,Motorised control valve (primary side): Actuator defective,1,32.1067107719,1.08025644987,0.972230804885,59.7165326294,2,2,0,0,no_active_anomaly,0.990872287908,1,critical,1-3d,0.825582672741,100,urgent,98.1176950255,urgent,88.7674801822,same_tier,predictive_fault_risk,predictive_fault_risk,True,near_anomaly_threshold|risk_high_but_anomaly_not_confirmed,medium,2014-05-04 00:00:00,2014-05-04 00:00:00,6,current_best_priority=urgent; m1_specialist_priority=urgent; m1_hybrid_priority=urgent; agreement=both_high; fault_gate=0.775; pre_event=0.997; fault_group=control_controller,urgent review: current best and M1 specialist both support high priority.,train,m1_runtime_model,2014-04-27 06:00:00,2014-05-04 06:00:00,1008,1008,1,0.775206247367,0.170390844583,0.11612324773,0.997354647362,1,0,0,1,fault,,control_controller,1,0.825582672741,94.6219857872,False,,98.1176950255,urgent,1,urgent,1,both_high,False,current_best_priority=urgent; m1_specialist_priority=urgent; m1_hybrid_priority=urgent; agreement=both_high; fault_gate=0.775; pre_event=0.997; fault_group=control_controller,urgent review: current best and M1 specialist both support high priority.,1,m1_hybrid_current_best_0.65_m1_specialist_0.35,1
manufacturer 1,10,2014-05-03 18:00:00,2014-05-04 00:00:00,SH + DHW,pre_fault,Motorised control valve (primary side): Actuator defective,1,30.7884753072,1.0810749591,0.972967463192,57.2286426406,2,1,0,0,no_active_anomaly,0.992726536162,1,critical,1-3d,0.708938028751,100,urgent,78.4434379095,high,85.2681408625,same_tier,predictive_fault_risk,predictive_fault_risk,True,near_anomaly_threshold|risk_high_but_anomaly_not_confirmed|m1_priority_disagreement,medium,2014-05-04 00:00:00,2014-05-04 00:00:00,6,current_best_priority=urgent; m1_specialist_priority=low; m1_hybrid_priority=high; agreement=current_only_high; fault_gate=0.279; pre_event=0.039; fault_group=control_controller,baseline review: current best is high but M1 specialist is not aligned.,train,m1_runtime_model,2014-04-27 00:00:00,2014-05-04 00:00:00,1008,1008,1,0.279475278555,0.052463396963,0.0491748793197,0.0389396679259,0,0,0,0,normal,,control_controller,1,0.708938028751,38.4098225985,False,,78.4434379095,low,0,high,1,current_only_high,True,current_best_priority=urgent; m1_specialist_priority=low; m1_hybrid_priority=high; agreement=current_only_high; fault_gate=0.279; pre_event=0.039; fault_group=control_controller,baseline review: current best is high but M1 specialist is not aligned.,1,m1_hybrid_current_best_0.65_m1_specialist_0.35,1
manufacturer 1,8,2018-04-27 00:00:00,2018-04-27 06:00:00,SH + DHW,pre_fault,Temperature monitor/controller defective,44,24.1108405104,1.05435037724,0.94891533952,44.650660945,2,3,0,0,no_active_anomaly,0.989864206492,1,critical,0-24h,0.993206249206,100,urgent,95.0248947721,urgent,93.7961874762,same_tier,predictive_fault_risk,predictive_fault_risk,True,near_anomaly_threshold|risk_high_but_anomaly_not_confirmed,medium,2018-04-26 12:00:00,2018-04-26 12:00:00,18,current_best_priority=urgent; m1_specialist_priority=high; m1_hybrid_priority=urgent; agreement=both_high; fault_gate=0.736; pre_event=0.745; fault_group=control_controller,urgent review: current best and M1 specialist both support high priority.,train,m1_runtime_model,2018-04-20 06:00:00,2018-04-27 06:00:00,1008,1008,1,0.735704214313,0.0889766805776,0.0297669047146,0.745258657426,1,0,0,1,fault,,control_controller,1,0.993206249206,85.7854136346,False,,95.0248947721,high,1,urgent,1,both_high,False,current_best_priority=urgent; m1_specialist_priority=high; m1_hybrid_priority=urgent; agreement=both_high; fault_gate=0.736; pre_event=0.745; fault_group=control_controller,urgent review: current best and M1 specialist both support high priority.,1,m1_hybrid_current_best_0.65_m1_specialist_0.35,1
manufacturer 1,8,2018-04-26 18:00:00,2018-04-27 00:00:00,SH + DHW,pre_fault,Temperature monitor/controller defective,44,23.0811874196,1.06938649392,0.962447844524,42.6959187409,2,2,0,0,no_active_anomaly,0.990637346953,1,critical,0-24h,0.989806915516,100,urgent,86.9715056164,urgent,93.6942074655,same_tier,predictive_fault_risk,predictive_fault_risk,True,near_anomaly_threshold|risk_high_but_anomaly_not_confirmed|m1_priority_disagreement,medium,2018-04-26 12:00:00,2018-04-26 12:00:00,18,current_best_priority=urgent; m1_specialist_priority=medium; m1_hybrid_priority=urgent; agreement=current_only_high; fault_gate=0.557; pre_event=0.329; fault_group=control_controller,urgent review: current best and M1 specialist both support high priority.,train,m1_runtime_model,2018-04-20 00:00:00,2018-04-27 00:00:00,1008,1008,1,0.556793615945,0.0571818149229,0.0289335713812,0.328754961222,1,0,0,0,fault,,control_controller,1,0.989806915516,62.7757303327,False,,86.9715056164,medium,0,urgent,1,current_only_high,True,current_best_priority=urgent; m1_specialist_priority=medium; m1_hybrid_priority=urgent; agreement=current_only_high; fault_gate=0.557; pre_event=0.329; fault_group=control_controller,urgent review: current best and M1 specialist both support high priority.,1,m1_hybrid_current_best_0.65_m1_specialist_0.35,1
manufacturer 1,8,2018-04-26 12:00:00,2018-04-26 18:00:00,SH + DHW,pre_fault,Temperature monitor/controller defective,44,16.5814550707,1.08223763382,0.974013870436,30.4220161351,2,1,0,0,no_active_anomaly,0.991616527069,1,critical,0-24h,0.994565820871,100,urgent,99.4060007866,urgent,93.8369746261,same_tier,predictive_fault_risk,predictive_fault_risk,True,near_anomaly_threshold|risk_high_but_anomaly_not_confirmed,medium,2018-04-26 12:00:00,2018-04-26 12:00:00,18,current_best_priority=urgent; m1_specialist_priority=urgent; m1_hybrid_priority=urgent; agreement=both_high; fault_gate=0.838; pre_event=0.972; fault_group=control_controller,urgent review: current best and M1 specialist both support high priority.,train,m1_runtime_model,2018-04-19 18:00:00,2018-04-26 18:00:00,1008,1008,1,0.838277198115,0.111987558589,0.0395525969748,0.972106995712,1,0,0,1,fault,,control_controller,1,0.994565820871,98.3028593903,False,,99.4060007866,urgent,1,urgent,1,both_high,False,current_best_priority=urgent; m1_specialist_priority=urgent; m1_hybrid_priority=urgent; agreement=both_high; fault_gate=0.838; pre_event=0.972; fault_group=control_controller,urgent review: current best and M1 specialist both support high priority.,1,m1_hybrid_current_best_0.65_m1_specialist_0.35,1
manufacturer 1,29,2020-03-06 18:00:00,2020-03-07 00:00:00,SH + DHW with sub-circuits,pre_fault,Failure of the domestic hot water storage charging pump,15,14.565922056,1.20074627462,1.08067164715,26.5245403431,2,2,0,0,no_active_anomaly,0.966398805615,1,critical,0-24h,0.83206066831,100,urgent,77.2535767052,high,88.9618200493,same_tier,predictive_fault_risk,predictive_fault_risk,True,risk_high_but_anomaly_not_confirmed|m1_priority_disagreement,medium,2020-03-06 18:00:00,2020-03-06 18:00:00,12,current_best_priority=urgent; m1_specialist_priority=low; m1_hybrid_priority=high; agreement=current_only_high; fault_gate=0.261; pre_event=0.009; fault_group=pump_failure,baseline review: current best is high but M1 specialist is not aligned.,holdout,m1_runtime_model,2020-02-29 00:00:00,2020-03-07 00:00:00,1008,1008,1,0.26106172894,0.0328939178796,0.0242408364582,0.00923189287926,0,0,0,0,normal,,pump_failure,0.636043,0.83206066831,35.0102191577,False,,77.2535767052,low,0,high,1,current_only_high,True,current_best_priority=urgent; m1_specialist_priority=low; m1_hybrid_priority=high; agreement=current_only_high; fault_gate=0.261; pre_event=0.009; fault_group=pump_failure,baseline review: current best is high but M1 specialist is not aligned.,1,m1_hybrid_current_best_0.65_m1_specialist_0.35,1
manufacturer 1,29,2020-03-07 00:00:00,2020-03-07 06:00:00,SH + DHW with sub-circuits,pre_fault,Failure of the domestic hot water storage charging pump,15,12.5119876804,1.17826570784,1.06043913706,22.6671345018,2,3,0,0,no_active_anomaly,0.971481595641,1,critical,1-3d,0.725288680328,100,urgent,76.9944364099,high,85.7586604098,same_tier,predictive_fault_risk,predictive_fault_risk,True,risk_high_but_anomaly_not_confirmed|m1_priority_disagreement,medium,2020-03-06 18:00:00,2020-03-06 18:00:00,12,current_best_priority=urgent; m1_specialist_priority=low; m1_hybrid_priority=high; agreement=current_only_high; fault_gate=0.605; pre_event=0.054; fault_group=pump_failure,baseline review: current best is high but M1 specialist is not aligned.,holdout,m1_runtime_model,2020-02-29 06:00:00,2020-03-07 06:00:00,1008,1008,1,0.605433447016,0.0540101322016,0.0242408364582,0.0540093255305,1,0,0,0,fault,,pump_failure,0.636043,0.725288680328,34.269818314,False,,76.9944364099,low,0,high,1,current_only_high,True,current_best_priority=urgent; m1_specialist_priority=low; m1_hybrid_priority=high; agreement=current_only_high; fault_gate=0.605; pre_event=0.054; fault_group=pump_failure,baseline review: current best is high but M1 specialist is not aligned.,1,m1_hybrid_current_best_0.65_m1_specialist_0.35,1
