manufacturer,substation_id,window_start,window_end,label,fault_label,fault_event_id,m1_specialist_model_scope,m1_specialist_compact_window_start,m1_specialist_compact_window_end,m1_specialist_sample_count,m1_specialist_expected_count,m1_specialist_coverage_rate,m1_specialist_fault_probability,m1_specialist_task_probability,m1_specialist_activity_probability,m1_specialist_pre_event_probability,m1_specialist_fault_prediction,m1_specialist_task_prediction,m1_specialist_activity_prediction,m1_specialist_pre_event_prediction,m1_specialist_primary_state,m1_specialist_secondary_tags,m1_specialist_fault_group,m1_specialist_group_weight,m1_specialist_leadtime_urgency,m1_specialist_priority_score,m1_specialist_gate_review_required,m1_specialist_gate_review_reasons
manufacturer 1,1,2019-12-06 00:00:00,2019-12-06 06:00:00,normal,,,m1_runtime_model,2019-11-29 06:00:00,2019-12-06 06:00:00,1008,1008,1,0.680158506455,0.0774059623645,0.0360653303179,0.604389996335,1,0,0,1,fault,,unknown_review,0.1,0.869968808426,60.8405140512,False,
manufacturer 1,1,2019-12-06 06:00:00,2019-12-06 12:00:00,normal,,,m1_runtime_model,2019-11-29 12:00:00,2019-12-06 12:00:00,1008,1008,1,0.725989714374,0.0911480542519,0.05434913662,0.647518086332,1,0,0,1,fault,,unknown_review,0.1,0.714433346189,58.5464951339,False,
manufacturer 1,1,2019-12-06 12:00:00,2019-12-06 18:00:00,normal,,,m1_runtime_model,2019-11-29 18:00:00,2019-12-06 18:00:00,1008,1008,1,0.475451112743,0.0637553194319,0.0469086604295,0.397375886543,0,0,0,0,normal,,unknown_review,0.1,0.795580259936,47.223081558,True,m1_specialist_gate_near_threshold
manufacturer 1,1,2019-12-06 18:00:00,2019-12-07 00:00:00,normal,,,m1_runtime_model,2019-11-30 00:00:00,2019-12-07 00:00:00,1008,1008,1,0.381174567062,0.0530103372603,0.043652846476,0.0457462916725,0,0,0,0,normal,,unknown_review,0.1,0.864924010717,29.9637663635,False,
manufacturer 1,1,2019-12-07 00:00:00,2019-12-07 06:00:00,normal,,,m1_runtime_model,2019-11-30 06:00:00,2019-12-07 06:00:00,1008,1008,1,0.5941928823,0.0650728372603,0.043652846476,0.345759359302,1,0,0,0,fault,,unknown_review,0.1,0.70293601329,41.6048451603,False,
manufacturer 1,1,2019-12-07 06:00:00,2019-12-07 12:00:00,normal,,,m1_runtime_model,2019-11-30 12:00:00,2019-12-07 12:00:00,1008,1008,1,0.689338257875,0.0525450594826,0.0348649676881,0.725728224807,1,0,0,1,fault,,unknown_review,0.1,0.768452331069,64.4686222965,False,
manufacturer 1,1,2019-12-07 12:00:00,2019-12-07 18:00:00,normal,,,m1_runtime_model,2019-11-30 18:00:00,2019-12-07 18:00:00,1008,1008,1,0.448394954064,0.0512576732058,0.0519559352791,0.464659619543,0,0,0,0,normal,,unknown_review,0.1,0.872030683028,53.2171995657,False,
manufacturer 1,1,2019-12-07 18:00:00,2019-12-08 00:00:00,normal,,,m1_runtime_model,2019-12-01 00:00:00,2019-12-08 00:00:00,1008,1008,1,0.180681605391,0.0140330274811,0.0212452283922,0.0272854638067,0,0,0,0,normal,,unknown_review,0.1,0.797070511886,26.9128158659,False,
manufacturer 1,10,2014-05-03 18:00:00,2014-05-04 00:00:00,pre_fault,Motorised control valve (primary side): Actuator defective,1,m1_runtime_model,2014-04-27 00:00:00,2014-05-04 00:00:00,1008,1008,1,0.279475278555,0.052463396963,0.0491748793197,0.0389396679259,0,0,0,0,normal,,unknown_review,0.1,0.694860347504,24.487492161,False,
manufacturer 1,10,2014-05-04 00:00:00,2014-05-04 06:00:00,pre_fault,Motorised control valve (primary side): Actuator defective,1,m1_runtime_model,2014-04-27 06:00:00,2014-05-04 06:00:00,1008,1008,1,0.775206247367,0.170390844583,0.11612324773,0.997354647362,1,0,0,1,fault,,unknown_review,0.1,0.827940423517,81.1927183104,False,
manufacturer 1,10,2014-05-04 06:00:00,2014-05-04 12:00:00,pre_fault,Motorised control valve (primary side): Actuator defective,1,m1_runtime_model,2014-04-27 12:00:00,2014-05-04 12:00:00,1008,1008,1,0.885811184642,0.0811678135826,0.017301994302,0.999670677273,1,0,0,1,fault,,unknown_review,0.1,0.858647451448,82.2413107935,False,
manufacturer 1,11,2016-09-30 00:00:00,2016-09-30 06:00:00,normal,,,m1_runtime_model,2016-09-23 06:00:00,2016-09-30 06:00:00,1008,1008,1,0.359929807399,0.229336911686,0.19779508627,0.0595583000801,0,0,0,0,normal,,unknown_review,0.1,0.744927462755,27.1235303871,False,
manufacturer 1,11,2016-09-30 06:00:00,2016-09-30 12:00:00,normal,,,m1_runtime_model,2016-09-23 12:00:00,2016-09-30 12:00:00,1008,1008,1,0.705804038344,0.192487344624,0.162392049489,0.994889925825,1,0,0,1,fault,,unknown_review,0.1,0.669637751017,76.3080784509,False,
manufacturer 1,11,2016-09-30 12:00:00,2016-09-30 18:00:00,normal,,,m1_runtime_model,2016-09-23 18:00:00,2016-09-30 18:00:00,1008,1008,1,0.477046023264,0.133586035621,0.119714921329,0.875613749041,0,0,0,1,normal,,unknown_review,0.1,0.696146256716,70.5431438988,True,m1_specialist_gate_near_threshold
manufacturer 1,11,2016-09-30 18:00:00,2016-10-01 00:00:00,normal,,,m1_runtime_model,2016-09-24 00:00:00,2016-10-01 00:00:00,1008,1008,1,0.314155822599,0.0752860086257,0.091859726205,0.00784486121703,0,0,0,0,normal,,unknown_review,0.1,0.728229977046,23.7783666783,False,
manufacturer 1,11,2016-10-01 00:00:00,2016-10-01 06:00:00,normal,,,m1_runtime_model,2016-09-24 06:00:00,2016-10-01 06:00:00,1008,1008,1,0.446382469563,0.0997264171921,0.0967752586749,0.530352514048,0,0,0,0,normal,,unknown_review,0.1,0.712775199301,52.0526442517,False,
manufacturer 1,11,2016-10-01 06:00:00,2016-10-01 12:00:00,normal,,,m1_runtime_model,2016-09-24 12:00:00,2016-10-01 12:00:00,1008,1008,1,0.765770273609,0.13372596593,0.110608499036,0.893154346782,1,0,0,1,fault,,unknown_review,0.1,0.688226155431,71.2702737359,False,
manufacturer 1,11,2016-10-01 12:00:00,2016-10-01 18:00:00,normal,,,m1_runtime_model,2016-09-24 18:00:00,2016-10-01 18:00:00,1008,1008,1,0.531067946932,0.117114270624,0.103685834533,0.757424507685,1,0,0,1,fault,,unknown_review,0.1,0.68847468796,63.8125885615,True,m1_specialist_gate_near_threshold
manufacturer 1,11,2016-10-01 18:00:00,2016-10-02 00:00:00,normal,,,m1_runtime_model,2016-09-25 00:00:00,2016-10-02 00:00:00,1008,1008,1,0.197920584515,0.081814379659,0.127163777737,0.000184359252355,0,0,0,0,normal,,unknown_review,0.1,0.677576640612,21.8374389772,False,
manufacturer 1,11,2016-10-02 00:00:00,2016-10-02 06:00:00,normal,,,m1_runtime_model,2016-09-25 06:00:00,2016-10-02 06:00:00,1008,1008,1,0.390312213532,0.0784663572018,0.0944128975363,0.0337018538599,0,0,0,0,normal,,unknown_review,0.1,0.693062086446,24.1454645557,False,
manufacturer 1,11,2016-10-02 06:00:00,2016-10-02 12:00:00,normal,,,m1_runtime_model,2016-09-25 12:00:00,2016-10-02 12:00:00,1008,1008,1,0.694889633192,0.13839028785,0.123920563342,0.954341529098,1,0,0,1,fault,,unknown_review,0.1,0.69239193558,74.7605421678,False,
manufacturer 1,11,2016-10-02 12:00:00,2016-10-02 18:00:00,normal,,,m1_runtime_model,2016-09-25 18:00:00,2016-10-02 18:00:00,1008,1008,1,0.599380124326,0.107436998356,0.0813224997724,0.975082785059,1,0,0,1,fault,,unknown_review,0.1,0.705208880883,76.2858196047,False,
manufacturer 1,11,2016-10-02 18:00:00,2016-10-03 00:00:00,normal,,,m1_runtime_model,2016-09-26 00:00:00,2016-10-03 00:00:00,1008,1008,1,0.247318685002,0.0732035489848,0.0556526796005,5.63642601939e-06,0,0,0,0,normal,,unknown_review,0.1,0.687443545637,22.1236163725,False,
manufacturer 1,11,2016-10-03 00:00:00,2016-10-03 06:00:00,normal,,,m1_runtime_model,2016-09-26 06:00:00,2016-10-03 06:00:00,1008,1008,1,0.368066340066,0.0708233758014,0.0540684267716,0.00136307810312,0,0,0,0,normal,,unknown_review,0.1,0.7521987881,24.1409329387,False,
manufacturer 1,11,2016-10-03 06:00:00,2016-10-03 12:00:00,normal,,,m1_runtime_model,2016-09-26 12:00:00,2016-10-03 12:00:00,1008,1008,1,0.750462603407,0.0917709640391,0.0901441238667,0.863103515696,1,0,0,1,fault,,unknown_review,0.1,0.750988857363,71.5003590842,False,
manufacturer 1,11,2016-10-03 12:00:00,2016-10-03 18:00:00,normal,,,m1_runtime_model,2016-09-26 18:00:00,2016-10-03 18:00:00,1008,1008,1,0.612947865611,0.120977929403,0.0939314553006,0.938130698769,1,0,0,1,fault,,unknown_review,0.1,0.75320618991,75.6933741296,False,
manufacturer 1,11,2016-10-03 18:00:00,2016-10-04 00:00:00,normal,,,m1_runtime_model,2016-09-27 00:00:00,2016-10-04 00:00:00,1008,1008,1,0.210293241394,0.088448556591,0.101027521146,0.000889964742943,0,0,0,0,normal,,unknown_review,0.1,0.725957401174,23.3276700961,False,
manufacturer 1,11,2016-10-04 00:00:00,2016-10-04 06:00:00,normal,,,m1_runtime_model,2016-09-27 06:00:00,2016-10-04 06:00:00,1008,1008,1,0.371806199476,0.091912821113,0.0693614854607,0.00457426234169,0,0,0,0,normal,,unknown_review,0.1,0.720414486978,23.3640190381,False,
manufacturer 1,11,2016-10-04 06:00:00,2016-10-04 12:00:00,normal,,,m1_runtime_model,2016-09-27 12:00:00,2016-10-04 12:00:00,1008,1008,1,0.642126382168,0.078581427143,0.0328982438656,0.991360990816,1,0,0,1,fault,,unknown_review,0.1,0.782089637927,79.4875436327,False,
manufacturer 1,11,2016-10-04 12:00:00,2016-10-04 18:00:00,normal,,,m1_runtime_model,2016-09-27 18:00:00,2016-10-04 18:00:00,1008,1008,1,0.505775491389,0.105171247284,0.0479486696303,0.976706355476,1,0,0,1,fault,,unknown_review,0.1,0.862618260051,81.0973973527,True,m1_specialist_gate_near_threshold
manufacturer 1,11,2016-10-04 18:00:00,2016-10-05 00:00:00,normal,,,m1_runtime_model,2016-09-28 00:00:00,2016-10-05 00:00:00,1008,1008,1,0.0934002370334,0.0897824765098,0.122989395647,0.00100157776589,0,0,0,0,normal,,unknown_review,0.1,0.732179354408,23.5204674094,False,
manufacturer 1,11,2016-10-05 00:00:00,2016-10-05 06:00:00,normal,,,m1_runtime_model,2016-09-28 06:00:00,2016-10-05 06:00:00,1008,1008,1,0.391380801705,0.154378818784,0.109256158594,0.111930512578,0,0,0,0,normal,,unknown_review,0.1,0.724369804732,29.3872723338,False,
manufacturer 1,11,2016-10-05 06:00:00,2016-10-05 12:00:00,normal,,,m1_runtime_model,2016-09-28 12:00:00,2016-10-05 12:00:00,1008,1008,1,0.714379536076,0.244894448745,0.17130620955,0.907228914259,1,0,0,1,fault,,unknown_review,0.1,0.684028562436,71.9184471573,False,
manufacturer 1,11,2016-10-05 12:00:00,2016-10-05 18:00:00,normal,,,m1_runtime_model,2016-09-28 18:00:00,2016-10-05 18:00:00,1008,1008,1,0.442997339438,0.133009671056,0.083647780034,0.87874443861,0,0,0,1,normal,,unknown_review,0.1,0.702371298087,70.9020830662,False,
manufacturer 1,11,2016-10-05 18:00:00,2016-10-06 00:00:00,normal,,,m1_runtime_model,2016-09-29 00:00:00,2016-10-06 00:00:00,1008,1008,1,0.119391109858,0.123712963817,0.149433108626,0.000518114939969,0,0,0,0,normal,,unknown_review,0.1,0.72385377346,23.2441095255,False,
manufacturer 1,11,2016-10-06 00:00:00,2016-10-06 06:00:00,normal,,,m1_runtime_model,2016-09-29 06:00:00,2016-10-06 06:00:00,1008,1008,1,0.584548188529,0.174043256266,0.0900219262017,0.113390600503,1,0,0,0,fault,,unknown_review,0.1,0.841418172043,32.979028189,False,
manufacturer 1,11,2016-10-06 06:00:00,2016-10-06 12:00:00,normal,,,m1_runtime_model,2016-09-29 12:00:00,2016-10-06 12:00:00,1008,1008,1,0.788729254958,0.189698854039,0.0772998069407,0.993356011033,1,0,0,1,fault,,unknown_review,0.1,0.71720153484,77.650626652,False,
manufacturer 1,11,2016-10-06 12:00:00,2016-10-06 18:00:00,normal,,,m1_runtime_model,2016-09-29 18:00:00,2016-10-06 18:00:00,1008,1008,1,0.527193505443,0.122213386142,0.0515176494923,0.994852382532,1,0,0,1,fault,,unknown_review,0.1,0.740832789481,78.4418647237,True,m1_specialist_gate_near_threshold
manufacturer 1,11,2016-10-06 18:00:00,2016-10-07 00:00:00,normal,,,m1_runtime_model,2016-09-30 00:00:00,2016-10-07 00:00:00,1008,1008,1,0.152033763685,0.0406455279743,0.0223920941966,0.0436333878439,0,0,0,0,normal,,unknown_review,0.1,0.752539953111,26.4760349247,False,
manufacturer 1,11,2017-10-31 00:00:00,2017-10-31 06:00:00,normal,,,m1_runtime_model,2017-10-24 06:00:00,2017-10-31 06:00:00,1008,1008,1,0.719761547791,0.0941396127996,0.0617320019267,0.826477692372,1,0,0,1,fault,,unknown_review,0.1,0.931814047152,74.910694495,False,
manufacturer 1,11,2017-10-31 06:00:00,2017-10-31 12:00:00,normal,,,m1_runtime_model,2017-10-24 12:00:00,2017-10-31 12:00:00,1008,1008,1,0.720413848165,0.0816490358785,0.0502004137532,0.511668333732,1,0,0,0,fault,,unknown_review,0.1,0.895246716006,56.4991598355,False,
manufacturer 1,11,2017-10-31 12:00:00,2017-10-31 18:00:00,normal,,,m1_runtime_model,2017-10-24 18:00:00,2017-10-31 18:00:00,1008,1008,1,0.557242039149,0.186873495419,0.148888574141,0.704386825852,1,0,0,1,fault,,unknown_review,0.1,0.911742662131,67.5935552858,False,
manufacturer 1,11,2017-10-31 18:00:00,2017-11-01 00:00:00,normal,,,m1_runtime_model,2017-10-25 00:00:00,2017-11-01 00:00:00,1008,1008,1,0.184044291668,0.100195496191,0.136984331271,0.00287198853334,0,0,0,0,normal,,unknown_review,0.1,0.721663416291,23.3078618581,False,
manufacturer 1,11,2017-11-01 00:00:00,2017-11-01 06:00:00,normal,,,m1_runtime_model,2017-10-25 06:00:00,2017-11-01 06:00:00,1008,1008,1,0.400035511115,0.0699974383966,0.0591055819444,0.030761292943,0,0,0,0,normal,,unknown_review,0.1,0.793995562545,27.0117379882,False,
manufacturer 1,11,2017-11-01 06:00:00,2017-11-01 12:00:00,normal,,,m1_runtime_model,2017-10-25 12:00:00,2017-11-01 12:00:00,1008,1008,1,0.716443797149,0.159602519439,0.09613370013,0.980856521501,1,0,0,1,fault,,unknown_review,0.1,0.684585184868,75.9846642286,False,
manufacturer 1,11,2017-11-01 12:00:00,2017-11-01 18:00:00,normal,,,m1_runtime_model,2017-10-25 18:00:00,2017-11-01 18:00:00,1008,1008,1,0.557694955667,0.137669903859,0.106331998667,0.997195254803,1,0,0,1,fault,,unknown_review,0.1,0.730025745723,78.2465113859,False,
manufacturer 1,11,2017-11-01 18:00:00,2017-11-02 00:00:00,normal,,,m1_runtime_model,2017-10-26 00:00:00,2017-11-02 00:00:00,1008,1008,1,0.156246465558,0.102413968936,0.102880846399,0.000515329242199,0,0,0,0,normal,,unknown_review,0.1,0.772944490396,24.7166778202,False,
manufacturer 1,11,2017-11-02 00:00:00,2017-11-02 06:00:00,normal,,,m1_runtime_model,2017-10-26 06:00:00,2017-11-02 06:00:00,1008,1008,1,0.651584735533,0.119289617674,0.084693437959,0.07751870348,1,0,0,0,fault,,unknown_review,0.1,0.824722024519,30.505189427,False,
manufacturer 1,11,2017-11-02 06:00:00,2017-11-02 12:00:00,normal,,,m1_runtime_model,2017-10-26 12:00:00,2017-11-02 12:00:00,1008,1008,1,0.753483451478,0.105406682248,0.0841628735154,0.886288062547,1,0,0,1,fault,,unknown_review,0.1,0.826116904309,75.0293505693,False,
manufacturer 1,11,2017-11-02 12:00:00,2017-11-02 18:00:00,normal,,,m1_runtime_model,2017-10-26 18:00:00,2017-11-02 18:00:00,1008,1008,1,0.667536443339,0.108359730739,0.0811470004996,0.945900163533,1,0,0,1,fault,,unknown_review,0.1,0.80757586648,77.7517849887,False,
manufacturer 1,11,2017-11-02 18:00:00,2017-11-03 00:00:00,normal,,,m1_runtime_model,2017-10-27 00:00:00,2017-11-03 00:00:00,1008,1008,1,0.306199351757,0.0613704689682,0.0524969786804,0.00158417760232,0,0,0,0,normal,,unknown_review,0.1,0.815801075791,26.0611620419,False,
manufacturer 1,11,2017-11-03 00:00:00,2017-11-03 06:00:00,normal,,,m1_runtime_model,2017-10-27 06:00:00,2017-11-03 06:00:00,1008,1008,1,0.453479996609,0.0872628751698,0.0550555607556,0.240082807518,0,0,0,0,normal,,unknown_review,0.1,0.821324441408,39.3442876557,True,m1_specialist_gate_near_threshold
manufacturer 1,11,2017-11-03 06:00:00,2017-11-03 12:00:00,normal,,,m1_runtime_model,2017-10-27 12:00:00,2017-11-03 12:00:00,1008,1008,1,0.763057716924,0.0686581373376,0.0509444496445,0.0375334519513,1,0,0,0,fault,,unknown_review,0.1,0.802503390662,27.6394415772,False,
manufacturer 1,11,2017-11-03 12:00:00,2017-11-03 18:00:00,normal,,,m1_runtime_model,2017-10-27 18:00:00,2017-11-03 18:00:00,1008,1008,1,0.696846478791,0.0771009031835,0.0525831464809,0.735652283052,1,0,0,1,fault,,unknown_review,0.1,0.817699107151,66.4918487824,False,
manufacturer 1,11,2017-11-03 18:00:00,2017-11-04 00:00:00,normal,,,m1_runtime_model,2017-10-28 00:00:00,2017-11-04 00:00:00,1008,1008,1,0.388133651288,0.0292333150271,0.0316472604546,0.000633271582008,0,0,0,0,normal,,unknown_review,0.1,0.782009143824,24.9951042517,False,
manufacturer 1,11,2017-11-04 00:00:00,2017-11-04 06:00:00,normal,,,m1_runtime_model,2017-10-28 06:00:00,2017-11-04 06:00:00,1008,1008,1,0.575612020005,0.0372002689714,0.026653351263,0.0345082166448,1,0,0,0,fault,,unknown_review,0.1,0.768027204404,26.4387680476,False,
manufacturer 1,11,2017-11-04 06:00:00,2017-11-04 12:00:00,normal,,,m1_runtime_model,2017-10-28 12:00:00,2017-11-04 12:00:00,1008,1008,1,0.74706210402,0.0821885391292,0.0500677455482,0.242815424063,1,0,0,0,fault,,unknown_review,0.1,0.782256179084,38.322533696,False,
manufacturer 1,11,2017-11-04 12:00:00,2017-11-04 18:00:00,normal,,,m1_runtime_model,2017-10-28 18:00:00,2017-11-04 18:00:00,1008,1008,1,0.684941119245,0.106301826664,0.0605536599648,0.61420013626,1,0,0,1,fault,,unknown_review,0.1,0.85066624051,60.8009947096,False,
manufacturer 1,11,2017-11-04 18:00:00,2017-11-05 00:00:00,normal,,,m1_runtime_model,2017-10-29 00:00:00,2017-11-05 00:00:00,1008,1008,1,0.348937751388,0.116661162423,0.105487768492,0.000472883043182,0,0,0,0,normal,,unknown_review,0.1,0.744897058823,23.8729203321,False,
manufacturer 1,11,2017-11-05 00:00:00,2017-11-05 06:00:00,normal,,,m1_runtime_model,2017-10-29 06:00:00,2017-11-05 06:00:00,1008,1008,1,0.621483040458,0.0893628354991,0.0625536599648,0.00942202417751,1,0,0,0,fault,,unknown_review,0.1,0.787160316565,25.6330208267,False,
manufacturer 1,11,2017-11-05 06:00:00,2017-11-05 12:00:00,normal,,,m1_runtime_model,2017-10-29 12:00:00,2017-11-05 12:00:00,1008,1008,1,0.77618871848,0.0884052959469,0.0526030990836,0.0393114446267,1,0,0,0,fault,,unknown_review,0.1,0.809392985673,27.9439190247,False,
manufacturer 1,11,2017-11-05 12:00:00,2017-11-05 18:00:00,normal,,,m1_runtime_model,2017-10-29 18:00:00,2017-11-05 18:00:00,1008,1008,1,0.614567294467,0.0795708945156,0.0413866908148,0.466659083707,1,0,0,0,fault,,unknown_review,0.1,0.814842993917,51.6115394214,False,
manufacturer 1,11,2017-11-05 18:00:00,2017-11-06 00:00:00,normal,,,m1_runtime_model,2017-10-30 00:00:00,2017-11-06 00:00:00,1008,1008,1,0.258160830857,0.0526480557428,0.0444301690757,2.55737145114e-05,0,0,0,0,normal,,unknown_review,0.1,0.782368452859,24.9724601401,False,
manufacturer 1,11,2017-11-06 00:00:00,2017-11-06 06:00:00,normal,,,m1_runtime_model,2017-10-30 06:00:00,2017-11-06 06:00:00,1008,1008,1,0.56039440242,0.134320074655,0.115381413081,0.255269612939,1,0,0,0,fault,,unknown_review,0.1,0.808632933127,39.7988167055,False,
manufacturer 1,11,2017-11-06 06:00:00,2017-11-06 12:00:00,normal,,,m1_runtime_model,2017-10-30 12:00:00,2017-11-06 12:00:00,1008,1008,1,0.668922486208,0.0900620959025,0.0682235004213,0.995841240555,1,0,0,1,fault,,unknown_review,0.1,0.851557416039,81.8179907117,False,
manufacturer 1,11,2017-11-06 12:00:00,2017-11-06 18:00:00,normal,,,m1_runtime_model,2017-10-30 18:00:00,2017-11-06 18:00:00,1008,1008,1,0.511346543181,0.104911784383,0.0830506104781,0.854670148615,1,0,0,1,fault,,unknown_review,0.1,0.726805902797,70.3110352577,True,m1_specialist_gate_near_threshold
manufacturer 1,11,2017-11-06 18:00:00,2017-11-07 00:00:00,normal,,,m1_runtime_model,2017-10-31 00:00:00,2017-11-07 00:00:00,1008,1008,1,0.142010021362,0.0444540658194,0.0424763815764,0.104093128834,0,0,0,0,normal,,unknown_review,0.1,0.72305015492,28.9166267335,False,
manufacturer 1,11,2018-06-29 06:00:00,2018-06-29 12:00:00,pre_fault,"Safety relief valve: Water loss, does not close properly",20,m1_runtime_model,2018-06-22 12:00:00,2018-06-29 12:00:00,1008,1008,1,0.371158077601,0.0772943930063,0.0301646316326,0.809597982911,0,0,0,1,normal,,unknown_review,0.1,0.781767079871,69.4809014562,False,
manufacturer 1,11,2018-06-29 12:00:00,2018-06-29 18:00:00,pre_fault,"Safety relief valve: Water loss, does not close properly",20,m1_runtime_model,2018-06-22 18:00:00,2018-06-29 18:00:00,1008,1008,1,0.722522289323,0.16770200966,0.083326981365,0.989590604327,1,0,0,1,fault,,unknown_review,0.1,0.789790215318,79.6211896975,False,
manufacturer 1,11,2018-06-29 18:00:00,2018-06-30 00:00:00,pre_fault,"Safety relief valve: Water loss, does not close properly",20,m1_runtime_model,2018-06-23 00:00:00,2018-06-30 00:00:00,1008,1008,1,0.481662148258,0.105635504673,0.0671606673635,0.477291528651,0,0,0,0,normal,,unknown_review,0.1,0.743621798664,50.0596880357,True,m1_specialist_gate_near_threshold
manufacturer 1,11,2018-06-30 00:00:00,2018-06-30 06:00:00,pre_fault,"Safety relief valve: Water loss, does not close properly",20,m1_runtime_model,2018-06-23 06:00:00,2018-06-30 06:00:00,1008,1008,1,0.191095939366,0.11997584921,0.110874787165,0.00739698500983,0,0,0,0,normal,,unknown_review,0.1,0.75212837589,24.4706854522,False,
