manufacturer,substation_id,window_start,window_end,anomaly_score,risk_score,risk_probability,risk_level_calibrated,predicted_lead_time_bucket,predicted_lead_time_confidence,leadtime_prob_0-24h,leadtime_prob_1-3d,leadtime_prob_3-7d,lead_time_bucket_distance,days_since_last_fault_event,days_since_last_task_event,days_since_last_any_event,configuration_type,has_dhw,has_buffer_tank,main_abnormal_sensors,label,fault_label,estimated_lead_time_hours,lead_time_bucket
manufacturer_2,8,2026-07-09T12:00:00,2026-07-09T18:00:00,0.057,5.57,0.0841,low,1-3d,0.3865,0.3643,0.3865,0.2492,0,44.8,148.3,31.2,sh,0,0,,normal,,,
manufacturer_2,2,2026-05-19T00:00:00,2026-05-19T06:00:00,0.8177,97.7,0.9228,critical,0-24h,0.7858,0.7858,0.1055,0.1087,0,269.9,151.7,8.1,sh_with_sub_circuits,0,0,s_dhw_upper_storage_temperature,pre_fault,heat_exchanger_fouling,19.8,0-24h
manufacturer_1,3,2026-05-17T00:00:00,2026-05-17T06:00:00,0.728,62.17,0.6163,high,1-3d,0.6683,0.1626,0.6683,0.169,0,216.1,183.4,179.0,sh_dhw_with_sub_circuits,1,0,s_hc1_supply_temperature;s_dhw_upper_storage_temperature,pre_fault,sensor_drift,46.8,1-3d
manufacturer_2,1,2026-07-23T00:00:00,2026-07-23T06:00:00,0.0607,10.78,0.0854,low,0-24h,0.364,0.364,0.3632,0.2728,0,29.4,168.5,187.1,sh_with_sub_circuits,0,0,,normal,,,
manufacturer_2,6,2026-08-05T12:00:00,2026-08-05T18:00:00,0.0546,7.43,0.1133,low,1-3d,0.4108,0.3202,0.4108,0.269,0,300.9,76.8,164.4,sh,0,0,,normal,,,
manufacturer_2,18,2026-07-17T00:00:00,2026-07-17T06:00:00,0.1169,13.03,0.0853,low,1-3d,0.3713,0.3662,0.3713,0.2626,0,192.4,92.4,110.2,sh_dhw_with_sub_circuits,1,0,,normal,,,
manufacturer_2,8,2026-05-12T06:00:00,2026-05-12T12:00:00,0.1082,22.6,0.2147,low,3-7d,0.353,0.3277,0.3193,0.353,0,347.0,42.9,13.3,sh_dhw_with_sub_circuits,1,0,,normal,,,
manufacturer_2,4,2026-05-10T12:00:00,2026-05-10T18:00:00,0.5263,62.06,0.6066,high,1-3d,0.6921,0.1418,0.6921,0.1661,0,189.6,155.9,72.1,sh_with_buffer_tank,0,1,p_net_meter_flow;p_net_supply_temperature,pre_fault,valve_fault,27.2,1-3d
manufacturer_2,18,2026-08-06T06:00:00,2026-08-06T12:00:00,0.0647,0.0,0.0058,low,0-24h,0.3925,0.3925,0.3112,0.2962,0,185.5,145.3,148.5,sh_dhw_with_sub_circuits,1,0,,normal,,,
manufacturer_1,5,2026-07-16T12:00:00,2026-07-16T18:00:00,0.0048,2.78,0.0579,low,0-24h,0.4044,0.4044,0.2633,0.3323,0,200.1,177.8,91.1,sh_dhw_with_sub_circuits,1,0,,normal,,,
manufacturer_2,1,2026-06-27T06:00:00,2026-06-27T12:00:00,0.6547,73.43,0.7571,high,1-3d,0.6724,0.1852,0.6724,0.1425,0,306.4,48.3,10.0,sh_with_sub_circuits,0,0,s_dhw_upper_storage_temperature;p_net_supply_temperature;p_net_meter_flow,pre_fault,valve_fault,65.8,1-3d
manufacturer_2,16,2026-05-10T00:00:00,2026-05-10T06:00:00,0.5117,53.96,0.5537,high,3-7d,0.7027,0.1413,0.156,0.7027,0,316.3,5.3,159.4,sh_with_buffer_tank,0,1,s_hc1_supply_temperature;p_net_meter_flow,pre_fault,valve_fault,125.4,3-7d
manufacturer_2,17,2026-04-08T12:00:00,2026-04-08T18:00:00,0.0651,8.29,0.0936,low,3-7d,0.3719,0.2946,0.3335,0.3719,0,259.1,112.7,77.8,sh_with_sub_circuits,0,0,,normal,,,
manufacturer_2,15,2026-07-26T18:00:00,2026-07-27T00:00:00,0.0247,14.56,0.1218,low,3-7d,0.3942,0.2953,0.3105,0.3942,0,152.7,17.0,174.6,sh_with_sub_circuits,0,0,,normal,,,
manufacturer_2,17,2026-04-05T12:00:00,2026-04-05T18:00:00,0.0632,6.93,0.0828,low,3-7d,0.3491,0.3231,0.3278,0.3491,0,182.3,55.6,181.8,sh_dhw,1,0,,normal,,,
manufacturer_1,3,2026-04-06T06:00:00,2026-04-06T12:00:00,0.059,11.34,0.1196,low,1-3d,0.377,0.3007,0.377,0.3222,0,119.7,70.9,139.5,sh_dhw_with_sub_circuits,1,0,,normal,,,
manufacturer_2,14,2026-07-09T18:00:00,2026-07-10T00:00:00,0.1064,0.0,0.0,low,3-7d,0.3632,0.3174,0.3194,0.3632,0,314.2,23.7,157.4,sh,0,0,,normal,,,
manufacturer_1,13,2026-06-25T12:00:00,2026-06-25T18:00:00,0.6543,72.32,0.7494,high,1-3d,0.7224,0.1321,0.7224,0.1455,0,134.5,194.8,73.6,sh_dhw_with_sub_circuits,1,0,s_dhw_supply_temperature;s_hc1_supply_temperature;p_net_return_temperature,pre_fault,sensor_drift,56.1,1-3d
manufacturer_1,4,2026-05-29T00:00:00,2026-05-29T06:00:00,0.1634,1.55,0.0095,low,1-3d,0.3528,0.2953,0.3528,0.3519,0,49.9,115.3,164.0,sh_with_buffer_tank,0,1,,normal,,,
manufacturer_2,14,2026-05-09T18:00:00,2026-05-10T00:00:00,0.549,58.46,0.5922,high,3-7d,0.6746,0.1701,0.1554,0.6746,0,381.2,131.6,75.7,sh,0,0,s_dhw_upper_storage_temperature;p_net_supply_temperature;p_net_meter_flow,pre_fault,valve_fault,102.0,3-7d
manufacturer_1,15,2026-06-08T12:00:00,2026-06-08T18:00:00,0.4476,48.66,0.5348,high,3-7d,0.7073,0.1364,0.1563,0.7073,0,237.4,107.9,55.4,sh_dhw_with_sub_circuits,1,0,p_hc1_return_temperature;s_dhw_supply_temperature;s_dhw_upper_storage_temperature,pre_fault,heat_exchanger_fouling,85.9,3-7d
manufacturer_2,5,2026-07-14T18:00:00,2026-07-15T00:00:00,0.0731,8.79,0.0841,low,0-24h,0.3982,0.3982,0.2972,0.3045,0,213.3,23.0,137.9,sh_with_buffer_tank,0,1,,normal,,,
manufacturer_1,8,2026-06-25T00:00:00,2026-06-25T06:00:00,0.1078,5.78,0.066,low,0-24h,0.3381,0.3381,0.3375,0.3245,0,64.1,3.3,66.7,sh,0,0,,normal,,,
manufacturer_1,12,2026-07-05T00:00:00,2026-07-05T06:00:00,0.0,7.64,0.0316,low,0-24h,0.3857,0.3857,0.32,0.2944,0,169.2,51.4,183.1,sh_with_buffer_tank,0,1,,normal,,,
manufacturer_2,6,2026-05-03T00:00:00,2026-05-03T06:00:00,0.1306,4.41,0.0449,low,3-7d,0.3958,0.3362,0.2681,0.3958,0,156.5,188.3,197.4,sh_dhw_with_sub_circuits,1,0,,normal,,,
manufacturer_1,8,2026-07-30T12:00:00,2026-07-30T18:00:00,0.0426,7.64,0.0803,low,0-24h,0.3839,0.3839,0.3027,0.3134,0,78.6,10.4,72.6,sh,0,0,,normal,,,
manufacturer_1,3,2026-06-03T06:00:00,2026-06-03T12:00:00,0.1244,4.79,0.0854,low,1-3d,0.3842,0.2918,0.3842,0.324,0,394.4,63.7,196.3,sh_with_buffer_tank,0,1,,normal,,,
manufacturer_1,7,2026-06-23T12:00:00,2026-06-23T18:00:00,0.8067,85.52,0.891,high,0-24h,0.7166,0.7166,0.1546,0.1288,0,333.6,8.6,167.5,sh_dhw_with_sub_circuits,1,0,p_net_meter_flow,pre_fault,valve_fault,11.5,0-24h
manufacturer_2,4,2026-07-19T06:00:00,2026-07-19T12:00:00,0.0316,5.07,0.025,low,0-24h,0.3963,0.3963,0.2605,0.3432,0,302.8,181.6,112.9,sh_with_sub_circuits,0,0,,normal,,,
manufacturer_2,9,2026-04-06T12:00:00,2026-04-06T18:00:00,0.9348,88.14,0.9126,critical,0-24h,0.7864,0.7864,0.1036,0.11,0,107.6,60.0,151.3,sh_with_buffer_tank,0,1,p_hc1_return_temperature,pre_fault,sensor_drift,7.5,0-24h
manufacturer_1,14,2026-07-20T00:00:00,2026-07-20T06:00:00,1.0,78.6,0.8542,high,0-24h,0.7222,0.7222,0.1164,0.1614,0,270.9,47.8,138.0,sh_dhw_with_sub_circuits,1,0,s_hc1_supply_temperature;p_hc1_return_temperature,pre_fault,valve_fault,6.8,0-24h
manufacturer_1,12,2026-05-17T06:00:00,2026-05-17T12:00:00,0.12,0.0,0.0,low,3-7d,0.3857,0.343,0.2713,0.3857,0,9.5,62.3,149.0,sh_dhw,1,0,,normal,,,
manufacturer_1,4,2026-08-24T00:00:00,2026-08-24T06:00:00,0.0619,2.78,0.045,low,0-24h,0.3677,0.3677,0.3138,0.3185,0,29.3,2.3,104.5,sh,0,0,,normal,,,
manufacturer_2,14,2026-05-02T18:00:00,2026-05-03T00:00:00,0.1161,0.0,0.0,low,1-3d,0.3683,0.3341,0.3683,0.2976,0,250.6,25.7,55.4,sh_with_sub_circuits,0,0,,normal,,,
manufacturer_1,9,2026-07-11T06:00:00,2026-07-11T12:00:00,0.8454,75.73,0.7751,high,0-24h,0.7634,0.7634,0.1312,0.1054,0,267.1,166.0,70.1,sh_with_buffer_tank,0,1,p_net_supply_temperature;p_hc1_return_temperature,pre_fault,heat_exchanger_fouling,14.5,0-24h
manufacturer_1,8,2026-08-11T00:00:00,2026-08-11T06:00:00,0.9027,93.58,0.9296,critical,0-24h,0.7235,0.7235,0.1258,0.1507,0,47.0,163.0,20.8,sh_with_buffer_tank,0,1,p_net_meter_flow;p_net_return_temperature,pre_fault,sensor_drift,19.6,0-24h
manufacturer_2,14,2026-04-15T06:00:00,2026-04-15T12:00:00,0.3806,69.8,0.6726,high,1-3d,0.6786,0.1609,0.6786,0.1605,0,34.3,131.1,29.8,sh,0,0,s_dhw_upper_storage_temperature;s_dhw_supply_temperature;p_hc1_return_temperature,pre_fault,heat_exchanger_fouling,66.8,1-3d
manufacturer_2,1,2026-08-02T06:00:00,2026-08-02T12:00:00,0.8009,85.42,0.8291,high,0-24h,0.7453,0.7453,0.1388,0.1158,0,318.0,16.9,53.6,sh_with_sub_circuits,0,0,s_hc1_supply_temperature;p_net_supply_temperature,pre_fault,pump_degradation,23.3,0-24h
manufacturer_2,5,2026-06-05T18:00:00,2026-06-06T00:00:00,0.1652,2.44,0.001,low,3-7d,0.3471,0.3254,0.3275,0.3471,0,255.8,48.2,137.1,sh_dhw,1,0,,normal,,,
manufacturer_1,3,2026-05-12T06:00:00,2026-05-12T12:00:00,0.8383,98.1,1.0,critical,0-24h,0.7328,0.7328,0.1056,0.1617,0,23.2,100.6,99.6,sh,0,0,p_net_return_temperature;p_net_meter_flow,pre_fault,pump_degradation,4.6,0-24h
manufacturer_1,4,2026-08-16T18:00:00,2026-08-17T00:00:00,0.1102,12.11,0.1212,low,1-3d,0.3959,0.3071,0.3959,0.297,0,40.3,191.4,53.8,sh_dhw_with_sub_circuits,1,0,,normal,,,
manufacturer_2,16,2026-07-10T18:00:00,2026-07-11T00:00:00,0.1342,11.74,0.0906,low,3-7d,0.3414,0.3391,0.3195,0.3414,0,239.4,115.7,70.9,sh,0,0,,normal,,,
manufacturer_2,12,2026-07-31T18:00:00,2026-08-01T00:00:00,0.4054,52.19,0.4926,high,3-7d,0.646,0.1767,0.1773,0.646,0,62.3,105.6,177.4,sh_dhw_with_sub_circuits,1,0,s_hc1_supply_temperature;p_net_return_temperature;p_net_meter_flow,pre_fault,pump_degradation,134.7,3-7d
manufacturer_1,6,2026-04-20T00:00:00,2026-04-20T06:00:00,0.0,8.02,0.0537,low,1-3d,0.3709,0.3415,0.3709,0.2876,0,341.6,55.5,80.7,sh_with_sub_circuits,0,0,,normal,,,
manufacturer_1,8,2026-05-26T18:00:00,2026-05-27T00:00:00,0.0752,11.51,0.1036,low,3-7d,0.3613,0.3187,0.32,0.3613,0,53.7,77.4,172.1,sh_dhw,1,0,,normal,,,
manufacturer_1,2,2026-05-30T12:00:00,2026-05-30T18:00:00,0.8825,81.88,0.7797,high,0-24h,0.7612,0.7612,0.1199,0.1189,0,73.1,126.9,63.5,sh_with_buffer_tank,0,1,p_net_meter_flow;s_dhw_upper_storage_temperature;p_net_return_temperature,pre_fault,heat_exchanger_fouling,22.6,0-24h
manufacturer_1,8,2026-04-29T06:00:00,2026-04-29T12:00:00,0.7765,88.45,0.8494,high,0-24h,0.7237,0.7237,0.1574,0.119,0,332.4,79.2,56.2,sh_with_sub_circuits,0,0,p_net_return_temperature;s_dhw_upper_storage_temperature,pre_fault,valve_fault,5.2,0-24h
manufacturer_2,12,2026-07-07T18:00:00,2026-07-08T00:00:00,0.9848,81.94,0.7948,high,0-24h,0.7353,0.7353,0.1282,0.1365,0,136.7,106.8,29.4,sh_dhw,1,0,p_hc1_return_temperature;p_net_meter_flow,pre_fault,valve_fault,17.9,0-24h
manufacturer_2,5,2026-05-26T18:00:00,2026-05-27T00:00:00,0.933,86.32,0.8692,high,0-24h,0.7307,0.7307,0.1487,0.1206,0,261.7,133.8,103.1,sh_dhw,1,0,p_hc1_return_temperature;p_net_meter_flow;s_dhw_supply_temperature,pre_fault,pump_degradation,20.4,0-24h
manufacturer_1,11,2026-04-20T18:00:00,2026-04-21T00:00:00,0.1264,4.53,0.0683,low,0-24h,0.3622,0.3622,0.3271,0.3107,0,25.4,11.9,153.2,sh_dhw_with_sub_circuits,1,0,,normal,,,
manufacturer_2,7,2026-07-24T12:00:00,2026-07-24T18:00:00,0.8314,67.68,0.6708,high,0-24h,0.7197,0.7197,0.1511,0.1293,0,366.7,2.2,183.2,sh_dhw_with_sub_circuits,1,0,s_dhw_upper_storage_temperature,pre_fault,heat_exchanger_fouling,9.2,0-24h
manufacturer_1,12,2026-06-21T18:00:00,2026-06-22T00:00:00,0.678,65.7,0.6462,high,1-3d,0.7263,0.148,0.7263,0.1257,0,159.1,106.8,82.8,sh_with_buffer_tank,0,1,p_hc1_return_temperature;p_net_meter_flow,pre_fault,valve_fault,42.4,1-3d
manufacturer_2,1,2026-07-21T12:00:00,2026-07-21T18:00:00,0.8159,86.99,0.8811,high,0-24h,0.78,0.78,0.1133,0.1067,0,31.8,13.4,128.5,sh_dhw,1,0,p_net_supply_temperature;s_dhw_upper_storage_temperature;s_dhw_supply_temperature,pre_fault,valve_fault,15.9,0-24h
manufacturer_1,2,2026-08-03T06:00:00,2026-08-03T12:00:00,0.461,42.81,0.4013,medium,3-7d,0.6466,0.1717,0.1817,0.6466,0,395.9,198.1,80.0,sh_with_buffer_tank,0,1,p_hc1_return_temperature,pre_fault,valve_fault,118.3,3-7d
manufacturer_1,12,2026-05-23T00:00:00,2026-05-23T06:00:00,0.0558,5.0,0.0114,low,0-24h,0.3897,0.3897,0.3072,0.303,0,386.4,89.5,35.0,sh_dhw_with_sub_circuits,1,0,,normal,,,
