source_id,final_class,target_class,source_event_id,fault_event_id,disturbance_row_id,substation_id,window_policy,window_start,window_end,coverage_rate,overlap_disturbance_count,normal_collision_count,hard_normal_tag,dataset,feature_set,feature_count,model,fold,y_true,probability_target,prediction_t0_45,prediction_t0_5,prediction_t0_55,prediction_t0_6,gate,training_dataset_id,outdoor_temperature__last_12h_mean_minus_prev_12h_mean,outdoor_temperature__last_6h_mean_minus_prev_6h_mean,outdoor_temperature__last_minus_first,p_hc1_return_temperature__last_12h_mean_minus_prev_12h_mean,p_hc1_return_temperature__last_1d_mean_minus_prev_6d_mean,p_net_meter_flow__last_1d_std_minus_prev_6d_std,p_net_return_temperature__last_1d_mean_minus_prev_6d_mean,p_return_gap__last_1d_mean_minus_prev_6d_mean,p_return_gap__last_minus_first,s_hc1_supply_temperature__last_1d_mean_minus_prev_6d_mean,s_hc1_supply_temperature__last_1d_std_minus_prev_6d_std,s_hc1_supply_temperature_error__last_minus_first,s_hc1_supply_temperature_setpoint__last_1d_mean_minus_prev_6d_mean,recomputed_sample_count,recomputed_expected_count,recomputed_coverage_rate,y,prediction_t0_4
disturbance_0023,fault,fault,,,23,7,fault_pre_7d,2015-04-03 14:18:00,2015-04-10 14:18:00,0.99503968254,0,0,,fault_no_overlap,compact13,13,random_forest_balanced_depth3,1,1,0.767960731195,1,1,1,1,fault_gate,fault_no_overlap,-1.16944444444,3.59305555556,-3.35,1.87430555556,0.309653101151,-171.360593461,1.89358727397,-1.313512086,5.35,-1.10868904411,-2.76972297827,-1.55,-0.961202868322,1003,1008,0.99503968254,1,
disturbance_0028,fault,fault,,,28,7,fault_pre_7d,2015-12-17 05:00:00,2015-12-24 05:00:00,1,0,0,,fault_no_overlap,compact13,13,random_forest_balanced_depth3,1,1,0.527743964155,1,1,0,0,fault_gate,fault_no_overlap,0.8625,-0.375,5.15,-1.59027777778,-1.87957175926,,,,,-2.29299768519,-0.0839041788031,-6.4,-2.00555555556,1008,1008,1,1,
disturbance_0030,fault,fault,,,30,7,fault_pre_7d,2016-02-07 09:48:00,2016-02-14 09:48:00,1,0,0,,fault_no_overlap,compact13,13,random_forest_balanced_depth3,1,1,0.577690430123,1,1,1,0,fault_gate,fault_no_overlap,-3.07638888889,-1.97361111111,-0.05,-3.05694444444,2.72228009259,,,,,5.93489583333,-0.9482284811,-0.75,6.02835648148,1008,1008,1,1,
disturbance_0031,fault,fault,67,67,31,7,fault_pre_7d,2017-11-19 13:15:00,2017-11-26 13:15:00,1,0,0,,fault_no_overlap,compact13,13,random_forest_balanced_depth3,1,1,0.526762940605,1,1,0,0,fault_gate,fault_no_overlap,1.07638888889,3.13888888889,-5.1,-0.641666666667,-0.0525462962963,-1.33206509355,-1.43460648148,1.38206018519,3.13333333333,2.59658564815,-0.954640916209,0.75,2.68634259259,1008,1008,1,1,
disturbance_0035,fault,fault,,,35,7,fault_pre_7d,2019-12-13 18:20:00,2019-12-20 18:20:00,1,0,0,,fault_no_overlap,compact13,13,random_forest_balanced_depth3,1,1,0.632535494221,1,1,1,1,fault_gate,fault_no_overlap,-1.84888888889,-1.61083333333,-7.8,-1.71375,-1.13190393519,0,,,,-1.20361689815,2.11141022401,-18.42,2.54892361111,1008,1008,1,1,
disturbance_0038,fault,fault,44,44,38,8,fault_pre_7d,2018-04-20 08:15:00,2018-04-27 08:15:00,1,0,0,,fault_no_overlap,compact13,13,random_forest_balanced_depth3,3,1,0.828722803437,1,1,1,1,fault_gate,fault_no_overlap,-0.943055555556,-0.669444444444,2.15,0.923611111111,0.115914351852,-49.1735202709,-6.27647722811,6.37257557911,12.7833333333,-3.39079861111,-2.51254005747,-5.15,-3.05515046296,1008,1008,1,1,
disturbance_0041,fault,fault,57,57,41,9,fault_pre_7d,2020-02-17 21:13:00,2020-02-24 21:13:00,1,0,0,,fault_no_overlap,compact13,13,random_forest_balanced_depth3,3,1,0.371980478665,0,0,0,0,fault_gate,fault_no_overlap,0.977962962963,-0.717986111111,-3.3,-12.0474074074,1.4670304784,38.5142632916,1.29266975309,0.174360725309,2.58,1.71250385802,3.09530138373,-34.43,-0.0206359953704,1008,1008,1,1,
disturbance_0053,fault,fault,5,5,53,11,fault_pre_7d,2018-11-16 08:30:00,2018-11-23 08:30:00,1,0,0,,fault_no_overlap,compact13,13,random_forest_balanced_depth3,4,1,0.707653231255,1,1,1,1,fault_gate,fault_no_overlap,-4.01736111111,0.184722222222,-3.2,2.05555555556,-1.97905092593,-13.9120629461,-2.83457023671,0.876435778036,20.0666666667,-0.123206018519,-1.13520268276,-9.1,0,1008,1008,1,1,
disturbance_0055,fault,fault,65,65,55,11,fault_pre_7d,2019-01-07 11:58:00,2019-01-14 11:58:00,1,0,0,,fault_no_overlap,compact13,13,random_forest_balanced_depth3,4,1,0.606130761927,1,1,1,1,fault_gate,fault_no_overlap,-1.73055555556,-1.91388888889,-11.3,-5.35138888889,0.320196759259,-2.09425671833,-2.9059997893,3.476128143,1.86666666667,3.80376157407,-0.321158886694,-2.5,3.81869212963,1008,1008,1,1,
disturbance_0059,fault,fault,3,3,59,12,fault_pre_7d,2015-11-24 10:56:00,2015-12-01 10:56:00,1,0,0,,fault_no_overlap,compact13,13,random_forest_balanced_depth3,4,1,0.858826194844,1,1,1,1,fault_gate,fault_no_overlap,-3.05,0.973611111111,-3.3,-5.85347222222,-10.1028935185,-186.799886528,4.81469989367,0.900946039341,-2.69166666667,-14.8470486111,3.85837935679,-0.2,-14.9712384259,1008,1008,1,1,
disturbance_0062,fault,fault,24,24,62,13,fault_pre_7d,2016-07-13 15:17:00,2016-07-20 15:17:00,1,0,0,,fault_no_overlap,compact13,13,random_forest_balanced_depth3,4,1,0.780848382603,1,1,1,1,fault_gate,fault_no_overlap,-1.85138888889,-0.341666666667,-1.15,-0.282638888889,-5.50758101852,37.7628839447,-0.646348853117,-3.61508493269,-3.51,1.84878472222,-3.18768064864,-4.4,-8.58888888889,1008,1008,1,1,
disturbance_0065,fault,fault,53,53,65,13,fault_pre_7d,2020-05-19 10:00:00,2020-05-26 10:00:00,1,0,0,,fault_no_overlap,compact13,13,random_forest_balanced_depth3,4,1,0.735167065986,1,1,1,1,fault_gate,fault_no_overlap,-2.02486111111,2.52277777778,2.93,-0.147638888889,-0.00655671296297,-2.57000406563,-4.68287037037,4.67631365741,-12.27,-0.00721643518519,0.0991516598454,-0.51,-0.0171875,1008,1008,1,1,
disturbance_0074,fault,fault,,,74,14,fault_pre_7d,2018-09-23 12:41:00,2018-09-30 12:41:00,1,0,0,,fault_no_overlap,compact13,13,random_forest_balanced_depth3,5,1,0.712474919206,1,1,1,1,fault_gate,fault_no_overlap,-1.58958333333,1.53055555556,-5,-2.73888888889,2.30775462963,4.40269890496,-0.996078177856,3.30200941647,8.19666666667,2.35497685185,-0.125735830179,-18.95,6.0150462963,1008,1008,1,1,
disturbance_0080,fault,fault,,,80,16,fault_pre_7d,2017-07-24 13:39:00,2017-07-31 13:39:00,1,0,0,,fault_no_overlap,compact13,13,random_forest_balanced_depth3,2,1,0.604729467363,1,1,1,1,fault_gate,fault_no_overlap,-2.94166666667,9.2,2.7,0.235416666667,5.84270833333,452.847526516,3.50680555556,2.33590277778,-19.5816666667,2.18732638889,-7.69516749011,-25.6,-1.73836805556,1008,1008,1,1,
disturbance_0084,fault,fault,29,29,84,17,fault_pre_7d,2019-01-02 14:18:00,2019-01-09 14:18:00,1,0,0,,fault_no_overlap,compact13,13,random_forest_balanced_depth3,3,1,0.748042318632,1,1,1,1,fault_gate,fault_no_overlap,1.26041666667,-0.0638888888889,4.25,0.148611111111,-2.07887731481,,,,0.829722222222,-2.64346064815,-0.770044208822,2.05,-2.92569444444,1008,1008,1,1,
disturbance_0089,fault,fault,,,89,18,fault_pre_7d,2014-04-25 17:22:00,2014-05-02 17:22:00,1,0,0,,fault_no_overlap,compact13,13,random_forest_balanced_depth3,2,1,0.840168301598,1,1,1,1,fault_gate,fault_no_overlap,-2.65694444444,1.10138888889,-8.8,-0.752777777778,-4.76736111111,,,,,-5.02575231481,-0.458329025535,-0.55,-4.76846064815,1008,1008,1,1,
disturbance_0091,fault,fault,,,91,18,fault_pre_7d,2014-10-27 14:28:00,2014-11-03 14:28:00,1,0,0,,fault_no_overlap,compact13,13,random_forest_balanced_depth3,2,1,0.652710888704,1,1,1,1,fault_gate,fault_no_overlap,-0.511805555556,3.06527777778,-3.3,6.625,6.5740162037,,,,,7.84519675926,0.804872759627,-0.25,7.60905671296,1008,1008,1,1,
disturbance_0092,fault,fault,,,92,18,fault_pre_7d,2015-01-31 15:39:00,2015-02-07 15:39:00,1,0,0,,fault_no_overlap,compact13,13,random_forest_balanced_depth3,2,1,0.811629194788,1,1,1,1,fault_gate,fault_no_overlap,-0.233333333333,-0.141666666667,8.7,-10.125,-16.6861111111,,,,,-18.4385416667,3.28611270927,11.7,-18.2303819444,1008,1008,1,1,
disturbance_0095,fault,fault,49,49,95,18,fault_pre_7d,2019-04-27 07:19:00,2019-05-04 07:19:00,0.997023809524,0,0,,fault_no_overlap,compact13,13,random_forest_balanced_depth3,2,1,0.732550474066,1,1,1,1,fault_gate,fault_no_overlap,-1.71188164251,-1.20222222222,2.74,-4.0036352657,-3.46480779649,-435.921283492,-4.11406619385,0.64925839736,12.31,-3.74290950059,-2.77337540904,2.84,-3.76969092297,1005,1008,0.997023809524,1,
disturbance_0097,fault,fault,37,37,97,19,fault_pre_7d,2018-11-14 09:15:00,2018-11-21 09:15:00,1,0,0,,fault_no_overlap,compact13,13,random_forest_balanced_depth3,2,1,0.58636339803,1,1,1,0,fault_gate,fault_no_overlap,-3.28263888889,-1.36944444444,-1.15,1.46388888889,-2.27222222222,-195.876884982,-1.10043213495,-1.11534714081,-0.956666666667,-3.05190972222,-0.949665708184,0.85,-3.03252314815,1008,1008,1,1,
disturbance_0099,fault,fault,,,99,19,fault_pre_7d,2019-10-01 09:12:00,2019-10-08 09:12:00,1,0,0,,fault_no_overlap,compact13,13,random_forest_balanced_depth3,2,1,0.534794709185,1,1,0,0,fault_gate,fault_no_overlap,-2.06326388889,1.66722222222,-3.5,6.63861111111,2.28743055556,-16.9547423646,0.843993055556,1.4434375,5.46,3.17138888889,-0.56038700777,-0.05,3.19571759259,1008,1008,1,1,
disturbance_0102,fault,fault,,,102,19,fault_pre_7d,2019-11-28 15:04:00,2019-12-05 15:04:00,1,0,0,,fault_no_overlap,compact13,13,random_forest_balanced_depth3,2,1,0.34530325787,0,0,0,0,fault_gate,fault_no_overlap,,,,4.97041666667,1.66979166667,-705.314161442,1.22635416667,0.4434375,5.52,1.665,-1.23113249792,-1.25,1.70789351852,1008,1008,1,1,
disturbance_0108,fault,fault,34,34,108,20,fault_pre_7d,2017-05-31 07:34:00,2017-06-07 07:34:00,1,0,0,,fault_no_overlap,compact13,13,random_forest_balanced_depth3,2,1,0.65369445212,1,1,1,1,fault_gate,fault_no_overlap,-1.17083333333,-1.85833333333,-0.3,-0.960416666667,-0.462326388889,-46.187596771,0.387569444444,-0.849895833333,6.01833333333,-3.565625,-2.89545457798,-7,-0.190972222222,1008,1008,1,1,
disturbance_0109,fault,fault,,,109,20,fault_pre_7d,2019-02-12 10:40:00,2019-02-19 10:40:00,1,0,0,,fault_no_overlap,compact13,13,random_forest_balanced_depth3,2,1,0.595279612333,1,1,1,0,fault_gate,fault_no_overlap,-2.30833333333,-0.8625,-2.9,-1.62708333333,-0.598263888889,9.87691030966,0.183547453704,-0.781811342593,-3.575,-0.542361111111,-2.4789394054,-1.3,-0.410763888889,1008,1008,1,1,
disturbance_0113,fault,fault,,,113,21,fault_pre_7d,2015-05-31 11:34:00,2015-06-07 11:34:00,1,0,0,,fault_no_overlap,compact13,13,random_forest_balanced_depth3,3,1,0.756602832761,1,1,1,1,fault_gate,fault_no_overlap,-4.8625,1.83333333333,1.2,2.84791666667,-0.490451388889,,,,,-1.86770833333,-1.78832022672,-5.5,0.911979166667,1008,1008,1,1,
disturbance_0115,fault,fault,6,6,115,21,fault_pre_7d,2016-11-29 13:12:00,2016-12-06 13:12:00,1,0,0,,fault_no_overlap,compact13,13,random_forest_balanced_depth3,3,1,0.488002313417,1,0,0,0,fault_gate,fault_no_overlap,0.795138888889,1.50694444444,-0.45,-2.03680555556,0.568287037037,106.609779743,-0.447965350622,1.04371208074,-0.84,2.34207175926,-0.430062462361,1.4,2.34137731481,1008,1008,1,1,
disturbance_0118,fault,fault,,,118,21,fault_pre_7d,2018-04-02 13:51:00,2018-04-09 13:51:00,1,0,0,,fault_no_overlap,compact13,13,random_forest_balanced_depth3,3,1,0.580957056976,1,1,1,0,fault_gate,fault_no_overlap,-3.70486111111,2.90416666667,0.15,2.44236111111,1.87314814815,56.9290614495,1.70211455484,0.150810171617,-0.646666666667,3.38640046296,0.399482188513,0.7,3.36232638889,1008,1008,1,1,
disturbance_0119,fault,fault,,,119,21,fault_pre_7d,2018-08-31 15:24:00,2018-09-07 15:24:00,1,0,0,,fault_no_overlap,compact13,13,random_forest_balanced_depth3,3,1,0.620627634375,1,1,1,1,fault_gate,fault_no_overlap,0.373611111111,5.73472222222,-1.85,0.0444444444444,1.11782407407,-12.8374746703,-0.973981833545,2.03654784537,9.435,-1.6103587963,-1.16417588053,-43.15,3.44398148148,1008,1008,1,1,
disturbance_0121,fault,fault,62,62,121,21,fault_pre_7d,2019-01-14 08:17:00,2019-01-21 08:17:00,1,0,0,,fault_no_overlap,compact13,13,random_forest_balanced_depth3,3,1,0.919892498099,1,1,1,1,fault_gate,fault_no_overlap,-1.21666666667,-0.334722222222,6.1,-3.275,-2.82505787037,-77.3268266031,-2.5490316358,-0.276026234568,-1.00833333333,-6.08755787037,-2.58535042717,0.5,-6.04380787037,1008,1008,1,1,
disturbance_0125,fault,fault,32,32,125,21,fault_pre_7d,2019-10-12 10:38:00,2019-10-19 10:38:00,1,0,0,,fault_no_overlap,compact13,13,random_forest_balanced_depth3,3,1,0.630427137723,1,1,1,1,fault_gate,fault_no_overlap,-2.82375,0.365,0.04,0.413888888889,1.23251157407,9.5380350692,-0.544722222222,1.7772337963,2.24,2.82605324074,0.198615187051,1.44,2.78659722222,1008,1008,1,1,
disturbance_0127,fault,fault,,,127,23,fault_pre_7d,2016-05-25 08:39:00,2016-06-01 08:39:00,0.998015873016,0,0,,fault_no_overlap,compact13,13,random_forest_balanced_depth3,1,1,0.572358845744,1,1,1,0,fault_gate,fault_no_overlap,-3.18625,-0.629166666667,-1.4,-1.55964285714,2.08307413928,50.5855332895,1.49806652047,0.84182748538,-5.27,2.35891529734,0.124285791862,4,2.78420872457,1006,1008,0.998015873016,1,
disturbance_0130,fault,fault,13,13,130,24,fault_pre_7d,2016-01-05 12:39:00,2016-01-12 12:39:00,1,0,0,,fault_no_overlap,compact13,13,random_forest_balanced_depth3,5,1,0.373070363938,0,0,0,0,fault_gate,fault_no_overlap,-0.0104166666667,0.3125,-2.4,0.547916666667,-0.6515625,-25.3857531171,0.565972222222,-1.21753472222,-11.3666666667,2.65347222222,-0.622065407218,0.8,2.85486111111,1008,1008,1,1,
disturbance_0135,fault,fault,38,38,135,24,fault_pre_7d,2016-10-17 13:55:00,2016-10-24 13:55:00,1,0,0,,fault_no_overlap,compact13,13,random_forest_balanced_depth3,5,1,0.705833644252,1,1,1,1,fault_gate,fault_no_overlap,-0.439583333333,2.80416666667,0.6,-0.911805555556,0.254918981481,-28.8584353323,0.412037037037,-0.157118055556,-1.16666666667,-1.46412037037,-1.67751314802,-2.8,-1.61747685185,1008,1008,1,1,
disturbance_0136,fault,fault,,,136,24,fault_pre_7d,2016-11-11 07:26:00,2016-11-18 07:26:00,1,0,0,,fault_no_overlap,compact13,13,random_forest_balanced_depth3,5,1,0.523268859406,1,1,0,0,fault_gate,fault_no_overlap,-1.00208333333,-0.970833333333,-0.55,-0.144444444444,0.407407407407,-41.3710735868,0.474537037037,-0.0671296296296,-0.1,0.463831018519,-1.65463721383,-1.9,0.391840277778,1008,1008,1,1,
disturbance_0141,fault,fault,7,7,141,26,fault_pre_7d,2020-06-06 10:38:00,2020-06-13 10:38:00,1,0,0,,fault_no_overlap,compact13,13,random_forest_balanced_depth3,5,1,0.874803005034,1,1,1,1,fault_gate,fault_no_overlap,-4.2425,3.40083333333,-3.4,-7.315,-4.04850115741,-23.7921735224,-15.9728009259,11.9242997685,19.28,-11.0528240741,-2.30896869418,-0.27,-19.6862789352,1008,1008,1,1,
disturbance_0143,fault,fault,23,23,143,27,fault_pre_7d,2020-01-13 12:57:00,2020-01-20 12:57:00,1,0,0,,fault_no_overlap,compact13,13,random_forest_balanced_depth3,4,1,0.67756053227,1,1,1,1,fault_gate,fault_no_overlap,-1.94819444444,1.98805555556,-12.54,0.472222222222,4.12179976852,-12.9756488485,3.21469907407,0.907100694444,4.64,7.31661458333,-1.5734855592,-1.43,6.92278356481,1008,1008,1,1,
disturbance_0144,fault,fault,,,144,27,fault_pre_7d,2020-03-20 14:34:11,2020-03-27 14:34:11,1,0,0,,fault_no_overlap,compact13,13,random_forest_balanced_depth3,4,1,0.812126213295,1,1,1,1,fault_gate,fault_no_overlap,0.518277777778,8.92878703704,11.55,-1.09087731481,-4.40036709105,-29.148188496,-1.59444444444,-2.8059226466,-2.86,-10.7172592593,0.199263210349,4.87,-10.8429239969,1008,1008,1,1,
disturbance_0149,fault,fault,47,47,149,28,fault_pre_7d,2020-01-06 10:55:00,2020-01-13 10:55:00,1,0,0,,fault_no_overlap,compact13,13,random_forest_balanced_depth3,2,1,0.651567182317,1,1,1,1,fault_gate,fault_no_overlap,6.90041666667,0.954722222222,4.58,-2.16111111111,-8.37803240741,-663.176276915,-9.11079861111,0.732766203704,2.61,2.10451388889,-1.95254996628,1.52,1.73900462963,1008,1008,1,1,
disturbance_0153,fault,fault,15,15,153,29,fault_pre_7d,2020-02-29 07:59:43,2020-03-07 07:59:43,1,0,0,,fault_no_overlap,compact13,13,random_forest_balanced_depth3,4,1,0.603365076355,1,1,1,1,fault_gate,fault_no_overlap,-0.550347222222,-0.196944444444,-2.32,0.315833333333,5.21439814815,-25.6189833972,7.99421296296,-2.77981481481,2.05,4.16337962963,-3.12508854016,-38.61,4.76237268519,1008,1008,1,1,
disturbance_0154,fault,fault,,,154,29,fault_pre_7d,2020-05-03 11:09:13,2020-05-10 11:09:13,1,0,0,,fault_no_overlap,compact13,13,random_forest_balanced_depth3,4,1,0.735445307134,1,1,1,1,fault_gate,fault_no_overlap,-3.47439814815,0.613287037037,0.015,-4.0946875,-4.1851404321,-20.5416692224,-1.76450617284,-2.42063425926,20.445,-1.12490972222,1.47212765764,-5.46,6.93453491512,1008,1008,1,1,
disturbance_0155,fault,fault,,,155,29,fault_pre_7d,2020-05-25 10:20:54,2020-06-01 10:20:54,1,0,0,,fault_no_overlap,compact13,13,random_forest_balanced_depth3,4,1,0.732291288728,1,1,1,1,fault_gate,fault_no_overlap,-1.19730324074,1.92055555556,0.315,-3.02972222222,-3.81860570988,-13.7403255107,-3.40702160494,-0.411584104938,11.82,-1.24031365741,0.977062616996,-31.575,3.98005208333,1008,1008,1,1,
disturbance_0156,fault,fault,,,156,30,fault_pre_7d,2019-12-27 13:42:09,2020-01-03 13:42:09,1,0,0,,fault_no_overlap,compact13,13,random_forest_balanced_depth3,5,1,0.784022911664,1,1,1,1,fault_gate,fault_no_overlap,-1.18555555556,0.377222222222,-1.78,-0.399305555556,-1.08148148148,-8.92611349829,-1.44791666667,0.366435185185,2.68,-2.96605902778,-5.69833478423,11.51,-0.685601851852,1008,1008,1,1,
disturbance_0158,fault,fault,10,10,158,30,fault_pre_7d,2020-03-09 15:04:00,2020-03-16 15:04:00,1,0,0,,fault_no_overlap,compact13,13,random_forest_balanced_depth3,5,1,0.859199400373,1,1,1,1,fault_gate,fault_no_overlap,-1.15583333333,6.95527777778,4.51,0.00305555555556,-15.0474537037,-159.767678792,-19.662037037,4.61458333333,7.95,-18.2909259259,-12.3668290712,0.48,-20.1570138889,1008,1008,1,1,
disturbance_0160,fault,fault,45,45,160,31,fault_pre_7d,2020-01-06 15:48:00,2020-01-13 15:48:00,1,0,0,,fault_no_overlap,compact13,13,random_forest_balanced_depth3,4,1,0.531156069341,1,1,0,0,fault_gate,fault_no_overlap,4.07944444444,1.64555555556,4.23,-3.04069444444,-0.706064814815,46.6860625923,-0.847222222222,0.141157407407,4.93,-0.68587962963,1.58571827826,-4.14,-0.155821759259,1008,1008,1,1,
disturbance_0162,fault,fault,,,162,32,fault_pre_7d,2020-03-23 13:19:00,2020-03-30 13:19:00,1,0,0,,fault_no_overlap,compact13,13,random_forest_balanced_depth3,5,1,0.704877033947,1,1,1,1,fault_gate,fault_no_overlap,-0.917638888889,4.38972222222,5.74,-0.542986111111,-0.671520061728,-14.1153005094,0.387731481481,-1.05925154321,-2.8,-1.01054591049,-2.01342656152,1.46,-0.90256558642,1008,1008,1,1,
normal_0002,normal,fault,2,,,9,normal_event_7d,2019-01-02 00:00:00,2019-01-09 00:00:00,1,0,0,,fault_no_overlap,compact13,13,random_forest_balanced_depth3,3,0,0.561043272429,1,1,1,0,fault_gate,fault_no_overlap,2.0175,0.447777777778,3.46,-0.801527777778,0.0771238425926,-5.41719603108,-0.037037037037,0.11416087963,2.64,-0.202731481481,0.117390826144,-0.08,-0.169212962963,1008,1008,1,0,
normal_0004,normal,fault,4,,,15,normal_event_7d,2019-03-01 00:00:00,2019-03-08 00:00:00,1,0,0,,fault_no_overlap,compact13,13,random_forest_balanced_depth3,2,0,0.378587699277,0,0,0,0,fault_gate,fault_no_overlap,5.37083333333,-3.56527777778,-3.5,-1.97430555556,-0.755092592593,-24.7303241036,-0.63468099211,-0.0968434710904,-7.13333333333,-0.600810185185,0.171164283324,0.75,-1.16608796296,1008,1008,1,0,
normal_0008,normal,fault,8,,,6,normal_event_7d,2020-06-02 00:00:00,2020-06-09 00:00:00,1,0,0,,fault_no_overlap,compact13,13,random_forest_balanced_depth3,3,0,0.159144001321,0,0,0,0,fault_gate,fault_no_overlap,-0.172893518519,-3.07800925926,-0.07,0.666875,1.93523842593,1.89936909576,1.95549768519,-0.0202592592593,0.12,1.53505073302,-1.90839513089,-10.33,6.23261670525,1008,1008,1,0,
