column_name,imputation_strategy,imputation_value,selection_split_column,selection_split_value
season_bucket__is__spring,median,0.0,split_regime_based,train
season_bucket__is__summer,median,0.0,split_regime_based,train
season_bucket__is__winter,median,0.0,split_regime_based,train
days_since_last_any_event,median,301.0,split_regime_based,train
days_since_last_task_event,median,301.0,split_regime_based,train
extreme_change_count,median,10.0,split_regime_based,train
has_buffer_tank,mode,False,split_regime_based,train
has_dhw,mode,True,split_regime_based,train
max_timestamp_gap_minutes,median,10.0,split_regime_based,train
missing_count,median,0.0,split_regime_based,train
missing_rate,median,0.0,split_regime_based,train
network_temperature_gap__last,median,39.0,split_regime_based,train
network_temperature_gap__max_abs,median,45.0,split_regime_based,train
network_temperature_gap__mean,median,39.20214743589744,split_regime_based,train
outdoor_temperature__delta,median,-0.2000000000000001,split_regime_based,train
outdoor_temperature__first,median,8.8,split_regime_based,train
outdoor_temperature__last,median,8.8,split_regime_based,train
outdoor_temperature__max,median,10.1,split_regime_based,train
outdoor_temperature__mean,median,8.75,split_regime_based,train
outdoor_temperature__min,median,7.7,split_regime_based,train
outdoor_temperature__std,median,0.4974657704893243,split_regime_based,train
p_hc1_return_temperature__delta,median,-0.0499999999999971,split_regime_based,train
p_hc1_return_temperature__first,median,44.4,split_regime_based,train
p_hc1_return_temperature__last,median,44.55,split_regime_based,train
p_hc1_return_temperature__max,median,48.4,split_regime_based,train
p_hc1_return_temperature__mean,median,44.41458333333333,split_regime_based,train
p_hc1_return_temperature__min,median,39.425,split_regime_based,train
p_hc1_return_temperature__std,median,1.742039389923892,split_regime_based,train
p_net_meter_energy__delta,median,791.8333333331975,split_regime_based,train
p_net_meter_energy__first,median,3144405.0,split_regime_based,train
p_net_meter_energy__last,median,3145652.5,split_regime_based,train
p_net_meter_energy__max,median,3145652.5,split_regime_based,train
p_net_meter_energy__mean,median,3145045.5555555555,split_regime_based,train
p_net_meter_energy__min,median,3144405.0,split_regime_based,train
p_net_meter_energy__missing_count,median,0.0,split_regime_based,train
p_net_meter_energy__missing_rate,median,0.0,split_regime_based,train
p_net_meter_energy__std,median,238.97467968973092,split_regime_based,train
p_net_meter_flow__delta,median,0.6666666666666619,split_regime_based,train
p_net_meter_flow__first,median,2910.0,split_regime_based,train
p_net_meter_flow__last,median,2880.0,split_regime_based,train
p_net_meter_flow__max,median,4876.0,split_regime_based,train
p_net_meter_flow__mean,median,3416.8541666666665,split_regime_based,train
p_net_meter_flow__min,median,1496.0,split_regime_based,train
p_net_meter_flow__missing_count,median,0.0,split_regime_based,train
p_net_meter_flow__missing_rate,median,0.0,split_regime_based,train
p_net_meter_flow__std,median,866.3595151706616,split_regime_based,train
p_net_meter_heat_power__delta,median,0.1666666666666667,split_regime_based,train
p_net_meter_heat_power__first,median,130.5,split_regime_based,train
p_net_meter_heat_power__last,median,134.25,split_regime_based,train
p_net_meter_heat_power__max,median,260.0,split_regime_based,train
p_net_meter_heat_power__mean,median,159.14583333333334,split_regime_based,train
p_net_meter_heat_power__min,median,73.0,split_regime_based,train
p_net_meter_heat_power__missing_count,median,0.0,split_regime_based,train
p_net_meter_heat_power__missing_rate,median,0.0,split_regime_based,train
p_net_meter_heat_power__std,median,44.03873639603657,split_regime_based,train
p_net_meter_volume__delta,median,18.66666666666788,split_regime_based,train
p_net_meter_volume__first,median,226727.45,split_regime_based,train
p_net_meter_volume__last,median,226740.24166666664,split_regime_based,train
p_net_meter_volume__max,median,226740.24166666664,split_regime_based,train
p_net_meter_volume__mean,median,226733.62986111108,split_regime_based,train
p_net_meter_volume__min,median,226727.45,split_regime_based,train
p_net_meter_volume__missing_count,median,0.0,split_regime_based,train
p_net_meter_volume__missing_rate,median,0.0,split_regime_based,train
p_net_meter_volume__std,median,5.7500175039594055,split_regime_based,train
p_net_return_temperature__delta,median,0.0,split_regime_based,train
p_net_return_temperature__first,median,51.155,split_regime_based,train
p_net_return_temperature__last,median,51.2975,split_regime_based,train
p_net_return_temperature__max,median,55.0,split_regime_based,train
p_net_return_temperature__mean,median,50.888888888888886,split_regime_based,train
p_net_return_temperature__min,median,44.8,split_regime_based,train
p_net_return_temperature__missing_count,median,0.0,split_regime_based,train
p_net_return_temperature__missing_rate,median,0.0,split_regime_based,train
p_net_return_temperature__std,median,2.0659505535901,split_regime_based,train
p_net_supply_temperature__delta,median,0.0,split_regime_based,train
p_net_supply_temperature__first,median,89.0,split_regime_based,train
p_net_supply_temperature__last,median,89.0,split_regime_based,train
p_net_supply_temperature__max,median,90.86,split_regime_based,train
p_net_supply_temperature__mean,median,89.14055555555555,split_regime_based,train
p_net_supply_temperature__min,median,87.965,split_regime_based,train
p_net_supply_temperature__missing_count,median,0.0,split_regime_based,train
p_net_supply_temperature__missing_rate,median,0.0,split_regime_based,train
p_net_supply_temperature__std,median,0.7073868229907807,split_regime_based,train
row_count,median,36.0,split_regime_based,train
s_hc1_supply_temperature__delta,median,0.0,split_regime_based,train
s_hc1_supply_temperature__first,median,58.2,split_regime_based,train
s_hc1_supply_temperature__last,median,58.650000000000006,split_regime_based,train
s_hc1_supply_temperature__max,median,65.65,split_regime_based,train
s_hc1_supply_temperature__mean,median,58.55,split_regime_based,train
s_hc1_supply_temperature__min,median,52.4,split_regime_based,train
s_hc1_supply_temperature__std,median,2.128561032070377,split_regime_based,train
s_hc1_supply_temperature_setpoint__missing_count,median,0.0,split_regime_based,train
s_hc1_supply_temperature_setpoint__missing_rate,median,0.0,split_regime_based,train
timestamp_gap_count,median,0.0,split_regime_based,train
hc1_supply_temperature_gap__last,median,0.1000000000000014,split_regime_based,train
hc1_supply_temperature_gap__max_abs,median,3.6000000000000014,split_regime_based,train
hc1_supply_temperature_gap__mean,median,0.1111111111111087,split_regime_based,train
s_hc1_supply_temperature_setpoint__delta,median,0.0,split_regime_based,train
s_hc1_supply_temperature_setpoint__first,median,58.9,split_regime_based,train
s_hc1_supply_temperature_setpoint__last,median,59.0,split_regime_based,train
s_hc1_supply_temperature_setpoint__max,median,64.0,split_regime_based,train
s_hc1_supply_temperature_setpoint__mean,median,58.87222222222223,split_regime_based,train
s_hc1_supply_temperature_setpoint__min,median,53.9,split_regime_based,train
s_hc1_supply_temperature_setpoint__std,median,1.356032963030546,split_regime_based,train
s_dhw_lower_storage_temperature__delta,median,0.0550000000000032,split_regime_based,train
s_dhw_lower_storage_temperature__first,median,42.2,split_regime_based,train
s_dhw_lower_storage_temperature__last,median,38.55,split_regime_based,train
s_dhw_lower_storage_temperature__max,median,56.1,split_regime_based,train
s_dhw_lower_storage_temperature__mean,median,32.16319444444444,split_regime_based,train
s_dhw_lower_storage_temperature__min,median,16.2,split_regime_based,train
s_dhw_lower_storage_temperature__missing_count,median,0.0,split_regime_based,train
s_dhw_lower_storage_temperature__missing_rate,median,0.0,split_regime_based,train
s_dhw_lower_storage_temperature__std,median,9.606589461627788,split_regime_based,train
s_dhw_upper_storage_temperature__delta,median,-0.004999999999999,split_regime_based,train
s_dhw_upper_storage_temperature__first,median,58.9,split_regime_based,train
s_dhw_upper_storage_temperature__last,median,58.875,split_regime_based,train
s_dhw_upper_storage_temperature__max,median,60.9,split_regime_based,train
s_dhw_upper_storage_temperature__mean,median,58.16111111111111,split_regime_based,train
s_dhw_upper_storage_temperature__min,median,55.150000000000006,split_regime_based,train
s_dhw_upper_storage_temperature__missing_count,median,0.0,split_regime_based,train
s_dhw_upper_storage_temperature__missing_rate,median,0.0,split_regime_based,train
s_dhw_upper_storage_temperature__std,median,1.3527774006071067,split_regime_based,train
s_dhw_supply_temperature__delta,median,-0.0200000000000031,split_regime_based,train
s_dhw_supply_temperature__first,median,60.9,split_regime_based,train
s_dhw_supply_temperature__last,median,60.9,split_regime_based,train
s_dhw_supply_temperature__max,median,62.1,split_regime_based,train
s_dhw_supply_temperature__mean,median,60.56666666666667,split_regime_based,train
s_dhw_supply_temperature__min,median,57.9,split_regime_based,train
s_dhw_supply_temperature__missing_count,median,0.0,split_regime_based,train
s_dhw_supply_temperature__missing_rate,median,0.0,split_regime_based,train
s_dhw_supply_temperature__std,median,1.170296224879947,split_regime_based,train
dhw_supply_temperature_gap__last,median,0.5499999999999972,split_regime_based,train
dhw_supply_temperature_gap__max_abs,median,3.504999999999999,split_regime_based,train
dhw_supply_temperature_gap__mean,median,0.3375,split_regime_based,train
s_dhw_supply_temperature_setpoint__delta,median,0.0,split_regime_based,train
s_dhw_supply_temperature_setpoint__first,median,60.0,split_regime_based,train
s_dhw_supply_temperature_setpoint__last,median,60.0,split_regime_based,train
s_dhw_supply_temperature_setpoint__max,median,60.0,split_regime_based,train
s_dhw_supply_temperature_setpoint__mean,median,60.0,split_regime_based,train
s_dhw_supply_temperature_setpoint__min,median,60.0,split_regime_based,train
s_dhw_supply_temperature_setpoint__missing_count,median,0.0,split_regime_based,train
s_dhw_supply_temperature_setpoint__missing_rate,median,0.0,split_regime_based,train
s_dhw_supply_temperature_setpoint__std,median,0.0,split_regime_based,train
day_of_week,median,3.0,split_regime_based,train
day_of_year,median,170.0,split_regime_based,train
hour_of_day,median,15.0,split_regime_based,train
is_heating_season,mode,True,split_regime_based,train
is_weekend,mode,False,split_regime_based,train
month,median,6.0,split_regime_based,train
