column_name,dtype,feature_family,selection_split_column,selection_split_value,missing_rate_train,unique_count_train,selected_for_baseline,exclusion_reason,manufacturer_1_non_null_rate_train,manufacturer_2_non_null_rate_train
s_hc1.3_heating_pump_status__dominant__is__aus,int8,derived_one_hot,split_regime_based,train,0.0,2,True,,1.0,1.0
s_hc1.3_heating_pump_status__dominant__is__ein,int8,derived_one_hot,split_regime_based,train,0.0,2,True,,1.0,1.0
s_hc1.3_heating_pump_status__dominant__is__missing,int8,derived_one_hot,split_regime_based,train,0.0,2,True,,1.0,1.0
s_hc1_control_unit_mode__dominant__is__missing,int8,derived_one_hot,split_regime_based,train,0.0,2,True,,1.0,1.0
s_hc1_control_unit_mode__dominant__is__nacht,int8,derived_one_hot,split_regime_based,train,0.0,2,True,,1.0,1.0
s_hc1_control_unit_mode__dominant__is__standby,int8,derived_one_hot,split_regime_based,train,0.0,2,True,,1.0,1.0
s_hc1_control_unit_mode__dominant__is__tag,int8,derived_one_hot,split_regime_based,train,0.0,2,True,,1.0,1.0
s_hc1_heating_pump_status_setpoint__dominant__is__aus,int8,derived_one_hot,split_regime_based,train,0.0,2,True,,1.0,1.0
s_hc1_heating_pump_status_setpoint__dominant__is__ein,int8,derived_one_hot,split_regime_based,train,0.0,2,True,,1.0,1.0
s_hc1_heating_pump_status_setpoint__dominant__is__missing,int8,derived_one_hot,split_regime_based,train,0.0,2,True,,1.0,1.0
season_bucket__is__autumn,int8,derived_one_hot,split_regime_based,train,0.0,2,True,,1.0,1.0
season_bucket__is__spring,int8,derived_one_hot,split_regime_based,train,0.0,2,True,,1.0,1.0
season_bucket__is__summer,int8,derived_one_hot,split_regime_based,train,0.0,2,True,,1.0,1.0
season_bucket__is__winter,int8,derived_one_hot,split_regime_based,train,0.0,2,True,,1.0,1.0
days_since_last_any_event,float64,event_context,split_regime_based,train,0.2092326139088729,1286,True,,0.8080459770114943,0.7719298245614035
days_since_last_task_event,float64,event_context,split_regime_based,train,0.2092326139088729,1286,True,,0.8080459770114943,0.7719298245614035
extreme_change_count,int64,sensor_numeric,split_regime_based,train,0.0,61,True,,1.0,1.0
has_buffer_tank,bool,sensor_numeric,split_regime_based,train,0.0,2,True,,1.0,1.0
has_dhw,bool,sensor_numeric,split_regime_based,train,0.0,2,True,,1.0,1.0
max_timestamp_gap_minutes,float64,sensor_numeric,split_regime_based,train,0.0,9,True,,1.0,1.0
missing_count,int64,sensor_numeric,split_regime_based,train,0.0,44,True,,1.0,1.0
missing_rate,float64,sensor_numeric,split_regime_based,train,0.0,70,True,,1.0,1.0
network_temperature_gap__last,float64,sensor_numeric,split_regime_based,train,0.0,695,True,,1.0,1.0
network_temperature_gap__max_abs,float64,sensor_numeric,split_regime_based,train,0.0,462,True,,1.0,1.0
network_temperature_gap__mean,float64,sensor_numeric,split_regime_based,train,0.0,1333,True,,1.0,1.0
outdoor_temperature__delta,float64,sensor_numeric,split_regime_based,train,0.0,668,True,,1.0,1.0
outdoor_temperature__first,float64,sensor_numeric,split_regime_based,train,0.0,380,True,,1.0,1.0
outdoor_temperature__last,float64,sensor_numeric,split_regime_based,train,0.0,574,True,,1.0,1.0
outdoor_temperature__max,float64,sensor_numeric,split_regime_based,train,0.0,452,True,,1.0,1.0
outdoor_temperature__mean,float64,sensor_numeric,split_regime_based,train,0.0,1572,True,,1.0,1.0
outdoor_temperature__min,float64,sensor_numeric,split_regime_based,train,0.0,478,True,,1.0,1.0
outdoor_temperature__std,float64,sensor_numeric,split_regime_based,train,0.0,1644,True,,1.0,1.0
p_hc1_return_temperature__delta,float64,sensor_numeric,split_regime_based,train,0.0,686,True,,1.0,1.0
p_hc1_return_temperature__first,float64,sensor_numeric,split_regime_based,train,0.0,457,True,,1.0,1.0
p_hc1_return_temperature__last,float64,sensor_numeric,split_regime_based,train,0.0,682,True,,1.0,1.0
p_hc1_return_temperature__max,float64,sensor_numeric,split_regime_based,train,0.0,503,True,,1.0,1.0
p_hc1_return_temperature__mean,float64,sensor_numeric,split_regime_based,train,0.0,1588,True,,1.0,1.0
p_hc1_return_temperature__min,float64,sensor_numeric,split_regime_based,train,0.0,488,True,,1.0,1.0
p_hc1_return_temperature__std,float64,sensor_numeric,split_regime_based,train,0.0,1652,True,,1.0,1.0
p_net_meter_energy__delta,float64,sensor_numeric,split_regime_based,train,0.0,980,True,,1.0,1.0
p_net_meter_energy__first,float64,sensor_numeric,split_regime_based,train,0.0,1634,True,,1.0,1.0
p_net_meter_energy__last,float64,sensor_numeric,split_regime_based,train,0.0,1638,True,,1.0,1.0
p_net_meter_energy__max,float64,sensor_numeric,split_regime_based,train,0.0,1638,True,,1.0,1.0
p_net_meter_energy__mean,float64,sensor_numeric,split_regime_based,train,0.0,1647,True,,1.0,1.0
p_net_meter_energy__min,float64,sensor_numeric,split_regime_based,train,0.0,1634,True,,1.0,1.0
p_net_meter_energy__missing_count,int64,sensor_numeric,split_regime_based,train,0.0,12,True,,1.0,1.0
p_net_meter_energy__missing_rate,float64,sensor_numeric,split_regime_based,train,0.0,12,True,,1.0,1.0
p_net_meter_energy__std,float64,sensor_numeric,split_regime_based,train,0.0,1610,True,,1.0,1.0
p_net_meter_flow__delta,float64,sensor_numeric,split_regime_based,train,0.0,1261,True,,1.0,1.0
p_net_meter_flow__first,float64,sensor_numeric,split_regime_based,train,0.0,1096,True,,1.0,1.0
p_net_meter_flow__last,float64,sensor_numeric,split_regime_based,train,0.0,1320,True,,1.0,1.0
p_net_meter_flow__max,float64,sensor_numeric,split_regime_based,train,0.0,1302,True,,1.0,1.0
p_net_meter_flow__mean,float64,sensor_numeric,split_regime_based,train,0.0,1634,True,,1.0,1.0
p_net_meter_flow__min,float64,sensor_numeric,split_regime_based,train,0.0,959,True,,1.0,1.0
p_net_meter_flow__missing_count,int64,sensor_numeric,split_regime_based,train,0.0,12,True,,1.0,1.0
p_net_meter_flow__missing_rate,float64,sensor_numeric,split_regime_based,train,0.0,12,True,,1.0,1.0
p_net_meter_flow__std,float64,sensor_numeric,split_regime_based,train,0.0,1643,True,,1.0,1.0
p_net_meter_heat_power__delta,float64,sensor_numeric,split_regime_based,train,0.0,937,True,,1.0,1.0
p_net_meter_heat_power__first,float64,sensor_numeric,split_regime_based,train,0.0,678,True,,1.0,1.0
p_net_meter_heat_power__last,float64,sensor_numeric,split_regime_based,train,0.0,949,True,,1.0,1.0
p_net_meter_heat_power__max,float64,sensor_numeric,split_regime_based,train,0.0,917,True,,1.0,1.0
p_net_meter_heat_power__mean,float64,sensor_numeric,split_regime_based,train,0.0,1539,True,,1.0,1.0
p_net_meter_heat_power__min,float64,sensor_numeric,split_regime_based,train,0.0,551,True,,1.0,1.0
p_net_meter_heat_power__missing_count,int64,sensor_numeric,split_regime_based,train,0.0,12,True,,1.0,1.0
p_net_meter_heat_power__missing_rate,float64,sensor_numeric,split_regime_based,train,0.0,12,True,,1.0,1.0
p_net_meter_heat_power__std,float64,sensor_numeric,split_regime_based,train,0.0,1610,True,,1.0,1.0
p_net_meter_volume__delta,float64,sensor_numeric,split_regime_based,train,0.0,1250,True,,1.0,1.0
p_net_meter_volume__first,float64,sensor_numeric,split_regime_based,train,0.0,1643,True,,1.0,1.0
p_net_meter_volume__last,float64,sensor_numeric,split_regime_based,train,0.0,1646,True,,1.0,1.0
p_net_meter_volume__max,float64,sensor_numeric,split_regime_based,train,0.0,1646,True,,1.0,1.0
p_net_meter_volume__mean,float64,sensor_numeric,split_regime_based,train,0.0,1653,True,,1.0,1.0
p_net_meter_volume__min,float64,sensor_numeric,split_regime_based,train,0.0,1643,True,,1.0,1.0
p_net_meter_volume__missing_count,int64,sensor_numeric,split_regime_based,train,0.0,12,True,,1.0,1.0
p_net_meter_volume__missing_rate,float64,sensor_numeric,split_regime_based,train,0.0,12,True,,1.0,1.0
p_net_meter_volume__std,float64,sensor_numeric,split_regime_based,train,0.0,1641,True,,1.0,1.0
p_net_return_temperature__delta,float64,sensor_numeric,split_regime_based,train,0.0,499,True,,1.0,1.0
p_net_return_temperature__first,float64,sensor_numeric,split_regime_based,train,0.0,355,True,,1.0,1.0
p_net_return_temperature__last,float64,sensor_numeric,split_regime_based,train,0.0,502,True,,1.0,1.0
p_net_return_temperature__max,float64,sensor_numeric,split_regime_based,train,0.0,382,True,,1.0,1.0
p_net_return_temperature__mean,float64,sensor_numeric,split_regime_based,train,0.0,1198,True,,1.0,1.0
p_net_return_temperature__min,float64,sensor_numeric,split_regime_based,train,0.0,410,True,,1.0,1.0
p_net_return_temperature__missing_count,int64,sensor_numeric,split_regime_based,train,0.0,12,True,,1.0,1.0
p_net_return_temperature__missing_rate,float64,sensor_numeric,split_regime_based,train,0.0,12,True,,1.0,1.0
p_net_return_temperature__std,float64,sensor_numeric,split_regime_based,train,0.0,1604,True,,1.0,1.0
p_net_supply_temperature__delta,float64,sensor_numeric,split_regime_based,train,0.0,446,True,,1.0,1.0
p_net_supply_temperature__first,float64,sensor_numeric,split_regime_based,train,0.0,369,True,,1.0,1.0
p_net_supply_temperature__last,float64,sensor_numeric,split_regime_based,train,0.0,481,True,,1.0,1.0
p_net_supply_temperature__max,float64,sensor_numeric,split_regime_based,train,0.0,393,True,,1.0,1.0
p_net_supply_temperature__mean,float64,sensor_numeric,split_regime_based,train,0.0,1184,True,,1.0,1.0
p_net_supply_temperature__min,float64,sensor_numeric,split_regime_based,train,0.0,407,True,,1.0,1.0
p_net_supply_temperature__missing_count,int64,sensor_numeric,split_regime_based,train,0.0,12,True,,1.0,1.0
p_net_supply_temperature__missing_rate,float64,sensor_numeric,split_regime_based,train,0.0,12,True,,1.0,1.0
p_net_supply_temperature__std,float64,sensor_numeric,split_regime_based,train,0.0,1558,True,,1.0,1.0
row_count,int64,sensor_numeric,split_regime_based,train,0.0,13,True,,1.0,1.0
s_hc1_supply_temperature__delta,float64,sensor_numeric,split_regime_based,train,0.0,849,True,,1.0,1.0
s_hc1_supply_temperature__first,float64,sensor_numeric,split_regime_based,train,0.0,530,True,,1.0,1.0
s_hc1_supply_temperature__last,float64,sensor_numeric,split_regime_based,train,0.0,787,True,,1.0,1.0
s_hc1_supply_temperature__max,float64,sensor_numeric,split_regime_based,train,0.0,555,True,,1.0,1.0
s_hc1_supply_temperature__mean,float64,sensor_numeric,split_regime_based,train,0.0,1590,True,,1.0,1.0
s_hc1_supply_temperature__min,float64,sensor_numeric,split_regime_based,train,0.0,549,True,,1.0,1.0
s_hc1_supply_temperature__std,float64,sensor_numeric,split_regime_based,train,0.0,1654,True,,1.0,1.0
s_hc1_supply_temperature_setpoint__missing_count,int64,sensor_numeric,split_regime_based,train,0.0,35,True,,1.0,1.0
s_hc1_supply_temperature_setpoint__missing_rate,float64,sensor_numeric,split_regime_based,train,0.0,36,True,,1.0,1.0
timestamp_gap_count,int64,sensor_numeric,split_regime_based,train,0.0,2,True,,1.0,1.0
hc1_supply_temperature_gap__last,float64,sensor_numeric,split_regime_based,train,0.006594724220623501,536,True,,1.0,0.9862155388471178
hc1_supply_temperature_gap__max_abs,float64,sensor_numeric,split_regime_based,train,0.006594724220623501,541,True,,1.0,0.9862155388471178
hc1_supply_temperature_gap__mean,float64,sensor_numeric,split_regime_based,train,0.006594724220623501,1570,True,,1.0,0.9862155388471178
s_hc1_supply_temperature_setpoint__delta,float64,sensor_numeric,split_regime_based,train,0.006594724220623501,689,True,,1.0,0.9862155388471178
s_hc1_supply_temperature_setpoint__first,float64,sensor_numeric,split_regime_based,train,0.006594724220623501,452,True,,1.0,0.9862155388471178
s_hc1_supply_temperature_setpoint__last,float64,sensor_numeric,split_regime_based,train,0.006594724220623501,622,True,,1.0,0.9862155388471178
s_hc1_supply_temperature_setpoint__max,float64,sensor_numeric,split_regime_based,train,0.006594724220623501,495,True,,1.0,0.9862155388471178
s_hc1_supply_temperature_setpoint__mean,float64,sensor_numeric,split_regime_based,train,0.006594724220623501,1241,True,,1.0,0.9862155388471178
s_hc1_supply_temperature_setpoint__min,float64,sensor_numeric,split_regime_based,train,0.006594724220623501,472,True,,1.0,0.9862155388471178
s_hc1_supply_temperature_setpoint__std,float64,sensor_numeric,split_regime_based,train,0.006594724220623501,1259,True,,1.0,0.9862155388471178
s_dhw_lower_storage_temperature__delta,float64,sensor_numeric,split_regime_based,train,0.3405275779376499,724,True,,0.7241379310344828,0.5889724310776943
s_dhw_lower_storage_temperature__first,float64,sensor_numeric,split_regime_based,train,0.3405275779376499,427,True,,0.7241379310344828,0.5889724310776943
s_dhw_lower_storage_temperature__last,float64,sensor_numeric,split_regime_based,train,0.3405275779376499,589,True,,0.7241379310344828,0.5889724310776943
s_dhw_lower_storage_temperature__max,float64,sensor_numeric,split_regime_based,train,0.3405275779376499,333,True,,0.7241379310344828,0.5889724310776943
s_dhw_lower_storage_temperature__mean,float64,sensor_numeric,split_regime_based,train,0.3405275779376499,1076,True,,0.7241379310344828,0.5889724310776943
s_dhw_lower_storage_temperature__min,float64,sensor_numeric,split_regime_based,train,0.3405275779376499,380,True,,0.7241379310344828,0.5889724310776943
s_dhw_lower_storage_temperature__missing_count,float64,sensor_numeric,split_regime_based,train,0.3405275779376499,2,True,,0.7241379310344828,0.5889724310776943
s_dhw_lower_storage_temperature__missing_rate,float64,sensor_numeric,split_regime_based,train,0.3405275779376499,2,True,,0.7241379310344828,0.5889724310776943
s_dhw_lower_storage_temperature__std,float64,sensor_numeric,split_regime_based,train,0.3405275779376499,1094,True,,0.7241379310344828,0.5889724310776943
s_dhw_upper_storage_temperature__delta,float64,sensor_numeric,split_regime_based,train,0.3405275779376499,491,True,,0.7241379310344828,0.5889724310776943
s_dhw_upper_storage_temperature__first,float64,sensor_numeric,split_regime_based,train,0.3405275779376499,291,True,,0.7241379310344828,0.5889724310776943
s_dhw_upper_storage_temperature__last,float64,sensor_numeric,split_regime_based,train,0.3405275779376499,398,True,,0.7241379310344828,0.5889724310776943
s_dhw_upper_storage_temperature__max,float64,sensor_numeric,split_regime_based,train,0.3405275779376499,250,True,,0.7241379310344828,0.5889724310776943
s_dhw_upper_storage_temperature__mean,float64,sensor_numeric,split_regime_based,train,0.3405275779376499,1033,True,,0.7241379310344828,0.5889724310776943
s_dhw_upper_storage_temperature__min,float64,sensor_numeric,split_regime_based,train,0.3405275779376499,388,True,,0.7241379310344828,0.5889724310776943
s_dhw_upper_storage_temperature__missing_count,float64,sensor_numeric,split_regime_based,train,0.3405275779376499,2,True,,0.7241379310344828,0.5889724310776943
s_dhw_upper_storage_temperature__missing_rate,float64,sensor_numeric,split_regime_based,train,0.3405275779376499,2,True,,0.7241379310344828,0.5889724310776943
s_dhw_upper_storage_temperature__std,float64,sensor_numeric,split_regime_based,train,0.3405275779376499,1094,True,,0.7241379310344828,0.5889724310776943
s_dhw_supply_temperature__delta,float64,sensor_numeric,split_regime_based,train,0.39748201438848924,367,True,,0.7241379310344828,0.4699248120300752
s_dhw_supply_temperature__first,float64,sensor_numeric,split_regime_based,train,0.39748201438848924,187,True,,0.7241379310344828,0.4699248120300752
s_dhw_supply_temperature__last,float64,sensor_numeric,split_regime_based,train,0.39748201438848924,258,True,,0.7241379310344828,0.4699248120300752
s_dhw_supply_temperature__max,float64,sensor_numeric,split_regime_based,train,0.39748201438848924,219,True,,0.7241379310344828,0.4699248120300752
s_dhw_supply_temperature__mean,float64,sensor_numeric,split_regime_based,train,0.39748201438848924,838,True,,0.7241379310344828,0.4699248120300752
s_dhw_supply_temperature__min,float64,sensor_numeric,split_regime_based,train,0.39748201438848924,298,True,,0.7241379310344828,0.4699248120300752
s_dhw_supply_temperature__missing_count,float64,sensor_numeric,split_regime_based,train,0.39748201438848924,2,True,,0.7241379310344828,0.4699248120300752
s_dhw_supply_temperature__missing_rate,float64,sensor_numeric,split_regime_based,train,0.39748201438848924,2,True,,0.7241379310344828,0.4699248120300752
s_dhw_supply_temperature__std,float64,sensor_numeric,split_regime_based,train,0.39748201438848924,1000,True,,0.7241379310344828,0.4699248120300752
dhw_supply_temperature_gap__last,float64,sensor_numeric,split_regime_based,train,0.44364508393285373,214,True,,0.7241379310344828,0.37343358395989973
dhw_supply_temperature_gap__max_abs,float64,sensor_numeric,split_regime_based,train,0.44364508393285373,250,True,,0.7241379310344828,0.37343358395989973
dhw_supply_temperature_gap__mean,float64,sensor_numeric,split_regime_based,train,0.44364508393285373,909,True,,0.7241379310344828,0.37343358395989973
s_dhw_supply_temperature_setpoint__delta,float64,sensor_numeric,split_regime_based,train,0.44364508393285373,10,True,,0.7241379310344828,0.37343358395989973
s_dhw_supply_temperature_setpoint__first,float64,sensor_numeric,split_regime_based,train,0.44364508393285373,13,True,,0.7241379310344828,0.37343358395989973
s_dhw_supply_temperature_setpoint__last,float64,sensor_numeric,split_regime_based,train,0.44364508393285373,15,True,,0.7241379310344828,0.37343358395989973
s_dhw_supply_temperature_setpoint__max,float64,sensor_numeric,split_regime_based,train,0.44364508393285373,13,True,,0.7241379310344828,0.37343358395989973
s_dhw_supply_temperature_setpoint__mean,float64,sensor_numeric,split_regime_based,train,0.44364508393285373,93,True,,0.7241379310344828,0.37343358395989973
s_dhw_supply_temperature_setpoint__min,float64,sensor_numeric,split_regime_based,train,0.44364508393285373,10,True,,0.7241379310344828,0.37343358395989973
s_dhw_supply_temperature_setpoint__missing_count,float64,sensor_numeric,split_regime_based,train,0.44364508393285373,4,True,,0.7241379310344828,0.37343358395989973
s_dhw_supply_temperature_setpoint__missing_rate,float64,sensor_numeric,split_regime_based,train,0.44364508393285373,4,True,,0.7241379310344828,0.37343358395989973
s_dhw_supply_temperature_setpoint__std,float64,sensor_numeric,split_regime_based,train,0.44364508393285373,197,True,,0.7241379310344828,0.37343358395989973
day_of_week,int64,time_context,split_regime_based,train,0.0,7,True,,1.0,1.0
day_of_year,int64,time_context,split_regime_based,train,0.0,236,True,,1.0,1.0
hour_of_day,float64,time_context,split_regime_based,train,0.0,4,True,,1.0,1.0
is_heating_season,bool,time_context,split_regime_based,train,0.0,2,True,,1.0,1.0
is_weekend,bool,time_context,split_regime_based,train,0.0,2,True,,1.0,1.0
month,int64,time_context,split_regime_based,train,0.0,12,True,,1.0,1.0
s_hc1_heating_pump_status_setpoint__change_count,float64,control_context,split_regime_based,train,0.5215827338129496,4,False,missing_rate_gt_0.50|missing_in_one_manufacturer,0.0,1.0
s_hc1_heating_pump_status_setpoint__nunique,float64,control_context,split_regime_based,train,0.5215827338129496,3,False,missing_rate_gt_0.50|missing_in_one_manufacturer,0.0,1.0
s_hc1_control_unit_mode__change_count,float64,control_context,split_regime_based,train,0.5965227817745803,3,False,missing_rate_gt_0.50|missing_in_one_manufacturer,0.0,0.843358395989975
s_hc1_control_unit_mode__nunique,float64,control_context,split_regime_based,train,0.5965227817745803,4,False,missing_rate_gt_0.50|missing_in_one_manufacturer,0.0,0.843358395989975
s_dhw_control_unit_mode__change_count,float64,control_context,split_regime_based,train,0.6282973621103117,2,False,missing_rate_gt_0.50|missing_in_one_manufacturer,0.0,0.7769423558897243
s_dhw_control_unit_mode__nunique,float64,control_context,split_regime_based,train,0.6282973621103117,3,False,missing_rate_gt_0.50|missing_in_one_manufacturer,0.0,0.7769423558897243
s_dhw_3-way_valve_status__change_count,float64,control_context,split_regime_based,train,0.6378896882494005,22,False,missing_rate_gt_0.50|missing_in_one_manufacturer,0.0,0.7568922305764411
s_dhw_3-way_valve_status__nunique,float64,control_context,split_regime_based,train,0.6378896882494005,3,False,missing_rate_gt_0.50|missing_in_one_manufacturer,0.0,0.7568922305764411
s_hc1.2_heating_pump_status__change_count,float64,control_context,split_regime_based,train,0.9232613908872902,4,False,missing_rate_gt_0.50|missing_in_one_manufacturer,0.0,0.16040100250626566
s_hc1.2_heating_pump_status__nunique,float64,control_context,split_regime_based,train,0.9232613908872902,3,False,missing_rate_gt_0.50|missing_in_one_manufacturer,0.0,0.16040100250626566
s_hc1.3_heating_pump_status__change_count,float64,control_context,split_regime_based,train,0.9358513189448441,2,False,missing_rate_gt_0.50|missing_in_one_manufacturer,0.0,0.13408521303258145
s_hc1.3_heating_pump_status__nunique,float64,control_context,split_regime_based,train,0.9358513189448441,2,False,missing_rate_gt_0.50|missing_in_one_manufacturer,0.0,0.13408521303258145
s_hc1.2_control_unit_mode__change_count,float64,control_context,split_regime_based,train,0.9760191846522782,3,False,missing_rate_gt_0.50|missing_in_one_manufacturer,0.0,0.05012531328320802
s_hc1.2_control_unit_mode__nunique,float64,control_context,split_regime_based,train,0.9760191846522782,4,False,missing_rate_gt_0.50|missing_in_one_manufacturer,0.0,0.05012531328320802
s_hc1.1_control_unit_mode__change_count,float64,control_context,split_regime_based,train,0.987410071942446,2,False,missing_rate_gt_0.50|missing_in_one_manufacturer,0.0,0.02631578947368421
s_hc1.1_control_unit_mode__nunique,float64,control_context,split_regime_based,train,0.987410071942446,3,False,missing_rate_gt_0.50|missing_in_one_manufacturer,0.0,0.02631578947368421
s_hc1.1_heating_pump_status__change_count,float64,control_context,split_regime_based,train,0.987410071942446,2,False,missing_rate_gt_0.50|missing_in_one_manufacturer,0.0,0.02631578947368421
s_hc1.1_heating_pump_status__nunique,float64,control_context,split_regime_based,train,0.987410071942446,2,False,missing_rate_gt_0.50|missing_in_one_manufacturer,0.0,0.02631578947368421
s_hc1.3_control_unit_mode__change_count,float64,control_context,split_regime_based,train,0.9886091127098321,3,False,missing_rate_gt_0.50|missing_in_one_manufacturer,0.0,0.023809523809523808
s_hc1.3_control_unit_mode__nunique,float64,control_context,split_regime_based,train,0.9886091127098321,3,False,missing_rate_gt_0.50|missing_in_one_manufacturer,0.0,0.023809523809523808
s_hc1.2_dhw_control unit_mode__change_count,float64,control_context,split_regime_based,train,0.9946043165467626,2,False,missing_rate_gt_0.50|missing_in_one_manufacturer,0.0,0.011278195488721804
s_hc1.2_dhw_control unit_mode__nunique,float64,control_context,split_regime_based,train,0.9946043165467626,2,False,missing_rate_gt_0.50|missing_in_one_manufacturer,0.0,0.011278195488721804
post_fault_stabilization,bool,event_context,split_regime_based,train,0.0,1,False,constant_feature,1.0,1.0
post_task_stabilization,bool,event_context,split_regime_based,train,0.0,1,False,constant_feature,1.0,1.0
recent_regime_change_flag,bool,event_context,split_regime_based,train,0.0,1,False,constant_feature,1.0,1.0
days_since_last_fault_event,float64,event_context,split_regime_based,train,0.7116306954436451,482,False,missing_rate_gt_0.50,0.2,0.38471177944862156
data_quality_issue,bool,sensor_numeric,split_regime_based,train,0.0,1,False,constant_feature,1.0,1.0
expected_row_count,int64,sensor_numeric,split_regime_based,train,0.0,1,False,constant_feature,1.0,1.0
invalid_timestamp_rows_in_file,int64,sensor_numeric,split_regime_based,train,0.0,1,False,constant_feature,1.0,1.0
median_interval_minutes,float64,sensor_numeric,split_regime_based,train,0.0,1,False,constant_feature,1.0,1.0
outdoor_temperature__missing_count,int64,sensor_numeric,split_regime_based,train,0.0,1,False,constant_feature,1.0,1.0
outdoor_temperature__missing_rate,float64,sensor_numeric,split_regime_based,train,0.0,1,False,constant_feature,1.0,1.0
p_hc1_return_temperature__missing_count,int64,sensor_numeric,split_regime_based,train,0.0,1,False,constant_feature,1.0,1.0
p_hc1_return_temperature__missing_rate,float64,sensor_numeric,split_regime_based,train,0.0,1,False,constant_feature,1.0,1.0
s_hc1_supply_temperature__missing_count,int64,sensor_numeric,split_regime_based,train,0.0,1,False,constant_feature,1.0,1.0
s_hc1_supply_temperature__missing_rate,float64,sensor_numeric,split_regime_based,train,0.0,1,False,constant_feature,1.0,1.0
